star,comment
4.0,null
4.0,null
4.0,null
2.0,null
4.0,"Vanilla nose. Sherry, caramel notes nice finish"
5.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
1.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
5.0,null
3.0,null
5.0,Favorite!
4.0,null
4.0,Smooth delicious Jameson
4.0,"smooth, full, sweet"
3.0,null
3.0,null
4.0,"Smooth, really good"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,"Smooth with a CAPITAL S.  Easy sip, mild after taste with no bitterness or smokey flavor."
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,"Lighter than the usual Jameson, sweet, with a trace of spice. Favorite of the Jameson collection."
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
1.0,"You would think this a step-up from the Special Reserve and Black Barrel varietals, but when we had this as a part of a Jameson tasting, I noticed that a number of people left this glass mostly full. I found out why when we sampled ours - it tasted like musty feet and age (like grandma's attic.)"
4.0,null
1.0,"I had this at the distillery and left the glass half full on the table.  It tasted like feet.  Like feet in a retiremet home, that antiseptic taste that lingers in your nose while you're driving home and you ask yourself ""is this really what mom deserves""?"
5.0,null
4.0,"Smooth... After cleaning my palate with water, I really enjoyed this. Easy sipping. The front was smooth and sweet, and the after taste was vanilla/butter. Would drink again."
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,"Scotchy, but not oppressively so."
3.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
5.0,null
4.0,null
4.0,null
null,$64 Beverage Warehouse
