star,comment
2.5,"Nose: nail polish remover, with slight vanillas.

Palette: buttery and oily at first. Oak in the middle and finishes with some spice."
4.25,null
4.0,null
3.5,null
4.0,Caramel and toffee
3.75,null
4.5,"Very small batch, very sweet and salty"
4.5,Sweet and salty.
3.0,null
3.5,null
4.0,null
3.25,null
null,Need to try this
3.75,null
3.25,null
4.0,null
3.5,null
3.75,null
3.75,null
3.0,null
4.0,null
4.0,null
3.0,null
4.25,null
4.0,null
3.5,null
4.0,null
3.75,Nice taste. Big back end
4.0,null
4.0,null
3.75,null
4.0,null
3.75,null
3.5,null
5.0,null
3.0,null
3.5,null
4.5,null
4.0,"All of the Bourbon goodness without the sticky Bourbon cloy.

Nose: 
Gentle with a wide layer of spice, coffee and pepper.
Dried dates, apricots and juicy cherries. 
Light vanilla, with a luscious cream. 
Eucalyptus? Mint? Fresh cut herbs?

Palate:
So fresh, yet dry, spicy and woody.
Vanilla remains light, filling in the gaps instead of layering on a thick layer.
Sweetness and cream round off all of the baking spices, and eucalyptus.

Finish:
The cream fades into a woody, spicy and dry finish."
4.25,null
4.5,null
4.25,Complex and hidden sweetness under the leather
3.25,null
3.25,null
4.0,Definately can taste Mint
4.0,"Buttery/nutty, with just the right amount of herbal spice/mint.  Nice oily mouthfeel. A good balanced combo of smooth and spicy.  I really like this one."
3.0,null
3.5,Lighter in flavor. Sweeter. Would prefer something darker with more oak. Very smooth on the rocks.
4.75,null
4.0,"Aroma: Fruit

Taste: Smooth and fruity

Aftertaste: No bite, just smooth."
3.5,null
4.0,null
3.75,null
3.0,null
4.0,null
4.25,null
4.25,null
4.25,null
4.25,null
4.0,"Honey, sweet"
3.5,null
3.5,null
4.25,null
4.0,Must decant
3.5,null
3.0,null
3.75,null
4.25,null
3.5,null
3.5,A little harsher on the finish than I expected.
4.0,null
3.5,null
4.75,Sweet finish.  Good nose.  Smooth
4.25,null
4.0,null
4.0,null
4.0,null
3.5,"Light nose,red dry wine, salted butter popcorn, caramel.  Thinking cracker jacks.  Overall a nice pour but wouldn’t buy a bottle"
3.75,A Little weak for my taste.
1.0,null
3.5,null
4.0,null
3.75,null
3.5,null
2.75,Very underwhelming
3.0,null
null,null
3.75,null
3.0,null
null,null
3.75,null
3.5,Very inviting and fruity nose. Good with one cube. Spicy burn to finish. Nice bourbon!
4.5,null
4.0,null
3.25,null
3.25,null
3.5,null
3.25,null
4.75,null
4.75,"Has a great kick, little bit fruity taste, with a good char finish. Definitely a drink you want to enjoy with great friends. 

If you have drank the Jeffersons Small Batch before.. Jeffersons Reserve is much better in taste. I'd recommend a couple ice cubes to dilute it a bit but everyone is different. I enjoy Jeffersons Reserve on the rocks."
2.25,"Just didn't notice any flavor, was too melow"
2.5,null
2.5,null
4.0,"Solid smooth, but pretty standard."
2.5,"Underwhelming to me, not a lot of flavor for the price."
4.5,"I like this more every time I drink it. Really smooth finish, but would ultimately love to find it a little cheaper ."
3.5,Thanks @OtisDB!
null,This is one of the better bourbons I have had. The Aged at Sea version is better but much more expensive.
4.25,null
4.0,null
3.5,Smooth and very flavorful.  Great drinker
3.0,Not a fan.  A little better than the Ocean
