star,comment
3.0,null
2.0,null
4.0,null
5.0,null
2.0,null
4.0,null
3.0,null
2.0,"[09.27.16] So this one happened. By no means fantastic, it is comparable to a white label Beam sitting in a sotty old barrel in Grandma's cellar for a year. You tried to age it by hand but you still shouldn't share this at the fall tailgate."
2.0,null
4.0,null
4.0,null
1.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
2.0,null
3.0,null
4.0,"Great oaky aroma, very smooth with sweet finish"
1.0,This is awful.
2.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
5.0,null
1.0,null
3.0,null
2.0,null
4.0,null
3.0,"Woody.. like a tongue depressor or popsicle stick.. bit rough, in a good way"
2.0,"Ok. Heavy oak tastes, smooth. Tasted at distillery on 3/26/17"
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
2.0,"While this isn't atrocious, there's just plenty of bourbons for $23, or even less I'd just much rather buy. 2/5"
2.0,null
4.0,null
2.0,null
1.0,null
3.0,null
3.0,null
2.0,null
1.0,null
4.0,null
4.0,null
2.0,Sweet nose.  Taste is similar to the nose with a lack of aftertaste due to a slight burn.  Not bad for a mass production whiskey.
3.0,null
3.0,null
4.0,null
4.0,null
2.0,null
4.0,null
3.0,null
5.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,"I picked up a bottle of this and was pleasantly surprised. After seeing it on the shelf at the liquor store, and seeing it's very affordable price, I decided to take a risk. I've never had Jim Beam before, but this was certainly a good place to start. The nose was beautifully sweet and woody while the palate opened up a bit more caramel and brought even more oak than the aroma did. The finish was medium length, light and slightly spicy but eventually developed into a very pleasant honey aftertaste that left me wanting another sip. Four out of five stars in general, but five out of five for the price range."
2.0,"Nice nose, floral. Definitely get oak on the palate, potentially even a little leather. Easy beginners bourbon."
3.0,null
3.0,null
3.0,More like 3.5. Very sweet
4.0,null
3.0,null
2.0,null
2.0,null
4.0,null
3.0,null
2.0,null
1.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,"Very smooth, smoky but not overpowering finish."
4.0,null
4.0,null
3.0,null
4.0,null
4.0,"Very enjoyable JB with a wonderful nose of oak (no surprise), vanilla, caramel and would have to agree with other reviews of pipe tobacco. Nose and legs linger forever. Taste is on par with the nose with a medium spicy oaky finish and a nice amount of heat on the back end. A few drops of water really opens this whisky up making the aforementioned notes even more pronounced. Nicely done, well priced and a good change of pace for those who like me, drink more of robust, spicier whisky but still has enough body and bravado to keep it interesting and enjoyable."
3.0,null
4.0,null
4.0,null
4.0,"Nose is smoky, oakey, cinnamon and burnt sugar. Palate is smooth oak, burned wood, brown sugar and sawdust. With a splash of water, the sweetness is more pronounced, gets smoother and showcases the vanilla and butterscotch flavors.

Finish is smooth with a little kiss of heat( from the 86 proof) and notes of caramel and vanilla. Very well done and half the price of the Woodford Reserve Double Oaked ($25)."
4.0,null
4.0,"This is good. Best Beam I've tried to date (and when I say that, I mean something that actually says BEAM on the bottle). Light caramel in color with a great nose of barrel oak with honey, vanilla, varnish and a hint of leather. A splash or cube of ice brings dried fruit and pipe tobacco to the mix. Neat you get big oak backed by caramel corn, vanilla and brown sugar. All the traditional bourbon notes take a backseat to the barrel. A tad thin, but not overly so. It finishes with a drying oak astringency. A slightly sweet vanilla mint lingers on the palate (think an MGP 95 rye). Add a cube of ice and the sweet notes assert themselves a little more strongly on both the palate and the finish. While not a traditional bourbon profile, it was very enjoyable. Gets an extra star for the under $30 price tag."
4.0,null
3.0,"This isn't actually to bad. It tastes abit more like a Tennessee whiskey than a bourbon. It's very sweet, and oaky. Nice bite on the end"
2.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,"Very smooth. Typical easy sipping bourbon. For the price, should be in everyone's cabinet."
2.0,null
5.0,null
3.0,null
2.0,null
1.0,null
2.0,null
3.0,null
