star,comment
3.75,null
3.75,null
4.0,null
3.0,null
4.0,null
3.0,null
3.5,null
4.0,"Surprisingly enjoyable for such a commercial brand. Lightly smoked, accenting some terrific vanilla tobacco, cinnamon and citrus spices. The burn is pleasant and blunted.

The long you let it sit under the tongue, the more mellow it gets. This would go great with a pipe. The TOBACCO is the dominant flavor to me. This is a really terrific option if the price is right."
2.5,null
3.5,null
4.0,null
4.0,null
3.75,null
2.75,Predominant peat on palate but not super pleasant.
3.5,null
3.5,null
3.75,null
4.0,null
3.25,null
4.5,null
4.25,Neat. Such an easy drink. Love the peaty flavor.
3.25,null
1.0,null
4.0,"I really like this blend for an everyday drink.  Find it very sweet, tastes of butterscotch, white raisins, vanilla, and marzipan.  Very little peppery finish and very little peat.  Overall easy to drink."
3.5,Medicinal taste. Peaty.
2.75,null
3.75,null
3.25,null
3.75,2017
4.0,null
3.25,null
4.0,Citrus and Carmel
2.5,Smooth.
3.0,"Nose: smoky, fruits on the back, alcohol aroma

Taste: Vanilla, smoke, peaty, citrus and of course oak

Aftertaste: nice aftertaste, smoky but short

Follow me on insta: @whiskperience"
3.0,null
4.0,null
2.0,null
3.75,null
null,null
3.5,"Peat, oak, and vanilla on the nose, in that order. Mild peat, strong oak, citrus, then more peat at the end as it finishes slow and the smoke flavor really releases in the back of the palate at the very end. I thought I didn’t like peat at all, but this might be just the perfect entry level peaty scotch. I may have to get another nip later and see if I feel the same way. Pleasantly surprised."
3.5,Good average price for the blended whiskey. This can b my daily drink
3.5,null
3.75,null
4.0,null
4.0,"Charcoal, black pepper, dry and with very little heat. Just pleasant and easily drinkable."
2.75,null
null,null
3.25,Little bit of smoke but outside that pretty average.
3.75,null
3.5,null
3.75,"Nose: roasted almond, butterscotch pudding, dried fruits, orange peel, whiff of peat.

Taste: praline, buttered toast, almond, banana, prune-like sherriness. Light smoke, pepper, and creamy grain on the finish.

A very decent, affordable, well-rounded blend."
4.0,"Nice blended scotch. Not as smoky as red label, but still you can feel it. Have good body"
3.75,null
3.5,null
3.5,null
3.5,"Nose is light peat, but not overpowering.  First sip is very smooth. Relatively light peat with some almond biscotti notes. Smooth burn that never gets too strong."
2.75,null
2.5,null
2.5,null
2.5,null
2.0,null
3.0,"Nose - mild peat smoke, musty brine, sweet cream, caramel, orange, plum, raisins, oak notes, light ethanol burn. 

Taste - peat smoke, brine, lightly burnt oak, toffee, vanilla, allspice, coffee/chocolate, mild alcohol burn, finishing very quickly with short lived oaky toffee flavor. 

I can taste the Lagavulin coming through most prominently. However, I only like this one slightly more than the red label, as it doesn’t have the strong burnt oak bitterness. It generally tastes too diluted and largely forgettable."
4.0,null
3.0,null
3.0,null
3.5,null
3.5,En Mexico es clásico pero cumple es ahumado y con toques de vainilla y caramelo es excelente
4.0,null
3.75,null
4.0,"Vanilya / karamel
Yoğun is tadı"
2.5,"-Not bad, smooth, doesn’t burn as much"
3.75,null
3.0,Soft peaty taste makes it hard to taste other notes
2.25,null
4.0,null
4.0,null
2.0,null
3.75,1.75L
4.0,Hits of creamy vanilla and butterscotch give way to a light peaty taste
4.25,null
2.5,null
2.25,null
3.25,null
3.5,null
3.25,null
3.0,null
3.0,Mild smokiness. Smooth but nothing special.
2.5,null
3.75,null
3.0,null
3.0,"My Rating Glossary:  

Two Stars:           ""I'd rather be drinking lite beer.""
Two 1/2 Stars:    ""Posh rubbish.""
Three Stars:        ""I love whisk(e)y.  This is average love.""
Three 1/2 Stars: ""May buy again.""
Four Stars:          ""I've got to get you into my life.""
Four 1/2 Stars:   ""Better than drugs.""
Five Stars:           ""Life is good.  Whisky makes it better."""
2.75,null
2.75,null
3.0,null
3.5,null
2.5,null
2.5,null
3.75,"Peat, dry spice, citrus, pepper"
2.75,null
3.5,null
3.5,null
3.25,null
3.5,null
3.0,null
3.5,トロッとした飲み口。アルコールがピリッとくるが、やんわり甘い
2.5,"Caballito de batalla, zaffaroni con mucho hielo y bueno para mezclas. La relación precio-calidad es honesta"
3.0,null
0.5,null
3.5,null
3.75,null
3.0,Very solid scotch. Some honey and smokiness on the nose. Same honey sweetness and more smoke on the palate. Short finish but for 30 US dollars you could not go wrong with a bottle of JW Black. Great everyday sipper.
2.75,null
3.25,null
3.5,null
2.75,null
3.0,null
3.5,null
3.25,null
3.0,"First time trying peat. Not great, not terrible"
2.25,null
3.0,null
4.25,null
2.5,null
2.5,null
3.25,null
4.0,"Nose: sweet marmalade smell like monkey shoulder but with light peat.
Taste: pleasant friendly ripe fruit sweetness with light smoke. 
Allows you to enjoy a peated scotch without your mouth feeling like an ash tray for 30 minutes afterwards."
3.0,null
2.0,null
2.5,null
3.75,"Starting my journey with this one. Had whiskey before, never have I consciously analyzed its taste though. 

I like its smell more than the actual taste when the beverage is in my mouth. I can scent citrusy notes. 
The aftertaste is another highlight for me, it reminds me of I unripe (green or black skinned) walnuts that I loved to rip off of trees in my backyard in order to smell them. I also get some citrusy notes in the aftertaste.
The very first note when flushing my mouth with whiskey is a very pleasant and subtle sour sensation on my tongue. Sensing an uncommon sweetness short before the aftertaste is presented, I still feel like I am missing a lot of notes during the period of the beverage flushing my mouth- presumably as a beginner I am overwhelmed by the complexity and intensity it’s taste."
3.5,null
2.5,"A little too peaty for my taste; semi-smooth scotch, though."
3.75,There is a nice light smoke that follows the taste of sweetness. A medium finish to end the light whisky
3.75,null
3.5,null
3.0,null
3.75,null
3.75,"Light smoke on the nose. The palate starts with a pleasant sweetness before the peat comes to the surface and leads to a pleasant, medium finish."
4.0,null
3.5,null
3.0,null
3.5,null
3.25,"For the price, really not bad at all"
3.0,null
3.25,"Nice smokiness, rich and deep"
2.75,null
3.0,Smoky and chocolate notes on the nose
4.0,"Is a very good 12 years blended scotch, on the nose you get cotton, vanilla, beautiful aroma. On the palate i found caramel. I also got an spicy aroma and its hot in the palate. The finish is medium, hot and dry. i prefer it over Johnnie Blue. Slightly peated. 85 over 100"
3.0,null
2.0,null
3.25,null
4.0,null
3.0,null
3.0,null
3.5,"Vanilla, toffee, butterscotch and fairly smokey. A classic"
4.25,null
3.75,null
3.5,null
1.5,null
2.5,null
2.75,null
4.0,Heerlijk
3.75,null
2.5,null
3.0,null
3.25,null
3.75,null
3.0,null
3.75,null
3.75,null
4.5,null
3.0,null
3.0,null
3.0,"Alright! Got me a sample of JW Black!

Nose is nice. Some sour fruits and a bit of peat. The peat shows itself more with each taste. About the same on the taste but the peat is a bit more prominent on the backend. There’s a bit of honeyed sweetness there. This has some heat on the finish with a lingering medicinal taste. 

It was ok. I hear great things about JW Green, so I gotta try that next"
null,null
3.75,null
3.25,null
4.5,null
3.25,null
3.0,Bit of smoke to it otherwise bit of caramel and some dried fruit flavour nice with ice
3.0,null
4.5,null
2.75,null
3.75,null
3.75,null
4.0,null
4.0,null
4.5,null
4.0,More Smokey taste than red
3.0,"Smokey on the front, but just Smokey for the sake of being Smokey"
3.25,null
3.25,null
2.75,null
4.0,null
