star,comment
4.0,null
5.0,null
3.75,I enjoyed this but not sure it was worth the price tag
3.5,null
4.0,null
2.5,null
4.0,"Aroma is great
3.9"
3.5,"Dark fruit, mint, and dates on the nose and a prominent sherry note on entry. Caramel and raisins accompany the classic bourbon profile. Mouthfeel is slick and a bit oily. Dark chocolate and oak on the finish."
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,"When I want people to understand what a bourbon should taste like, I give them Magnus!"
5.0,null
5.0,"Very sweet, rich flavor.  Hints of vanilla, red fruits, maple, brown sugar.  Almost like dessert"
5.0,null
5.0,"this is nice.. on the nose you will first note cinnamon, and carmel.  there is also hints of dried fruits.  taste starts clean and melow, building  with a warm finish. you will tate notes of more dried fruit, maple, and traces of sherry, cognac, and  oak.  this is  a well rounded bourbon  worth trying."
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,Medium body sweet spicy baking spices short light fruity wood finish
4.0,null
3.0,"Really good, but not as good as Magnus Cigar Blend."
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.5,"This bourbon is outstanding! I was initially hesitant about paying $99 for a bottle but to me, it turned out to be worth every penny. I've seen the price as low as around $80 and that would be an excellent bargain. If you're worried about it being too sweet or overly sherried, that isn't the case. It is rich however and extremely smooth. You can pick out complexities in this all day long. It's like a fine jazz ensemble of top musicians, tightly playing at a small exclusive club that has the most acoustically balanced tones and you're palate is standing in the sweet spot. Bottle# 685/892 Batch: 19"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,This is a good pour.  Reminds me of the Dalmor Cigar Malt.
4.0,null
3.0,would be good occasionally...not to buy.
4.0,"Delicious, but pricey at $100. Floral, spicy, different. 
Rating: 4.25"
4.0,null
4.0,null
5.0,null
4.0,null
4.0,
4.0,null
2.0,null
4.0,Good sipping whiskey
5.0,null
null,Spicy (but enjoyable) upfront. Immediately drops off. Sweet finish and can taste the sherry.  Has a Peaty /woody /oaky aftertaste
2.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,"Smells of wet cloth, some cloves, and honey. Sharp on the tongue, almost carbonated. Leather and mint, with sweetness and some bitterness on the backend. Very long, spicy finish. 5/20/17"
4.0,null
3.0,null
null,"5/18/18 Total Wine & More, Plantaion, FL
116.59 = 109.99 + 6.60"
5.0,Mouth sex.
1.0,"Dark fruits and slight oak on the nose. Reminded me of the Rhetoric 22 on first nose. First taste was WAY more different than expected. I guess it’s smokey, a bit of mint and a funky—musty flavor that hits hard. No alcohol burn, but not something I really enjoyed. There’s a taste of tobacco and leather that I normally like but the musty flavor is throwing me off BIG TIME. Tastes nothing like a typical bourbon. Almost as disappointing to me as the Old Potrero 18th Century. I wish I had tried this before buying. But saw it for a good price and heard some reviews that sounded promising. I have doubts that it will even work for me in an old fashioned. 

2⭐️ / $78 / Remedy Liquor / LA"
5.0,null
5.0,null
5.0,null
4.0,"Buttery, hot"
5.0,"Auburn color with an oily mouthfeel. Caramel, vanilla, and peppermint on the nose. Cinnamon, mint, and oak on the palate. A rich finish with a moderate amount of oak."
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,Different and enjoyable but overpriced. Would not buy again for what I paid for this bottle.
null,Tried with Sepehr
4.0,"For those who like sweet, complex, dessert-style bourbons, Joseph Magnus is a strong contender.  For those who want a craft distillery pedigree with an interesting story behind it (the family that owns it traces it lineage to a pre-Prohibition era distiller, for whom they named the brand), Joseph Magnus is a strong contender.  For those who want a critically well-reviewed bourbon, Joseph Magnus, which has won a bevy of gold medals at San Francisco's high-end Spirits Competition, is a strong contender.  Now, for those who want an affordable bourbon . . . not so much.  This is a $80-100 bourbon, which means this DC-based label places itself among the limited releases and double-digit aged expressions from the best Kentucky distilleries.  Moreover, it asks such high prices despite not distilling its own product -- this, like Belle Meade and many other brands, is actually sourced MGP bourbon from Indiana, albeit finished in a variety of casks (sherry, port, and cognac) in their DC warehouse.  Perhaps one day they'll have aged their own distillate enough to transition fully to their own product but, right now, the ask is $100 for a bottle of finished MGP.  To its tremendous credit, it's worth it, and I thought long and harda bout ordering a bottle after getting home.  This is a rich, tasty bourbon, with vivid syrup and fruit notes:  vanilla, strawberry, and some smoke from the barrel char, which hints at chocolate and coffee.  Coincidentally, my friends and I stumbled upon this distillery while we lived in DC, and it also has a great tasting room and an incorporated cocktail bar inside the warehouse space itself, where one can see barrel upon barrel of this bourbon still aging."
2.0,null
5.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.5,null
4.0,null
5.0,"Smells sweeter than it tastes, but still has subtle notes of figs and cognac. Finishes with a subtle hint of charred oak."
3.0,"Hot, cloying, weird. Lots of Sherry influence and reminds me of some Highland whiskies without any of the  refinement."
4.25,Unbelievably smooth
4.5,null
3.5,null
4.0,"Full flavored. Sweet fruits. Cherry. A bit artificial sweetness for me. An array of flavors, full finish."
2.0,null
3.0,"Nose- Fairly muted with brown sugar and sweet tea
Body- Very sweet upfront but also a bit spicy with noticeable malt notes.
Finish- There are malty notes of dark chocolate and grain in the end. This definitely has a rich mouthfeel. A bit malty for my taste though."
5.0,null
3.0,null
4.0,"Spicey, full bodied. Closer to a 3.5."
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
1.0,"Harsh, lingering ethanol up front.  Thin and unimpressive.  I’m surprised the reviews are as high as they are.  Another NDP over-hype @ $100 / bottle."
5.0,null
4.0,null
5.0,"delicious spicy oloroso sherry and sweet px and grapey smooth cognac...
it's the Macallan of bourbon!!!!"
4.0,null
5.0,null
4.0,null
3.0,"Nose - Strong oaky vanilla, dark caramel, light cherry/strawberry candy, sweet cream butter.

Taste - Drying & tannic mouthfeel, sweet oaky vanilla caramel, strawberry preserves, light chocolate latte foam sweet, cherry syrup, light cinnamon, drying oak.

Finish - Drying oak, light cinnamon heat, cherry/strawberry syrup-like sweetness, oak.

Score - 81/100

Final Thoughts - Relatively pleasant nose, a bit on the oaky side, yet ""soft"" on the nose in that it doesn't have the heavy/dark caramel I like from a good Elijah Craig Barrel Proof. It almost feels as if they finished this in a microbarrel for all 3 finishes as it picked up quite a bit of oak, but has this nice soft sweet very lightly fruity finish. This one was quite strange for me, it didn't smell overoaked but it was quite tannic on the palate, combined with a sweetness that is very difficult to explain in that I didn't get the usual dark dried stone fruits from the sherry but it tasted more of a fresh fruit syrup sweet. This was a bit confusing from start to finish and while not unpleasant, not something I think I'd reach for very often.

Would I drink it if offered? - Yes

Would I specifically order it? - No

Would I buy a bottle? - No, especially at current prices."
3.0,null
5.0,null
4.0,"Overall, Magnus ranges anywhere from a 3-5+ stars so I settled on 4.  This is one complex bourbon.  It needs time in the glass to really open up.  Constantly reminded of cherry coke, but there is a ton of depth here.  Never had anything quite like it.  Value is questionable, but if you walk off the beaten path grab yourself a bottle."
4.0,null
2.0,null
5.0,null
null,null
5.0,"Deep and luscious in color. Nose brings chocolate, coffee, molasses, and overall richness. The palate is complex and very dessert worthy. An amazing after dinner drink. Compliment with a cigar for a sure fire good time."
5.0,null
