star,comment
5.0,null
5.0,"Immediately, you taste fire, followed by a full flavored, spicy, rich taste. Wow! I’m going in for the second taste and then...third..."
4.0,"No age listed (6 barrel blend)

Smell: oak, sweet spice, caramel, red fruit
Taste: strong floral, balanced smoke and oak
Feel: warm arrival, strong throat
Finish: long and strong, nice afterbreath

4.0/5.0

“Such a delicious oak flavor and promising finish.”"
5.0,null
3.75,null
4.5,null
4.75,null
4.75,null
4.5,null
4.5,"Very good. Subtle spicy, good sweetness. One of my faves."
4.75,null
4.0,null
3.0,"Great nose, with classic caramel but also floral honey and a slight vegetal note. Strong leather on the palate, sharp and chalky. Cacao nibs as well. Not as sweet as the nose suggests. Dry finish that lingers. Nice warmth. 10/18/18"
