star,comment
4.0,null
4.25,null
4.5,"Better every time. Heavy on the heat with oak, earth, leather, moss, and vanilla. A goddamn steal. Toss in an ice chip and you get more tobacco and leather along with cinnamon and red wine. Long finish that ends dry. In a good way. Like sunshine after a flood."
null,null
null,null
null,Reco
5.0,null
5.0,null
5.0,"Really good, spicy but not overwhelming. Longest finish I've tasted as of 4/17/17. Very complex

Capital cellars $170"
null,"Tasted 4/8/17 Capital Cellars, Frankfort, KY
Very good, but price was an issue @ $40 for taste & $170/bottle"
5.0,null
5.0,Excellent pour!
4.0,null
5.0,null
5.0,null
