star,comment
4.25,"Did a tasting including this, Weller 12, Blanton’s and EH Taylor Small Batch.  This was complex and tasted like crunchy peanut butter.  With  time it evolved into dry roasted peanuts.  Held its own with tough competition.  Really nice ."
4.0,Fantastic taste. Tastes like most knobs but a bit more complex
3.75,null
4.5,null
3.75,"Sweet, oily, full body.  Not as peanut buttery/nutty as I was hoping."
4.0,"Both wife and I are loving it.  Well rounded, easy drinking, will buy again."
4.5,null
3.25,"Tastes like fish and lima beans... but that’s what I had for dinner. Lima beans are the worst, seriously. This is much better - hints of plywood and black marble followed by notes of polytheism."
3.0,"Even at 100 proof it feels watered down and muted. Sweet wood, big cedar. Lite cream, good but feels like the richer version could be great..."
3.0,"Tawny color with nice legs. Huge hits of vanilla and brown sugar on nose. Extremely smooth. I had a hard time picking up any pronounce notes of anything, very subtle grass & wood."
3.5,null
4.25,null
4.0,"Really like the Jim Beam profile, knob creek was always a good solid go to but that changed with this whiskey. The age statement is back and they aren't at 9 they upped it to 12. This whiskey changes multiple times through out an evening as it opens up which is always great because you don't drink the same whiskey twice. Nose is sweet caramel, vanilla, a bit of brown sugar. Cherry is your fruit note, barrel and rye spice round it out. Let it open up and you get more honey, nice baking spices, cinnamon and apple with a sweet pie crust note true apple pie in a glass. Taste is classic bourbon, sweet, cherry, honey, caramel, it's knob creek so the rye and barrel spices show up early and loud but calm down quick with a vanilla surge too. Let it open up with time and you get cherry, honey, even more vanilla, peaches, and corn syrup on the taste.  Finish is kind of short for such a bourbon with an age statement like this but it's sweet, oak, fruit and honey as long as it lasts. The finish doesn't really change the more it opens up except that you get less oak wood notes and more vanilla cream the longer it sits. Really nice bourbon and a nice age statement at a fair to good price."
4.0,null
1.0,"Nose - dusty corn, peanuts, some caramel, and dusty oak. 

Taste - The taste is a bit sweeter than the nose, but there's still that beam profile of peanuts, dusty corn, a lot of caramel, and oak. 

So I don't get this. The 9 year single barrel is really good whisky. The standard small batch is actually pretty good. But every time they bottle something officially with more age, they want to showcase everything beam does wrong. That nutty beam character is nice when it's subtle. Instead the salted peanuts overwhelm the bourbon character, it's oak and nuts. Why?

We know for a fact that they have massive amounts of outstanding barrels, these 9 year store picks have been getting rave reviews, but as soon as beam blends together batches, we get absolute crap. 

I've been working on this one for a few weeks, kept putting off reviewing it due to sometimes think it is too hot, other times thinking I'm off. I wasn't and it is. This is just another poor effort from beam. Whoever is doing their blending should be replaced. 

That said, this isn't complete a disaster. It's a 1 star whisky, quality components but unless you're obsessed with that beam profile, avoid it. It's over priced to add insult to injury."
3.75,null
4.0,null
3.75,null
3.5,null
