star,comment
3.75,Spicy and smoky. A little harsh but if you want a bite and some smoke a good choice.
4.0,null
4.5,null
4.0,Light peat smoke sits on top of pear and apple sweetness
4.5,"Amazing whisky from Lagavulin. At worst, I feared it was going to be a sell-out gimmick. At best, I figured it would be a slightly harsher version of the 8yr. I was happily surprised - smoky, peaty, and smooth."
4.0,null
4.25,null
4.0,null
4.5,null
4.5,null
4.0,null
4.0,null
3.75,"smells like 16, taste into smoky burn. slightly harsh follow up"
3.5,null
4.0,"less peat than Laphroaig quarter, well rounded with dark fruit"
4.25,null
4.25,null
4.5,null
3.75,null
3.0,null
4.0,"Cereal, and dried or stewed fruits, and ashy, similar ashiness as what I get from Caol Ila. Spiciness here and there. Though it's somewhat harsh, nose to palate - not unpleasantly harsh, just intenser than I'd dreamt - alcohol is there present in a representing way. Chocolate is found in the finish.

No, it does not roar. I care less than nothing about GoT - too violent for me, not that if it's not a great show or what. I was interested about the 9 age statement, like all the other pros.

Though, somehow, for Lagavulin's profile, it's too young, same thought I have for Lagavulin 8 - the 16 is the thing. Not everything else can be too young, but Lagavulin? Nah.

Well, right, so it roars somewhat."
4.0,Good neat and with a drop of water
3.5,null
4.75,"This and the Talisker GoT were the only ones I was personally interested in having.  This is simply a classic Lagavulin.  If you enjoyed the 8 yr old, it’s similar.  Smoky embers on the onset, strong vanilla backbone (which I’m a bit surprised at...didn’t see that coming), and burnt ashes.  Considering how smoky this is, I would’ve thought it would’ve been Daenerys’ Taragarean dragons.  Either way, so much better than that piss poor JW White Walker.  This was good enough for me to buy a bottle after trying the free sample.  Even if it had nothing to do with GoT, I’d still have bought it.  For $65, it’s worth it."
1.25,magic marker
4.5,"This is Lagavulan.  And yet it's not.  The smoke is there like the Lagavulan 16, but it's more mellow than its older counterpart.  The finish is long and savory.  If the 16 is ordering a big, meaty Texas brisket, then the 9 is like ordering ribs.  Still awesome.  Still smokey, but a slightly different experience.  Pick it up while you can.  This one and the Talisker are worth whatever you can find them for.

As for the GOT tie-in, I'm with many of the other reviewers here in thinking that this would have been a better fit for house Targaryen, but it's not the strangest pairing of a house with a single malt in this collection, and the whisky is good enough that I won't dock it for being mismatched with a GOT house."
3.0,null
3.25,Too much for me. Finished smooth but just so much peat. in morning it felt like I smoke a cigar. I'd pass vs most I've tried. apples and fruit
4.0,"Smells very Smokey and Peaty, basic Lagavulin and regionally appropriate. Tastes slightly sweet to me but evens out to peat/smoke notes."
4.0,"My first lagavulin, and it didn't disappoint. From what I've heard of the 8 (being a young and a bit blunt in its tastes), I'd say the extra year of aging mellowed it considerably. Chances are, all the bottles are spoken for. So if you want one, either prepare to pay secondary market, or get to work on that time machine.

smells a bit apple and smoke
tastes the same with the addition of some honey and light peat"
4.25,null
null,null
5.0,null
4.25,null
4.0,null
4.0,null
3.0,null
5.0,null
4.25,null
4.5,null
5.0,null
4.25,null
5.0,null
4.5,"Verdict- awesome. Johnnie Walker White Walker was a mass production sell out. They made it boring and sweet for appeal. Lagavulin did a fantastic job with the 9yr. Still peated and smokey, possibly lightly sweet finish?. It’s great. I’m happy they didn’t sell out like JW and dumb it down for cocktail drinking fans."
4.5,null
