star,comment
4.0,Rich sweet smoke
4.0,null
4.75,"Peat, smoke, sweet, brown sugar,"
4.5,"Nose: peat and sweetness.

Palate: peat, spicy, lemon.

Finish:"
3.5,Fairly Smokey.
4.25,null
3.75,null
4.25,"Rubbery and medicinal peat smoke. Once acclimated to the peat, there’s a lot of bright citrus and honey. The higher abv amplifies all of these flavors but isn’t overwhelming.... it also seems to bring out a toasted marshmallow note that I don’t recall getting with the standard 10."
3.25,"Peppery, Smokey."
4.25,null
4.75,Warm peaty bliss. Lovely whiskey.
2.0,Tøff whisky
5.0,First peated scotch. Go big or go home. I loved it!!!!
3.5,null
4.0,null
