star,comment
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,"Band aids, medicinal bite to the extreme, faint hint of vanilla, coal, diesel, sea spray, and other goodness. Famtastic! one of the best Islays I've had. [96]"
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,Incredible
5.0,"Lækker rund, god behagelig røg, god eftersmag"
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,The peat blends perfectly with the sherry and bourbon notes.  Absolutely stunning.  Best Islay and best whisky I've ever tasted. Highly recommend
5.0,null
5.0,null
5.0,null
5.0,"The 10 year is a definition of a ""peat wreak"" whiskey. If you take 15 more years, this whiskey matures well beyond it's time. I think 95 is low as this whiskey is sleek, smooth and rich. The peat dried barley shows with amazing quality with hints of sherry and bourbon spice. By far the best scotch I've ever drank."
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,"Great whiskey, but 10 year is still better. I liked this one better than 30 yr though."
4.0,Gotta say I was disappointed and prefer the 10 year. Tough decision between 3 or 4 stars.
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,Apples/Cinnamon/Smooth Smoke - Wonderful Dram
5.0,null
2.0,Way too Peaty for me.
5.0,null
5.0,Test
5.0,null
5.0,null
5.0,"Salty, creamy, and as seamless as they come. Stunning!"
4.0,null
5.0,null
null,"Tried at scotch & soda, a little more depth than the cask strength 10 year, less peaty, less burn.A couple of tasting notes but unable to define what. Glad I tried but would not purchase a bottle."
5.0,"This review is for the 2015 version of Laphroaig 25 Cask Strength, which was bottled at 46.8%.  Although a cask-strength expression, its long years of maturation ended up driving the ABV down pretty much to the standard, diluted alcohol content of most whiskies.  The nose is defined by vanilla, caramel, guava, floral, and oak, with just hints of maritime brine.  It's a complex and pleasant nose, albeit not the powerhouse notes one typically associates with Laphroaig.  This is a gentle, mature dram whose smokiness is part of a chorus of flavors rather than a solo act.  The palate demands attention on every sip, with unexpected flavors each time:  oak, coffee, chocolate, peat smoke, and grapefruit.  The texture is oily and thicker than one would expect at 46%.  The finish has nutty components, like almond or macadamia, along with more oak, chilis, and peat smoke.  At roughly $500 a bottle, it's not likely to find a spot on my shelf anytime soon, but it is a lovely and refined accomplishment."
5.0,Wonderful peat that permeates throughout. This reminds me of the lagavulin distillers but a step up for sure
5.0,null
5.0,null
5.0,null
4.0,"[Whiskey Live NY 2018] - Excellent stuff by it's own right.  Hits that perfumed quality you get with old malts.  However, side by side with the Lore I believe it loses some of that youthful spark that drives the greatest artists of our times."
4.25,"Dramfest ' 18. This whisky festival is amazing. $100USD and I've tried nearly 70 drams in 2 days.  Less than $2 a dram.  And yes this was one.  I went there early in the morning on the 2nd day as the dram never showed up on day 1. They literally hid it behind the banner display. It was like a covert opp as she scurried behind the display and very quietly poured the 4 of us a dram.  Very, very nice.  Beautiful balance. Faded peat and vanilla, very subtle. 4.25. Def not worth the price at $600 USD a bottle though. Oh and to add this was the 48.9% not the 40% version"
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
3.0,null
4.25,null
5.0,"Nose and nose again. After 30 minutes of nosing, taste. Add water and it really opens up."
null,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,"2014 Release

Nose - (w/o water) Dark fruity smoke, earth, fruity peppercorns, dark pear cider, spicy dark chocolate (w/ water) Less smoke, more sea air, ripe pears, golden raisins.

Taste - (w/o water) White pepper tingle/heat, sweet smoky salty dark pear cider, lightly drying mouthfeel, smoked sweet nuts, golden raisins (w/ water) Oaky, salty, sweet smoke, initial dark raisin sweet quickly transitions to a golden raisin sweet, ripe pears, sweet smokehouse almonds.

Finish - (w/o water) Lingering white pepper tingle/heat, very drying, light sea salt smoke lingers, light smoked salted nuts, golden raisins. (w/ water) Gentle warmth, golden raisins, sea spray, light lingering sweet smoke.

Score - 89/100

Final Thoughts - I quite liked this the first time I tried it and I like it again this time. Not being a huge peat head, this was quite tasty as the smoke & all of the unpleasant notes I get from younger Laphroaig are mostly tamed after spending 25 years in oak. The sherry notes in this one are more subdued, so I'm not sure if they used refill sherry or a lighter sherry like amontillado/manzanilla because I get more nutty light fruit notes. Regardless, this is quite tasty, gentle smoke, light savory sea salt throughout, nicely balanced.

Would I drink it if offered? - Yes

Would I specifically order it? - Maybe, pending price

Would I buy a bottle? - No, I like it, but not enough to get an entire bottle to myself"
4.0,null
null,null
5.0,"2018 bottling at 52%

A symphony of vanilla, oak, peat, and brine.  Warming heat, but not burning.  Long, dry finish."
5.0,null
4.75,Rounded off smoke notes make this a super friendly Laphroaig.
5.0,null
5.0,null
5.0,null
4.0,smooth and yummy
3.75,null
4.25,null
4.75,"Julio’s ‘Meet and Greet’ event."""
4.75,null
4.5,"Not sure if this is the right picture for the review of this I believe 2018 edition.

Nose - So i get candy cigarettes, lemon lime, a bit of a real cigarette smoke, iodine, and there's a savory note. This is oddly similar with a bit more citrus than some of their younger elements. 

Taste - elements of vegetable, vanilla, oak, powered sugar, some citrus fruit, oak almost mutes some  of it.  The finish is that candy and soft peat. Anyone who thinks 25 years will get rid of the peat punch is crazy, this is heavily peated by any standards. But with it comes so much complexity, so much nuance, so much just awesome whisky. 

I always struggle with nuanced notes on peat, but as a peat lover this is hands down my favorite heavily peated whisky to date, pushes the ardbeg 23 out of the way.  I'm not honestly a fan of Laphroaig generally but this 25 year is amazing. 

I'm debating a 4.5 vs a 4.75 and  i think I'm settling on a 4.5 but it's a STRONG 4.5. This is a bottle I'll replace at almost any price as I need this always in my collection."
