star,comment
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,"Is this a whisky or a rosé? You could be forgiven for asking yourself that when this Madeira cask finish is sitting in the glass, blushing at its audacity. A delicate berry bouquet extends the illusion for a beat, until the classic Laphroaig aromas stamp their presence on the occasion. The fruity notes continue in the mouth, with strawberry and Luxardo maraschino cherries sandwiching the signature smoke. It's a more satisfying blend than the Portwood edition or the PX, if not in the same league as the 2014 Cairdeas."
5.0,null
3.0,Tasted at Laphroaig Distillery.
5.0,null
3.0,null
5.0,null
3.0,"I was stuck outside while working last night as the remnants of hurricane Matthew dumped the last of its rains here in central Virginia.  The weather really set the mood for an Islay distilled scotch:  dreary, salt-tinged rain and howling winds (while working nights did its usual thing of testing my overall mood).  Perfect time for a new Laphroaig.  I may as well open this year's Friends of Laphroaig Cairdeas release.  This one was finished in Spanish Madeira wine casks and comes in at a healthy 103.2 proof.  I paid $75 here in VA.

First of all, I was surprised that upon pulling the cork the living room wasn't filled with that beautiful, signature Laphroaig smoke.  Pouring myself a dram I also noticed what appears to be a slight rose color tainting the normal golden hues.  At first I thought it was the color from the bottle's label reflecting through, but upon closer examination it isn't.  There's a slight, pinkish hue to my Laphroaig.  After 15 minutes of sitting and swirling I still don't get much smoke on the nose.  Eerily, it's very reminiscent of the 15 year old Laphroaig- and not in a good way.  I don't get anything replacing the usual smoke either.  Uh oh.

The first sip reveals the Laphroaig smoke I know and love along with a nice hit from the oak barrels.  I'm detecting young whiskey here.  As far as the wine cask finish- all I get are some subtle sweet fruits like strawberries and maybe cherries.  Whatever time it spent in these wine casks it wasn't really long enough to add much towards making it a more complex scotch.  It stripped away the normal oily and rich finish and replaced it with a weaker, dry one.  I really loved the 2013 port wood Cairdeas- it made a wonderfully complex Lahproaig.  This version unfortunately did not.  The finish is pretty dry and very short.  Even the burn from the high proof is absent, which some folks may love, I don't.  It seems very un-Laphroaig to me.

So, my initial impression is very similar to the 200th anniversary 15 year old.  It seems like a light Laphroaig.  That's not what I want from these guys.  Before I get blasted, I realize it's hard to make an annual Cairdeas release and expect extreme depth, but they've done it before so that's not really true.  This is a different take on the norm, but I can't help but feel but a bit let down.  I still love Laphroaig, but I gotta chalk this one up as a disappointment.

I still have the full bottle so maybe it will change my mind as I drink through it.  I hope that happens.  Maybe I'm brooding after a horrible night at work, my palate may be off, Donald Trump is a jerk, Hillary Clinton should be in prison, etc.  I'm looking for anyone or anything to blame at this point.  I guess I'll just give this one some time and hope it was just an off night for me.  Cheers."
5.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
5.0,null
4.0,"Amazing color... pale rosy amber with a silvery green hue. Forms a beautiful Scotch mist with a full teaspoon of water. Nose: Rich warming peat, signature ""band-aid"", old leather, butterscotch and dark chocolate covered walnuts. Little whiffs of raspberry. Palate: Spicy sherry arrival along with a touch of sulphur, smoky charcoal sweetness and dry orange peel follow into the long drying salted-caramel finish. Glad I nabbed a fifth, can't wait to see next year's bottling! Dry glass: oven-roasted sweet potato."
5.0,null
4.0,null
4.0,null
4.0,"I'll make this brief. Imagine the saltiest trail mix you have ever had, left over a campfire for the duration of, let's say, half a week. This is what you get. Salt and smoke on the nose, followed by some nuttiness (pecans?), with dried cherries and plums presented themselves on the palate, with a (considering this being a Laphroaig) subdued presence of peat coating the sides of you tongue. The oak shows more prominence on the back-palate, and the finish, where the salt takes back over and the fruit comes back in as the smoke exits. Actually, that wasn't exactly brief at all... Dammit."
2.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.25,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
2.0,"nose: sharp, acrid, iodine, burnt bbq / 
      taste: bitter, bitter smoke / finish: bitter, burnt toast / 
      body: thin, anemic legs / 
      Newly opened bottle, will taste again in a few weeks. Much prefer Lagavulin 16 and Ardbeg Uigeadail."
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,"Sweet aroma, slightly nutty, hints of sea breeze, smoky bacon, peppery spice, touch of leather, plum, honey."
4.0,"I had this last night, hoping to enjoy it over a Giants win on Packers.  Unfortunately, the G-men decided not to show up after the half.  Anyway---I love this color---not sure if it's natural or color added ( I thought though that Laphroaig is non-chill filtered and no coloring).  You can clearly see the Madeira influence on the color.  Nose---not crazy about it, but it does still hold the classic Laphroaig band aid medicinal.  As much as I'm not a fan of the aroma, I think the palettte is simply amazing.  The band aid aroma changes quickly to oak and fruits.   I don't think I've had previous Cairdeas before, but now I'm curious to try other versions, especially the Port and Amontillado ones.  Thanks to Davie for a generous sample!!"
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
null,"Smell: Cinnamon, clove, red wine, caramel, smoke, peat

Taste: Caramel, smoke, allspice, apple, peat, lime, salt

Finish: Very sweet, madeira, cinnamon, smoke, butter"
4.0,"Delicious. Smoky, Peaty, oily and full flavored. A robust Scotch  that really fills the senses."
5.0,null
4.0,null
4.0,null
5.0,null
2.0,null
3.0,null
5.0,null
4.0,null
