star,comment
null,Where did you find it at?  I'm still waiting for it in MA.
4.0,null
5.0,null
4.0,null
3.0,null
5.0,null
3.0,Geruch rauchig mit frucht. Geschmack süßlich mit deutlicher rauchnote. Gut ausgewogen.
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
4.0,null
4.0,"A little bit of smoke, a lot of sweetness but not much of personality and distinct enjoyment. A really good malt, but you can get better for the same price."
3.0,null
4.0,Smoke and spice
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,Deeply underrated! Fresh mixture of classical L. body and sherry tones. Pretty dram!
3.0,null
4.0,null
4.0,null
3.0,Smoky but also oddly toned - doesn't give the same whole-mouth aggression as a Lagavulin 16.
3.0,null
5.0,Perfect peat. Well balanced oak and awesome hint of saltiness and sweetness. More flavor than the classic 10year old. Less woody than the quarter cask or triple wood.
3.0,"Pleasantly surprising sweet finish. Maybe the tough guys at Laphroaig are going soft? Thoroughly enjoyable, easy to drink first dram,of the night."
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,"Picked this one up in Duty Free, and it has a special place in my heart since it got me into drinking Single Malts. I had tried Whisky before of course, but wasn't a big fan. This one made me understand that it can be quite a complex and enjoyable drink, and that I like my Whisky smokey.

Since that first experience I got to taste quite a few other drams and came to realize that there are a lot more complex and satisfying Single Malts out there, but I still happily pour myself a glass of the Select while reading a good book.

Nonetheless, my next bottle from Laphroaig will be the 10, which I consider much better value for money than the Select."
3.0,null
3.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,"smooth, consistent, long lasting smoke; delicious.  Tastes like the peat used to hear our BnB  4.25/5.0"
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
5.0,"I was a bit sceptic, but this was a good one. Good taste that lasted long on the tounge"
3.0,null
3.0,"Dinner with friends and enjoyed beer and wine. Saw this in the stock and ordered one for sipping through good conversation. The peat is immediate and on the sweet side. Some faint fruity notes arrive once the peaty-smoke fades.  The body is thin and light and delivers, at first, a light oak that's slightly funky(?), but not off-putting.  Finishes on the short side with brown sugar/toffee and oak.  I did notice that, over time, since I sipped this slowly all evening, it become a much sweeter and softer dram.  Time and patience with this one I think is warranted.  A simple enjoyable dram.  A decent balance between smokiness and sweetness. [85/100][Tasted @ Mannino's; 11/21/15]"
2.0,No balance in this whisky. It lacks identity. The sum of different Laphroaigs is less then one of the others.
3.0,null
4.0,null
2.0,"It's ok, not what I expect from a Laphroaig"
4.0,null
2.0,null
5.0,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.0,null
5.0,"Nice, a bit grassy and younger tasting than the standard 10 years old"
4.0,null
3.0,null
3.0,"I bought this today on a recommendation.  I went to my local store this evening, just to see what's new.  The store manager suggested Yellowstone bourbon (and I promptly ignored him, since he was the same guy that recommended Wasmund's as the second coming of Macallan).   But, I ended up in a conversation with a  guy who works at a whiskey bar in NYC.  He said his favorite all time was the Yamazaki 18, followed closely by the Laphroaig 32 and High West Midwinter.  He recommended this a milder version of the 10, and well in the affordable category ($60 in central NJ).  So...my humble opinion on this:  it's not your classic ""punch you in the face"" Laphroaig.   It's tamer.  Not refined, just tamer.  Big difference.  Nose still has that medicinal aroma, but cleaner and milder.  Not peaty, but a wisp of smoke.  Palette is a bit of a mash up.  Fruity.  Like stone fruits and grilled peaches with honey.  Finish is stronger---you can feel the smoke now.   What I like about this is that it's simple, yet complex enough.  It's smoky, but not too much.  It's peaty, but not overly.    What I don' t like about it is that it's all over the place.  I can't really place a finger on a few key elements...instead it has a bit of everything.   It's like family over Thanksgiving (or Diwali in my case).  You have the crazy uncle.  The nosy aunt.  The obnoxious cousin.   The sweet grandmother.  Dinner conversation can be nutty ranging from the uncle telling about his motel he owns to the cousin talking about some surgery he performs, to the young nephew talking about his college girlfriends.  (all true over my house at Diwali)  But it's family, and it feels just right.  
    I like this one, but I don't like it.  You can have it over summer, rainy days, and well as cold nights.   It's all over the place."
4.0,null
2.0,null
4.0,null
4.0,null
5.0,Very nice oak taste for anyone who likes a malt will like this.
3.0,Heel ziltig
2.0,null
4.0,"Ahh, the in-house blend of most Laphroaig staple single malts.  It starts out well enough with that classic peat smoke that all Laphroaigs open with and continues on to the palate:  creosote smoke, band aid and seaweed brine.  It's all too familiar at this point, yet it's everything I love.  I've tried every malt blended here except that elusive PX cask.

I'm not sure how I truly feel about this NAS offering:  it tickles all the right spots just being its traditional Lahproaig self, but some (spoiled) part of me wants there to be something to set it apart from the rest:  a richer mouthfeel, more smoke, more heat, more....anything.  It just isn't there.  I suppose I should rejoice in the fact it's a tad bit cheaper than the sum of all its parts.  There's that.

...and that's what I'll settle for.  It's Laphroaig, folks.  You know what you're getting.  If it's your thing you're gonna enjoy it and look forward to what's next in their arsenal.  Keep calm and sip on, my friends.  Cheers!"
4.0,null
2.0,null
4.0,null
4.0,null
4.0,"Явно ощущается сладость от PX, но вкус быстро проходит. В целом -- обычный 10-летний, но с приятным твистом в сторону сладости."
5.0,null
4.0,null
3.0,null
1.0,"Sweet on the nose. Short finish, not much going on here. 

Tasted at Laphroaig Distillery on 7/27/2016"
5.0,null
3.0,null
4.0,Voor een Laphroaig best lekker. Linoleum. Beetje plakkerig.
4.0,A delight. A peated scotch with the right amount of smoke.
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,"Smokier and smooth, less briny, less distinctive though enjoyable. “Peat reek.”
Stick with the 10."
4.0,null
3.0,null
4.0,null
2.0,null
4.0,null
2.0,null
null,Waitrose
4.0,null
2.0,null
1.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
