star,comment
3.25,null
2.5,null
4.5,null
4.0,null
4.5,null
4.0,null
3.5,null
4.0,null
3.0,"A good nose with sweetness and a light nuttiness, hits the palate with a light sweetness and finishes with oakiness. Light and finishes quick."
3.75,null
3.25,null
3.5,null
4.0,null
4.5,"Caramel, toffee, vanilla."
3.25,"Sweet fruity smell, woody taste, light finish"
3.5,"Reviewed from a 2 oz pour.

On the nose, it has some honeyed scents with some berries. Maybe cherry. On the taste you get some strong vanilla, caramelized sugar, with some tartness on back of the tongue.  There’s a steady burn throughout. It has a short finish with some oak. 

I compared it to another wheated bourbon I had on hand: Weller Special Reserve. Similar price points (at retail). I liked Weller a bit more due to its distinct apple flavor and long finish.

Conclusion: Solid budget bourbon. Give it a chance if you’re looking for a cheap whiskey. At this price point (~$20), I’d probably buy something else. However, I wouldn’t turn it down if offered. Cheers!"
3.5,Spicy notes. The more I have of this the more I like it.
3.5,On the nose it smells balanced and rich with typical bourbon notes. I kind of get a nutty note like hazelnut also. Oily and stays on the tongue.
3.5,null
3.5,null
4.0,null
4.5,null
4.0,null
3.0,null
4.0,"Sweet vanilla, caramel, slight ethanol and nutty softness"
3.0,null
2.5,Sharp and somewhat unbalanced
3.0,null
1.0,"So store pick, was told 8 years old but based on bottle date can't be over 7. 

Nose - distinct wheat finish, vanilla, and a hell of a lot of nutty notes. I'm a bit confused at how nutty this is, very much a heaven hill or jim beam like note. 

Taste - very light bourbon but yet i still get a bit of alcohol bite and heat. Honestly, I'm struggling to get past alcohol, nutty notes, and then on the finish vanilla and a hair of oak. There's nothing distinct here. 

Full disclosure I bought this thinking it might mix well with coke or rootbeer. It doesn't, it actually disapears to the point I can't tell there's bourbon in the glass. A great thing for a college party, but not really what I want when I'd like to have a nice summer sipper where I still can enjoy some bourbon character. 

1 star, nothing wrong with it. It's a bit spirit forward for the age and proof but i tend to find some cheaper bourbons when watered down almost seem more alcohol forward and not less. 

Not a bourbon I'd recommend to really anyone. I don't get enough wheater character to justify this as a replacement for other wheats and if you want something nutty maybe try a beam black, imo that's better juice."
4.5,null
3.5,null
5.0,null
3.0,null
3.0,null
3.75,null
4.0,Sweet with some oak spice. Short oaky finish.
4.0,null
3.0,null
3.5,null
1.0,It has some normal bourbon notes and then a earthy flavor comes in strong. It tastes like beets. Not a pleasant taste.
4.0,"Nose reminds me of yellow cake and orange zest. Smooth and creamy, decently oily with leather and wood which fades into a mild wheat finish."
2.0,null
2.75,null
null,"Well balanced. 
On the sweeter side. 
Lacks complexity."
2.5,null
4.0,"Sweet, Savory, Smooth, Low-Spice"
3.75,null
4.25,null
4.5,null
4.0,null
5.0,null
3.0,null
3.0,null
3.75,"Sweet with prominent wheat notes, strong citrus on the finish. Would be great for an Old Fashioned."
4.25,A readily available wheated bourbon for under 30$? Yes please! Found the nose on this one to be pretty typical. Smells like a sweeter bourbon maybe some sugar sweet notes. Taste is sweet and ends in a slight oak with very little spice and heat. Having trouble pin pointing all the different flavor notes in this one both neat and OTR but it is quite good and complex for it to be so cheap. This will be a go to bourbon in my collection for sure. This is very good.
4.5,null
4.0,null
3.0,null
2.75,null
3.5,null
3.25,null
3.0,null
4.5,null
3.75,null
2.75,null
4.0,"Just enough sweet, just enough heat! And a reasonable price to boot!"
3.25,null
3.5,null
2.5,null
null,null
1.0,null
4.25,null
3.0,null
4.0,null
4.0,null
2.5,Good weeknight nightcap
3.75,null
3.5,null
3.25,null
3.5,Sweet with a heavy oak/spice finish
2.0,"Sweet on the nose, but tastes earthy & dry. Barrel finish."
3.75,null
2.0,It’s pretty smooth but has a wheaty aftertaste that isn’t the best. Very strong taste even in a mixed drink
2.0,null
3.25,null
4.5,null
4.25,null
4.0,"Dark Carmel coloring, slightly sweet and very smooth. Slight after burn as it rolls down your throat."
3.5,null
4.0,null
4.25,null
3.75,null
4.0,null
3.0,null
null,null
4.0,null
3.25,null
3.5,null
3.0,null
4.0,null
3.25,null
2.5,"brown sugar light sweetness, sharpe bright alcohol aftertaste - lingering burn"
3.5,null
3.0,"Nose
Wheat bread, Butterscotch,

Palate
Cinnamon 
Honey
Barrel spice"
4.0,null
3.5,null
2.75,The nose is somewhat lacking. Typical bourbon notes. Nothing special. On the palette I get a bit of harshness at first. However as I allow it to open up I find it more interesting.
2.75,"Larceny’s nose and palate are not offensive, but nothing to write home about.  Caramel and bananas come to mind.  The palate is nutty, however somewhat bitter.  There is some nice spice on the finish, however I find it to be a bit short, possibly a reflection of the lower proof.  If you are a fan of wheaters, this may be a good bourbon to jump on.  At $23, there are very few other options that are as nice as this for the price point."
3.25,null
3.25,null
3.25,null
3.0,"Nose - Smells like banana bread, cut grass, various floral notes.
Taste - Strong oak spice, nutty, dried grass.
Finish - Long sweetness and spice."
3.5,null
3.5,"A nice story. That is what this dram has. This is a 4.0 because of my scoring system but it surely feels like a 3.5.

Well, ""Larceny"" is an english term for a non violent steal, and has a lock and a key on the bottle, next to John E. Fitzgerald name. 

Apparently, Heaven Hill discovered that John E. Fitzgerald wasn't a distiller but really a bonded treasury agent, who had the keys to a distillery. The myth says that he entered at night to the distillery and drank from the best casks. 

But this great story is not all. This Larceny Bourbon is a ""wheated"" bourbon. That means that it has 51% at least of corn whiskey and the rest is wheat whiskey, not having any rye on it. 

Well, bottled at 46%abv, tawny color. 

On the nose, lots of aromas, but not quite spectacular. Typical bourbon aroma but more herbal. Banana very dim not as protagonist as in other bourbons. Brown sugar, Caramel, Herbal vanilla note; Spicy but not a traditional spice: a rare more herbal cinnamon. After 5 minutes it opens to vanilla ice cream and dry cake. 

On the palate, it doesn't deliver the promise you get on the nose. Bitter dry fruits: Its like prunes but bitter, I don't know how to explain it. Nice body but too bitter,  little spicy - ginger; There is some wood influence but is clearly too young. Tobbacco and bitter coffee beans. Finish has a wet raw rice note, very long.

Overall this is interesting, might make a great mixer due to its bitterness. I give it a 80 over 100, getting exactly to the 4.0 score, eventhough it feels like a 75 over 100."
4.0,null
3.5,"On the nose, crisp green apple and almost a sour grape note. 

On the pallet, slightly nutty and the apple note sweetens, with a little vanilla. 

The finish is wheaty with honey, and the vanilla strengthens. 

Overall, a great choice for the cost."
3.5,null
4.0,Really good wheat whiskey. Smooth. Good bang for your buck!
3.5,null
2.0,null
3.5,null
3.25,null
null,null
4.0,Good everyday sipper.
4.0,"Smooth, honey"
null,null
4.75,"Sweet to the tongue, smell of vanilla"
4.0,null
3.0,null
3.25,null
2.0,null
1.25,null
2.75,Not bad. A bit hot and pretty straightforward. Not overly complex. Nuttier than expected.
5.0,null
3.75,Good everyday sip
4.5,null
null,null
4.0,null
4.0,null
4.0,null
3.25,null
3.0,null
3.25,null
3.5,Loved it. A little strong at first but much better after one or two
3.5,It’s fine. Taste description is spot on.
3.75,"Similar to Heaven's Door, but a little more spice.  Reminds me of honey nut cheerios with a little spice."
3.5,"Aroma - Nutty and fruity / taste - classic bourbon flavors. Vanilla and oak. / Finish - finishes strong, you can taste the char but it is not overwhelmingly spicy."
2.0,"Very sweet, smooth.  Overall low on flavor. Too sweet"
4.0,null
5.0,null
3.25,Sugar and nuts with a banana bread aroma on the nose. Oak and spice on the tongue with sweetness overtaking heat on the finish. Enjoyable neat!
3.5,null
3.75,null
4.0,null
4.5,null
3.75,null
3.75,null
2.0,null
4.5,null
3.5,Sweet bread and vanilla
3.5,null
3.0,null
3.25,null
3.75,null
4.0,null
3.75,Solid wheater. Every day.
3.0,null
3.0,null
2.0,Sweet corn
3.5,null
2.75,null
3.5,null
4.0,"This particular expression I tried was a Barrel Select from a local liquor store.  I was genuinely very surprised by this bourbon.  It was much friendlier than I was expecting it to be.  For the price, I was expecting it to be a little harsh and pretty thin in terms of flavor.  But, it actually overs a good amount.  It's sweet and silky with a water-like consistency and mouthfeel.  The flavor of sweet corn persists throughout.  This bourbon is among the sweetest I've had which might be a turn-off for some, but I love most kinds of bourbon and this one is very deserving.  For me, this would be a fantastic dumb reach bourbon because it isn't that expensive so you don't have to feel bad for drinking it frequently, and it isn't challenging to drink whatsoever.  Looking for a casual drinker for when you just want a bourbon to casually sip, this is one I highly recommend."
3.5,A little heat on the front end
3.25,null
4.0,"Honey, sweet, and smooth. Great value."
3.75,Great wheated bourbon! Nothing too hot given the proof of the juice. Good notes of honey come through. Overall just nice and smooth. Easy substitute when you can't find Buffalo Trace around.
3.5,"Soft and light, with a slight peanut character. The wheat character definitely sweatens things up."
4.0,"This is a fun, sweet bourbon to have on hand. The nose is a honey sweetness with spicy vanilla, maraschino cherry, orange zest, and a wheat breadiness that especially shows up in blind tasting flights. If you find the wheat bread note you can instantly pick it out. On the taste, there is an apple note that plays well with the strong honey and round grain notes. The finish is where the oak char and a peanut-shell nuttiness comes through."
null,Let sit for awhile
2.5,"Nose: ripe fruit and floral. 
Palate: peppery spices, maybe licorice 
Finish: slightly acidic. Quick finish"
