star,comment
4.0,null
1.0,null
5.0,null
5.0,null
2.0,null
3.0,null
3.0,null
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,Best American bourbon barrels
3.0,null
5.0,null
null,null
0.25,Can we get a different front runner people? This puppy is obviously a relatively unattainable statistical anomaly - and frankly I’m sick of looking at it like “here’s this old ass bottle you will never ever see or taste. .. got it? .. cool.”
2.5,null
5.0,null
null,null
3.0,null
4.0,Y
5.0,null
3.0,null
