star,comment
5.0,"The finish just doesn’t end. This is fantastic. Perfect blend of sweet and lingering spice. A bit pricey, but I may need another bottle."
null,null
null,null
5.0,null
5.0,null
4.0,null
5.0,"Omg, this has a lingering taste in the palet,little  strong, but nice. Love it"
5.0,"nice rye balance with the sweet bourbon note, pinch of wood"
5.0,null
4.5,"Is this really 120 proof? Its way too smooth to be 120! Not a bourbon, very much a high end smooth as silk rye. Very light, in fact side by side with the 2017 ‘The Easy’ its much lighter in color. Doesn’t have the bite of a straight rye, so I’m thinking they did something brilliant here with the canadian whiskey rye blend. Bravo! I love it. Was hard to find, so when i found it, I accepted the price gouging and paid $110."
5.0,null
4.5,"Wow!
Nose: Tea leaves, Peppermint, Lemon
Taste: Follows the nose. Sweet, Chamomile tea, Honey, Spicy and Herbal into the finish."
4.0,null
4.0,null
4.5,null
4.25,Spring time flavors of honey and sugar come through behind a spicy age sweet start. It finishes with a clean rye creaminess. A touch of water tones down the heat and let's the light spring time flavors come through. A definite departure from their other small batch profiles. I think the 80 ranking was a bit harsh for this release
5.0,null
4.5,"Nice light bronze color. Nose: first off honey, wine , bread from the Rye, chocolate. On the palate, chocolatey, oily. Finishes a little short."
null,null
4.5,null
4.5,null
4.5,null
3.0,null
