star,comment
3.75,null
3.5,Good with coke.
3.75,null
4.5,Right now my all time favorite whiskey but who knows it could change tomorrow
4.25,"Cream, vanilla, brown sugar, balanced"
3.75,null
4.0,"Thanks Ryan for this dram. Very sweet aroma with tons of vanilla and caramel.  Nice oak flavor, and almost a roasted marshmallow taste.  Tons of caramel and vanilla."
4.0,null
5.0,null
3.75,null
4.0,null
3.5,"Great daily drinker. Smooth, creamy apricot with a little cherry at the end. Every day delicious."
3.75,Smooth with almost no burn medium to long finish. Sweet caramel all the way through
4.25,null
null,null
5.0,Very smooth with mellow aftertastes!
3.75,null
3.0,"It's a rich amber color. I get stone fruits (cherries, plums) on the nose, with just a hint of dusty corn. A lot of spice comes forward on the taste. The finish was just a little harsh."
3.75,null
5.0,null
4.0,null
5.0,null
3.5,"Brown sugar and vanilla nose, sweet finish"
5.0,null
4.25,null
4.25,null
2.5,null
3.5,null
4.0,null
3.75,null
3.75,"Sweet, caramel and maple syrup. Smooth and cream like mouthfeel, vanilla and slight touch of oak to the finish."
4.0,"This is one you have to start with due to the low proof.  Very well balanced, smooth creamy sweetness.  Get a honey / vanilla/ cereal taste.  Slight fruitiness, crisp clean finish.  Would I buy again -Yes, would this be great at cask strength- Absolutely"
4.5,Less spicy more mellow. Great flavor
3.75,null
4.0,null
4.0,null
4.0,null
4.25,null
4.25,null
3.75,null
4.0,null
1.5,Over oaked high rye whiskey (which is odd because I hear that they use used barrels - can’t call them first fill - this ain’t Scotch.). What am I missing? Bummer bottle.
4.5,Surprising at this price point. Smooth. Vanilla and oak really come through.
3.75,null
4.25,null
4.0,null
3.5,"About half way through. Gc. Good daily. Only unique feature is the coating feeling in the aromas to palat

N(3.5): peanuts. Don’t remember getting this before. Maybe because of the air. Creamy feel to the aroma. Dried prune sweetness
P(3.5): comes in coating creaminess. Not a punchy flavor. Light vanilla sweetness. 
F(3.5): some hug. Sweet medium finish. Oak covered vanilla stands out the most."
4.25,null
3.75,null
4.25,null
4.25,null
4.25,I really enjoy this one
4.5,Great neat.  Unbelievably smooth.  Saw some negative reviews for this Whiskey detracting from it because it doesn't taste like bourbon.  Well.. it was never supposed to taste like bourbon.  That's why Michter's has a bourbon.
4.5,null
4.0,null
4.0,null
4.0,null
4.25,"Beautifully gentle and sweet. Vanilla, Carmel and a dessert taste with just a little hint of oak. Lovely and unique"
4.5,"Wonderful vanilla cream soda, with a hint of cinnamon. Rich butterscotch, and a touch of oak."
4.5,null
3.75,A bar staple
4.0,"Vanilla, a little Sugar Pops cereal, with some nice oak spice on the finish. Great daily drinker."
3.0,"Great half of a whiskey. But seriously, if you’re looking for a ‘beginner bourbon’ go with Angels Envy"
3.5,Sweet smooth and rich
3.75,null
4.0,null
4.25,null
4.5,"So so good. Buttered popcorn and caramel and butterscotch on the nose. So smooth, no burn. Tiny spice on the finish. I need to find a bottle of this. 

McCormacks Whisky Grill"
3.5,"Brown sugar, dusty corn, cinnamon."
5.0,null
4.0,null
5.0,null
3.75,"Smooth, but with nice cinnamon spice/heat. A good, basic American whiskey."
3.5,null
3.5,null
3.5,null
3.0,"Oak, caramel, vanilla and Fuji apples with a bit of rye spice. 

Taste is the above with some light brown sugar and a lemony apricot finish"
3.75,null
3.75,null
4.0,Sweet with a hint more burn then what I was hearing from others. Will definitely enjoy as a fantastic sipper.
4.25,null
4.0,"Fresh bottle- broken cork, so had to put it into a cleaned out buffalo Trace bottle... poured myself a dram before doing so. Luckily got the cork with no remnants out. 

Sitting for 5 min- color is dark brown almost amber color. Darkest I’ve had this far. 

Nose- s’mores , and toffee, from a little farther away sweet pickles (I know , weird right?) , maple syrup, banana. 

Taste- deep honey, caramel, a little spice, dark chocolate, a little black pepper finish.

Mouth feel- initially it felt light, but as I kept at it, it actually has a deep thick richness. Not too oily, little spice that sets in the back of the throat. Lingers pretty long"
4.0,null
3.5,null
4.0,null
3.75,null
4.25,null
4.25,null
4.0,"Vanilla, apple, oak, coffee"
null,null
4.0,null
4.5,"Vanilla and maybe brown sugar on the nose, spicy and good kick in the mouth even though it’s only 82 proof. Little bit of pepper on the back end. It lingers. Buttery and slightly maple-y. Smooth but you feel it."
null,null
2.5,null
4.5,"My favorite American Whiskey. Sweetness from the corn, and definitely vanilla and caramel."
4.0,null
5.0,null
3.0,null
4.0,I should drink this every day.
4.0,null
4.0,null
4.25,null
4.0,null
4.0,null
3.5,null
3.75,null
3.75,null
3.0,Butterscotch.  Too sweet for me.
4.75,null
4.75,"Beautiful amber colour.  

Nose: Brown sugar, vanilla, cream, creme brulee, with subtle cinnamon and nutmeg

Palate: Fantastically cool and smooth to start with a very creamy mouthfeel. Rich maple syrup and chocolate chip cookie flavours. Nice oaky tannins evolve next.  Definitely lots going on here!

Finish: Long.  Wood smoke, lots of dried fruits here. More notes of brown sugar linger for a long time. 

This is a fantastic whisky and I can't emphasize enough how pleased I am that Michter's went against the ""grain"" and created this non-bourbon, non-rye, whisky. Absolutely fantastic and one of my all time favourites."
4.5,null
3.75,null
4.0,null
4.0,"Neat in a glencairn.  Simple yet attractive packaging.  Medium amber with little viscosity.  Thin legs.

Aromas of brown sugar, banana, clove, and cinnamon candies.  A bit of dusty corn, then a puff of spice - the cinnamon oil to match the candies.  Appealing but not as gentle as expected.

Sweet, rich, creamy, and pleasantly spiced.  Cream soda laced with sweet mint gum.  Butterscotch and vanilla.  Maple syrup.  Apple.  A bit tart, in a good way. 100% on board with the reviewer's apricot.

Quite delicious.  Great balance and cohesion - all the facets play together nicely.  Brings bold flavors despite the low proof.  The only downside is the somewhat high pricetag for an atypical, low proof, NAS American whiskey.  But these days, the price to play is going up and it feels extremely well-made.  This seems to be a very popular pick with mass appeal and it IS quite sweet, thus the approachability... but there is a lot to like.  Of an ilk with Elijah Craig small batch, but a clear upgrade IMO."
3.75,"Sweet caramel and vanilla notes,. Very smooth and easy drink.  Little heat with very smooth finish."
4.0,"Still new to this with little to compare. 
Very smooth and easy to sip straight up and neat. Definitely approachable. Would buy again."
4.5,null
4.25,null
4.25,null
4.0,Butterscotch on the nose with caramel on the palate and a fruity finish...pretty good!
4.25,null
2.0,null
4.5,null
