star,comment
3.5,null
3.25,null
4.25,null
3.5,"Fruit-forward (Apple, cherry, citrus) that transitions to smokey oak and alcohol with more citrus in the finish. Finish lingers awhile in the mouth and throat. Smooth but potent."
3.5,null
3.5,null
3.25,Not as smooth as I would have preferred
4.0,"Sweet, young"
4.25,Smoorh going down and finish.
3.75,"Just tried this, mainly because I am from ohio and thought it was interesting. This is surprisingly good - a bright finish that gets better as you drink. Will definitely get again"
4.5,null
4.25,null
3.5,"Has a peppery after taste, but smooth going down."
4.5,"Very smooth, i prefer over the bourbon. Good stuff, a bottle is going home!"
4.0,"Smooth, warming."
4.25,"Sweet, goes down smooth, warming. Yes!"
3.75,null
2.5,Eh.
4.0,null
4.0,null
4.0,null
4.25,I really like this one. Should really see about Taylor 4 Grain to see how it compares since I remember not really liking the Taylor 4 Grain...
4.75,null
3.0,null
2.5,null
4.25,null
2.75,null
