star,comment
5.0,null
4.0,null
4.0,null
3.75,"slightly sweet, chocolate, cinammon with hints of salt.  mid weight.   Vague campfire smokiness, hot on the tongue, doesn't linger long."
3.75,"Good drop. Meaty, sulfuric...aftertaste is a bit astringent and lacking. I wouldn't order a bottle 3.75"
5.0,null
4.0,Ice opens up flavor.   Very smooth
5.0,null
null,null
4.0,null
4.0,null
3.75,null
1.0,null
4.0,null
4.0,null
3.5,"nose is meaty, cinnamon, dairy, wood, alcohol sensation is also strong

palate is strong in burnt wood, unlike other newer mortlachs it is not sweet

finish remains more of a charcoal burnt  impression"
4.0,null
4.25,null
3.5,null
4.0,null
4.0,null
