star,comment
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,Very good craft rye.
5.0,null
4.0,null
4.0,null
4.0,null
3.0,4/10. mediocre rye.
2.5,null
2.75,null
4.0,null
4.0,null
3.75,null
3.5,null
4.0,"Look: burnt orange, with plenty of glass lacing

Nose: Butterscotch on the nose, slight rye spice, mild brown sugar

Taste:  caramel vanilla followed by peppery spice and cinnamon. 

Finish: the rye is dominant with a oily mouthfeel and a lasting spicy finish"
5.0,"spicy yet complex, strong pepper on the palette"
2.0,null
4.0,null
