star,comment
1.0,null
5.0,null
5.0,null
5.0,null
5.0,"Perfection, but very intense. Bottled at cask strength, so some water is wise. Ice really brings out the vanilla. Limited release, so finding it will be difficult. And once you find a bottle, when do you open it?"
3.0,null
3.0,null
4.0,null
2.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.25,null
3.75,null
4.0,null
5.0,null
4.75,null
4.75,"Honey, Melon, Sea Salt, and Chocolate"
2.0,null
5.0,null
4.0,"Great drink and an enjoyable depth, but the build up of its reputation did not deliver. However, this is a great drink."
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,"Toured the distillery, fascinating to taste it at different stages. Also to learn where the hints of salt and honey come in."
5.0,null
5.0,null
4.0,null
4.0,null
