star,comment
2.25,"oban 2003 14YO DISTILLER EDITION 43%

Slight spicy, Sweetness but uncharacteristic and little pear note 2 
Creamy, raisin, quite an impactful flavour of pear nuts 2.75
Sweet cream 2.5"
4.25,null
2.25,"First opened
No water

Nose - apples, honey, raisins 

Taste - sweet fruits, slight drying of the mouth as swallowed, long finish

Overall - fruity, not over sweet, kinda meh"
4.0,"Fresh, bland sherry, smooth with sweet aromatic finish"
4.75,"This is the good stuff. So enjoyably complex. Super sweet nose, peach, caramel and sweet cherry. The taste completely twists though, tart and tangy apples and cherries hits hard at the front, but then comes a salty, briny, and light peat flavor that really lingers even after finishing. The best part is the dryness that is there throughout the taste. Like a Tempranillo wine dry that helps the flavor flow from tang to salty peat."
5.0,null
3.5,null
3.0,"Peated, but moderately so. It’s a perfectly acceptable dram, but neither the aroma nor the flavor stands out in any way. 3 cl sample from the 12 Drams of Christmas Premium (2019 Edition)."
3.5,"Oban is always an enjoyable dram, I don’t understand why the reviews on this app have it as peaty tho??? I don’t find it peaty in the slightest"
4.0,Sweet and fruity with smoke and nut
3.0,null
4.0,null
5.0,null
4.0,null
5.0,null
null,The rain man.
5.0,null
null,
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
3.0,null
4.0,null
null,"Distilled 1992, bottled 2006. 
Double matured."
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
1.0,null
3.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,Paid $80. A little smoke. Add ice. Let sit. Tastes good.
3.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,Bought this in London after trying in the destillery itself. Fruits and a lovely wine like taste coming through. Still one of my favorites!
5.0,null
4.0,null
4.0,null
null,Bought 8/21/14 Caleb's birthday
4.0,null
5.0,Had Oban with Bryan LeMaster at the Stanley hotel whiskey bar in Estes Park 2014
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
2.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,Floral and smoky - tastes halfway between a highland and islay. Honeyed and very interesting.
3.0,null
5.0,null
3.0,null
5.0,Really like this. But not sure if I like it more than The Macallan 15.
5.0,null
4.0,null
4.0,Good peatiness.
4.0,null
3.0,null
4.0,Very pleasant and aromatic scent.  Strong flavor with smooth sweet finish.
4.0,"Bold, smooth and leans to a red after taste.  Liked this one!"
5.0,null
2.0,null
5.0,null
2.0,null
5.0,null
3.0,null
5.0,null
3.0,null
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
2.0,null
4.0,Very nice.
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
