star,comment
5.0,null
5.0,"For 58.8% alcohol volume, this was an unbelievably smooth, flavored whiskey. Worth every sip!"
4.0,null
5.0,null
5.0,null
5.0,null
2.0,"The only Octomore I've drank so far with noticeable flaws. The nose was decent, but I got quite a bit of cardboard on the palate. I did this in a line up of 5 (6.3, 7.2, 7.3, 7.4, & the 10 Year). This was easily a step down from the others."
5.0,Worth every sip! Intense peated but smooth and full of flavors??
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,"Nose: It's peated, but not sharp or burning despite the alc. grassy and leathery notes, all the best parts of a stable.
    Taste: The first jolt is an intense peaty sweetness and then the sharp alc. comes, followed by copper, like it literally knocked a tooth out. Enjoyable, but I miss depth, must investigate further."
5.0,null
4.0,null
5.0,null
5.0,"This came courtesy of @Generously_Paul. I was hesitant on trying it because I really disliked the 7.3, but this is a completely different beast, all to its own. Brown sugar was the first note on the nose I got, along with maple syrup, and more spicy than sweet though. Cinnamon, nutmeg, candied bacon, and kielbasa come to mind also. Palate is also fantastic, with mouthwatering peat, deep ruby fruits, barbecue, and steak. Sounds like a damn good dinner to me! It has a really long finish married will with savory and sweet notes as well. Water adds some maritime characteristics as well. Extremely well done Bruichladdich! Only more age (this is about a 5 year) would maybe help this one, but it doesn't need it. 4.75! This one is lovely, complex, and deserves your time. The theme of this dram needs to scream summer... ""She Bangs the Drums"" by The Stone Roses will do."
4.0,"Age: 5 years old
Alcohol: 58.5%
Maturation: Ex-Bourbon cask with finishing in ex-French Syrah casks from Rhone Valley
Paid: $182 (Travel retail exclusive)

This is the only x.2 Octomore I have tried and, as is the rule with travel retail exclusives, it is disappointing.  The consolation prize is that it’s still an enjoyable whisky, but not for $182.

Red wine and volcanic ash is a strange combination.  The explorations of peat and red wine by Springbank, with their Longrow Red series are more to my liking because they show me that wine is missing more alcohol and some peat.  Octomore 7.2 looks at things from the other way around: Is a peat monster missing some wine?  No.  This is not an improvement over the x.1s.  The cheapest and easiest to find Octomore in my area is the 6.1, and it is much better without the wine influence.

Some water is mandatory with this 7.2, otherwise you get this awkward ash polluted with Syrah.  Even with water, it just brings out the buttery and savory goodness that the basic 6.1 and 7.1 already has in abundance.  The arrival is surprisingly delicate for the high ABV, but this one also finishes bitterer compared to the x.1s.

MARK: 88/100.
Not recommended.  If you want to spend money on an Octomore, try x.1 and x.3s."
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
2.5,Too smoky for me
4.25,null
4.0,"I found this sample hiding behind several knickknacks on the top of my refrigerator.  It’s an old sample sent to me from my buddy @Generously_Paul, in what was probably a trade from over a year ago.  It’s been even longer since I had a bottle of the Octomore 7.1.  I guess it’s long passed time to get into this one, so let’s do this...

The Octomore 7.2 is a 5 year old, heavily peated whisky from Bruichladdich.  This series was also the last one done by master distiller Jim McEwan took part in- so, he made sure it was the most heavily peated ever:  208ppm.  7.2 was a blend of whisky aged in ex-American oak and French Shiraz wine casks.  It’s bottled at 58.5% and I believe the bottle ran just shy of $200.  This one was also considered a travel retail edition- so it was more limited.

It’s a dull yellow in the taster with very oily and thin legs.  Tiny droplets also form after a rigorous spin.  The nose is typical Octomore:  ashy peat and BBQ smoke with a side of salted fish.  Tar and a slight band aid note add a special funk I don’t recall from any other Octomore I’ve tried (although it’s been awhile since I’ve had one and I’ve killed millions of brain cells since then, lol).  The typical Shiraz wine notes aren’t apparent on the nose:  I’m missing the grape must, tannins and dark chocolate- the peat is just too strong.

The palate is deeply rich and full of peat and salty, sea air.  The BBQ flavors are what’s subdued with this one.  I did pick up some dark chocolate notes after adding a spritz of water to the sample, but it also brought forward some citrus notes instead of the wine fruitiness I was expecting.  The mouthfeel is still luscious and somewhat heavy, but this is Octomore so that’s to be expected.  There’s not much heat from the ridiculously high ABV, but we all know why that is, too.  The finish is longer and spicier than I remember from other Octomores, but I do like that aspect.  Scratch that- I LOVE that part.  As the smoke and earthy peat tang fades it turns drier, but there still isn’t enough wine fruits to indicate the Shiraz casking.  It’s not a bummer, just an observation.

Ultimately, this is still a wonderful dram.  I love the constant attack from the peat and salt and the richness just hangs there trying to make you whimper.  The absence of heat is slightly scary, as I could keep filling the Glencairn if I had the bottle in front of me.  It’s not better, and if I’m honest, not much different from what my notes about the 7.1 indicate- so, there’s no real reason to chase the exclusivity of this one over the 7.1.  It still doesn’t live up to the Series 6, but I also wouldn’t toss this bottle out.  3.75-4 stars, maybe stretching to 4.25 when I’m in an Octomore frame of mind.  If Bruichladdich keeps making these, I’ll keep trying them.  Cheers.

Also, speaking of @Generously_Paul - please check out his new YouTube channel, Dapper Drams.  If you like your whisky review with some humor and shenanigans then you’ll be in luck and, if you look hard enough, you might even spot yours truly every now and again.  Please support his hard work with a Like and maybe even a Subscribe.  Thanks."
3.25,"Interesting, but overall, it seems to me as an experiment more than a finished scotch...
I imagine that these elements could be incorporated into others,
Nose campfire smoke and bacon
Palate very Peaty, smooth, and of course very smoky, and good body.
Nice long finish
However, the price is too high

3 cL sample"
2.5,"Bottle opened on 5/27/2018, and killed on 4/12/2019.

Bruichladdich Distillery OB
Octomore Edition 07.2
5 years old
58.5% ABV
Bottled 2015
Price: 182 USD

I dig Octomore.  Some consider them a gimmick.  You really have to taste the good ones blind to understand that this is not a gimmick.  Age statement does not equal maturity statement, and I could easily mistake the best Octomores for a 20-something year old Islay whisky.

Unfortunately, 7.2 is not one of the better Octomores I've tasted.  The Syrah wine finish adds some acidity, which when combined with the huge salty and smoky notes, reminds me of salted fish that has sat out in the sun for a whole day, and you are questioning whether or not you should eat it.  The finishing actually makes the 7.2 taste younger than the 7.1; there are some extra metallic notes that I do not appreciate.

This is nonetheless a good whisky.  As with all Octomores, there's a huge farm funk, and thick black ash.  The first word that comes to mind is ""fracking.""  But for ~$200, there are better Octomores.

Rating (Price not factored): 89 / 100
Purchase Satisfaction (Price factored): 2.5 / 5"
5.0,null
4.0,null
5.0,null
4.25,null
4.5,null
4.0,"Color: Bright gold
Nose: High in alcohol. A touch of caramel.
Palette: Mindblowing bursts of ocean, the sea and salt. Strong and unforgettable.
Finish: Dry. Strong peat and sweet finish.

A solid travel exclusive. Needs a touch of water as it is too strong without it."
4.0,null
4.5,null
5.0,null
4.0,"Drinking this alongside the 07.1, and can say quite definitively that I prefer the other one to this. 
Nose is a bit rough...a not-quite-matured-enough blend of red wine and smoke. Smokier than the 7.1 on the nose for me, but the drawback is the awkward combination at play. It mellows with time but not enough.
On the palate, its improved as the smoke takes center stage and the whisky somehow remains immensely drinkable neat despite its 208 ppm and cask strength ABV. The wine makes a bit more sense now, and leaves its mark with sticky sweetness at the end similar to a very dry Syrah. The finish isn't as refined as the 7.1 either, as it bows out rather quickly in comparison and leaves that sticky wine residue as opposed to lingering smoke.
It's hardly bad...in fact its one you might drink to punish your palate a bit. My search for the best Octomore continues!"
2.75,"This is for Octomore 07.1 Scottish Barley 5 year old 208 Reported ppm Seventh US Release.

Nice and enjoyable, disappointed knowing how much it is."
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,"Thanks to @Generously_Paul , I got to try this smoking beauty.  Such a perfect whisky to have when temperatures are like what we have here in the northeast currently, in the sub-0 category.  The nose isn't much to speak of, quite light and faintly citrusy, but wow...really hits you in the palette.  If you've ever been to Amsterdam, they have these little eels that are finely smoked, topped with sea salt, and a touch of lemon...that's what this taste like.  Just a briny, smoky, yet sweet citrusy flavor.  Probbaly the best Octomore I've had to date.  Thanks Paul"
3.0,"moc silný, trochu kouře. kolegové z něj blázní, já zas tak moc ne
ok, ale ne top"
4.0,null
3.0,null
