star,comment
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,"Rich, caramel-y, and slightly spicy, with a moderate amount of heat. Good, but a little pricy."
4.0,null
3.0,null
4.0,null
4.0,"Neat; Strong spearmint nose with notes of oak, saw dust & sweetness. Sweet oak flavor with notes of dark fruit. Oak finish with a touch of spearmint & nuts. Nutty lingering flavor with notes of alcohol. 
The synhitic cork used for my bottle is ""peeling."" Not sure if anyone else is experincing this problem.
Solid bourbon, but not worth the $99.99 price tag."
4.0,null
5.0,null
3.0,null
4.0,null
null,"Overpriced, very similar to original cheap one, similar to Rebel Yell 10:
https://modernthirst.com/2018/05/01/old-fitzgerald-bottled-in-bond-limited-edition-spring-2018/"
4.0,null
4.0,"Nose- sweet, honey, pears. Taste- oak, slight tobacco, leather. Coffee aftertaste. This really opened up for me after a few weeks. Fantastic bourbon in a really nice bottle."
4.0,"Oily and semi sweet. Notes of coffee, oak. Not super complex but really great whiskey."
3.0,null
4.0,"Dark amber in color, very nutty and quite similar to the Rebel Yell 10 in flavor but slightly better. Cool bottle for sure but there are better whiskies in this price range and cheaper. 

88/100"
5.0,null
5.0,null
2.0,This is so nutty it tastes like a proofed down Booker's.
4.0,"Really a great bourbon! Maybe a little overpriced at $120, but I am glad I bought it. It has a Smokey oak flavor, smooth with some heat. The decanter is also cool looking."
4.0,null
4.0,null
5.0,null
5.0,really good but overpriced... good luck finding it!
5.0,null
4.0,null
4.0,"Smells great. Rich brown sugar, oak, char. Sweet and oaky, with a slight spice kick towards the end that lingers. Feels restrained at first, but it's still good and seems to open up after a bit. Some milk chocolate at the end, with some cacao nibs. 7/21/18"
4.0,"7/10.  Vanilla bomb.  Very soft on the nose and the palate.  Cherry wood taste up front, followed by tons of vanilla with a medium finish of oak and baking spices.  Went in with low expectations and was pleasantly surprised.  Creamy mouthfeel, slight hints of black pepper."
5.0,Warm Biscuit with subtle hints of caramel
4.0,null
5.0,null
