star,comment
3.75,"Color - copper brown. A quick swirl shows sparse legs in the glass

Nose - maple syrup, vanilla, varnished oak

Palate - maple, caramel and baking spices, with a fairly rich mouthfeel for the proof.

Finish - pretty quick, some lingering spice but more subdued than I usually get from OF

A few drops of water muted the maple/oak  on the nose but brought out a hint of dark stone fruit and more vanilla.  On the palate, the water brought out more sweetness, with the caramel coming to the front and lingering a bit on the finish.  I liked this both ways, although I think the nose was better neat.

I'm not really a huge OF fan. I like Statesmen and 1920 OK, but not nearly as much as other brands. To me this 1910 is a bit darker/richer, with the spice softened a bit compared to other OF expressions. For  me that's a good thing. People who love 1920 probably won't like it as much due to its lower proof and lacking that bright/spicy character."
4.0,"Nose (3.75):  Brown sugar and plums.  Slightly ethanol for proof but dissipated quickly.  Sweeter than the 1920.

Palate (4.5):  Burnt brown sugar, raisins with some carmel and vanilla underlying.  Very good sipping neat might not hold up as well in mixed drink.  

Finish (3.75):  Plumbs and sugar and then the heat comes in.  Kind of cinnampn-apple.  Finish is quicker with good aftertaste.  Higher proof may have sustained finish but all in all petty pleasing.

If you like Statesman this has similar profile with nicer nose and a bit richer.  I like it dead even with the 1920."
4.0,"I WISH it was higher proof, but it is good juice. Not up to snuff of 1920, but definitely has a unique richness; raisins, plum, and toasted marshmallow. Pleasant nose."
5.0,null
3.25,Lots of caramel and maple flavor. But a very smooth bourbon.
4.0,"As the glass warms, notes of raisin bread, white cake, frosting, caramel burst out of the glass. The palate is full & oily, finishing with flavors of caramel, nuts & fruitcake."
3.5,null
4.0,null
4.0,null
4.0,null
3.5,null
2.5,null
4.0,"Sweet, burnt sugar, vanilla, soft mouthfeel, sweet aftertaste"
4.5,null
4.0,"True to it’s name.
Banana, Maple and Brown sugar sweet. Very lite on the spice.
Makes me think of Bananas Foster."
5.0,"Wow !!! Winner !!! Sweet, oaky and delicious. OF does it again. At 93 proof, it’s very drinkable. Maybe too...."
4.0,"Nose: Maple, vanilla, caramel and cedar
Taste: Smooth butterscotch, raisin.

Finish: sweet to spicy, not too dry

Almost bought after tour last Thursday, found at Total Wine and More for $13 cheaper. Great find."
4.0,null
5.0,"Deep ruddy brown color. Char, banana bread, baking spice, toasted marshmallow, pound cake, vanilla pudding, warm caramel, slightly floral, just a hint of dill in the background. Very rich and full bodied"
5.0,"Chocolate roman candy toffee, vanilla, dried figs, hot caramel"
4.0,"salty and caramel. not as complex as 1920, not quite as good either. still a decent addition to my collection."
4.0,"Grabbed a bottle from the distillery this week on a trip through KY. Big fan of 1920, so I was eager to see how it stacks up. Lots of indistinct baked-good flavors to pick over. I keep coming back to Irish soda bread (raisins!). It's not all dessert though, there are ripples of that heavily charred oak which I'm guessing will be a turn off for some, and probably also why they dialed back the proof. All in all it's its own thing, and worth the price of admission."
4.0,null
4.5,null
4.0,null
3.0,"The nose is sweet and boozy with some apricot and banana maybe a hint of ginger

The sweetness continues with a rich mouthfeel with bananas and cream

Finish is short but smooth with a little heat and oak and cinnamon 

Enjoyable dessert bourbon if not overly complex"
4.25,Very good.  Oaky. Fruity and sweet.
2.5,null
4.0,"Very sweet, some banana in the palate. Definite oak as well."
4.0,null
3.5,null
4.0,Rock solid.  Bursting with flavor and spice more typical of a higher proof whiskey.  Somehow they pull it off in this 93 proof gem.  Amazing mouthfeel that is quite viscous.
5.0,null
3.75,Has a sweet nose. Leather and tobacco upfront on the pallette. Finish is sweet butterscotch and toffee.
4.5,null
3.0,Not a heavy nose. Taste has a small hint of oak and cherry. Much simpler then the 1920.
3.0,null
4.0,"@ TWCP Tasting Bar; very fun, unique bourbon.  The second barreling does a lot for this...rich, sweet, smokey.  Looks and drinks above the 93 proof"
4.25,null
5.0,"Lots of cherry on the nose and palate. The deep charred oak contrasts very well with the cherry candy cough drop notes on the palate. This is an excellent bourbon, and my favorite of the Old Forester Whiskey Row series."
3.25,null
4.25,tastes rich and dark. delighfuly smooth.
3.25,The second time I drank this got a sour note on the nose that I just couldn’t get over.  Palate is sweet and finish is oaky and medium.  I enjoyed the drink other than the weird nose I couldn’t place
4.0,null
5.0,null
4.5,null
null,null
4.25,null
4.25,"I quess I don't get out much, but I really like this one 😋"
4.25,"Merry Christmas to me!🎄 Got this as a gift. This is exactly as the notes describe, and to me, delicious. Wow, very good. 
I am starting to believe there is a bourbon conspiracy against Old Forester, because this IS NOT an 82. NF’nW! Love it. I hope PA gets it soon."
4.5,null
3.0,null
3.75,null
4.25,null
4.5,null
3.25,null
3.0,null
5.0,null
2.5,null
4.75,null
4.0,null
4.0,null
4.0,"Very smooth bourbon, and very sweet.  give this to any of your friends that say they aren't whiskey drinkers. 

I actually like to ""blend"" this with the 1920 and the statesman. it kind of creates a ""poor man's Birthday Bourbon."""
5.0,I don’t care if this is forced or not. Freaking delicious! The 1920 was my favorite in the line up until I tried this. 82? Compared to what?
3.5,null
3.75,null
4.0,null
4.25,"Chocolate, oak, hazelnut.
Finish is very long with dominant hazelnut note."
5.0,"Smell is amazing.  A less oaky version of Woodford double oaked which is one of my other favorites. More fruit and altogether just intoxicating as a smell can be. 

The palate doesn’t let you down. Sweet but not overly.  Oaky but just enough.  Smooth.  

Finish. Enough of a finish to keep you around which is saying something for a “lowish” 93 proof.

Altogether amazing.  Immediately one of my favorites."
3.25,null
4.5,"Best of the Old Forester/Woodford offerings. Vanilla, honey, butterscotch and sweet oak on the nose. A little spice and brown sugar on the palate, and for a non-wheated bourbon it’s sweet and smooth on the finish. If Weller 12 and Woodford double oaked had a baby, this is it."
4.0,null
5.0,null
4.75,So smooth it's hard to believe it has alcohol. Very dark. Sweet flavor of dates and rich caramel.
3.75,null
3.75,null
3.75,null
3.25,vanilla. some bite
4.25,null
3.5,null
4.0,null
4.25,"Nose - Dark chocolate and cherries

Palate - Smooth with chocolate up front, fruity finish

Don’t know why this scored so low from the expert, it should at least be a 90. Great sip if you can find it MSRP"
4.25,null
3.75,null
4.0,null
5.0,"chocolate, caramel, vanilla, heavy oak and butterscotch. cherry. fruity and spicy. full and rich."
4.5,null
4.25,null
null,null
3.25,null
4.0,null
4.5,null
5.0,null
3.5,null
4.25,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,"Amazing toasted vanilla nose, deep charr. Lots of flavors. Very impressed."
4.5,null
4.5,Really good. I'd put next to E.C. BP. Might be my new favorite.
4.0,"Strong nose, classic notes. Balanced on the palate, with spice and a nice sweet note towards the end. Fruit. Leather. Baking spice. Chocolate. Fine sipping whiskey. 1/5/19"
4.5,"Sweet, rich start and spicy, “cigar” finish"
4.0,"nose:
I get strong hints of leather, oak, cherry, and tobacco
with the Carmel and vanilla being faint in the background.

pallet: up front you can get that oak and corn immediately but the finish is very delicious has strong dark chocolate, with sweet fruits drizzled with vanilla, Carmel, and a hint of butterscotch."
4.5,null
4.5,null
5.0,"Nose - Fresh graham cracker crust, cinnamon, vanilla, banana, oatmeal raisin cookies 
Palate - rich and sweet, with oily mouthfeel with lingering notes of baking spices - cinnamon and nutmeg
Finish - smooth, like water. Lingering baking spice notes give way to its original sweetness. 

Love. This. Bourbon!!!"
4.0,null
3.0,null
5.0,null
4.25,null
5.0,"I’m in the minority here but I love this stuff. Vanilla, marshmallow, deep caramel."
4.5,"Nose: one of the best noses in bourbon. Sweet oak, raisins and other dark fruits. 

Palate: spicy fruit but a little tart... some smoky-ness like from a bbq- joint. 

Finish: sweet cola, citrus, quick finish. Slight rye kick but quite smooth"
4.0,null
3.75,"Verdict:  A unique and incredible bourbon.  Overwhelmingly sweet while also wholly defined by pervasive and astringent barrel char.  Jekyll and Hyde.  Underwhelming nose.  Definitely a ""must try"" but won't be for everybody.  A tad pricey.
 
A dark, rich amber.  Oily with slow legs.  Spiced cherry, vanillin, unripened fruit, and a gentle but persistent wood char on the nose.  Burnt sugar and cream with a subdued mint and some medicinal notes.  Complex, but not quite alluring.  The sweetness requires teasing out from behind the stronger, semi-acrid scents.
 
Where the nose earns mixed reviews, the palate wows with sweetness.  An immediate rush of toffee and sweetened black tea.  Creme brulee.  Blackened mashmallow.  Caramel swirled with cinnamon.  The rush of sweet fades slowly into very strong barrel notes, somewhat bitter with char and cinnamon candy spice.  The drying astringency lasts forever on the finish, hardly fading before the next taste."
4.0,"Bronze color. Brown sugar, stone fruit, and some smoke aroma. Brown sugar, stone fruits, and some tropical fruit notes with charcoal underneath. More charcoal and brown sugar in the somewhat short finish."
4.25,null
4.25,"Excellent round flavor. 


Not hot.  Smooth.  Plenty of oak"
4.0,null
4.0,null
3.75,null
