star,comment
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,Pretty sweet
3.0,null
4.0,null
5.0,null
5.0,Giant cherry notes in the nose and flavor
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.5,null
4.5,null
4.25,null
4.5,null
4.75,"Coats your mouth. High proof is evident, sweet and smooth, finishes hot. Numbing, this is great. Leather, rye."
4.5,null
4.0,null
4.5,"Holy cow, smooth and rich, great flavor profile, super clean finish."
5.0,null
3.75,null
