star,comment
5.0,I love Peerless Rye
4.0,null
4.0,I was at the tasting the day it was released. It is a  good Rye Whiskey but not near $125 a bottle good.
5.0,null
4.0,null
3.0,"Smells young and sweet, but balanced. On the palate, hard to believe this is 2 years old. Sweet, baking spices, bitter chocolate, some cherry, decent finish. You feel the proof but it still goes down smooth. Maybe hard to justify the price tag, but definitely makes you look forward to future offerings. 11/26/17"
4.0,"Absolutely delicious and complex, totally comfortable paying retail around $100."
4.0,null
5.0,null
5.0,null
4.0,null
3.0,null
5.0,Thoroughly impressed with Peerless Rye Whiskey. Attention to detail and flavor profile are truly exquisite. A+
5.0,null
5.0,null
5.0,null
5.0,"Everyone will surely complain about the $120-ish price tag, but I love this. Just the right amount of proof and flavor and spice."
4.0,null
4.0,"Very good, impressed with depth of flavor for 2 years old. Good kick of spice late with alcohol a little hot after but evens out with chocolate cherry undertones into finish."
4.0,null
5.0,null
3.0,null
4.0,"Compliments on the bottle design to Carson Taylor and the gang. 
Thoughts: 
Like Willett Rye on steroids, it viscous, and has the same green tea nose- with similar, but bigger and deeper sugary notes in the body. Worth the price. Very very good for 2 years."
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.0,
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.0,Sweet front. Smooth. Impressive.
4.0,"Sweet, smooth and heat comes late. VG"
1.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,"I have tasted my fair share of ryes, this is certainly one of the top ones on my list (but maybe not the best). 
Rye spices, caramel and cinnamon. Palate has more spicyness, nutmeg and cloves and licorice. A very long-lasting finish with more caramel and toffee and some  pepper, oak, and, of course, spice. Add a drop of water and the spiciness comes forward and then yields to the rich sweetness noted above. Fantastic rye all around. Can't wait to see what their bourbon will be like next year!"
5.0,Tasted at the distillery in November 2017 during a bourbon trail Long weekend. I could not believe this was a 2 year old rye whiskey. Great whiskey. The best whiskey we had all weekend. It is pricey for sure. Single barrel store pick I found was actually even better than barrel proof from the distillery.
null,"$110+ for a two year rye from an untested distillery. So it has come to this.

Note: 5/11 current notes for this come from accounts that have fewer than 5 notes and rate this as exceptional--one account gave WLW four stars and this five..."
5.0,"Very Smooth, good spearmint finish. Light body and finish."
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.75,"Has got to be in the top 3 ryes I've ever had. Perfectly balanced, there's a slight medicinal on the nose followed with some cedar and spice, brown sugar and cinnamon. Tasting gives way to lots of intricate flavors all perfectly balanced. Very smooth sweet vanilla ""creme brulee"" alongside the spicy rye and pepper notes. Didn't pick up too too much oak in this one, but it was there. Good mouthfeel too from what I can remember. Great, great bottle. If you can find it sub $100 it's worth it. Even over, I'd consider it anyday. Looking forward to their other future offerings."
5.0,null
3.75,null
5.0,null
4.0,"3.75-4.0
Tasting bar @ Lukas Wine & Spirits.

Verdict: Bar
Really enjoyed this, but $110 for a 2 year old rye?!"
5.0,null
4.0,null
4.0,"A fantastic (if not the best) rye whiskey. Notes of black pepper blend with the vanilla nicely to create a sweet and smooth finish. The question is though, is it worth the much higher price point than other ryes that may not be as good, but are still great for half the price? I have a hard time saying yes... but their bottle does look great on a shelf."
4.0,null
null,null
5.0,null
5.0,Fantastic and full bodied! The taste exceeds the packaging and that says a lot for this rye. Price point a bit high but a top pour for sure.
4.0,null
4.5,Delicious.
4.0,null
4.5,null
4.25,null
2.5,null
null,null
3.75,null
5.0,null
4.0,null
3.0,null
4.5,null
4.25,null
4.0,null
4.25,null
5.0,"Full flavor, no burn."
3.25,null
5.0,null
null,null
4.0,null
4.25,Maybe the best rye i’ve had.  Its special when compared to pilesville.  Its kinda like sazerac rye not in flavor profile but in being unique.  Sweet and smooth with a bit of spice at the end.  Very faint alcohol smell and taste.  Def taste better than its age(i tried a 3 yr store pick btw).  But that price tag makes my heart ache though.  Wished it was $50
5.0,Outstanding!! Sweeter than normal rye
4.0,null
null,null
4.0,null
5.0,"Nice bite, great finish. Loved visiting distillery"
2.0,Not even worth the dollars.
4.0,Tried at distillery.  Exception rye.
4.0,null
3.0,"Fool me once shame on you.......

Well well Well, the controversial 2 year expensive juice. I have to say this is pretty good, however, the price should deter any potential buyers. It’s just not worth the buck-and-a-quarter price because there are PLENTY of other very good buys much cheaper. If it were in the $60 range I would say get a bottle. Regardless, I don’t regret spending what I did, I just won’t do it again. 3.2/5"
5.0,Barrel proof....yet very nice nose & pallet! So smooth....very drinkable!
3.5,"Look this is smooth and good, but it has no depth. Its super smooth, but just no bang, no pop, no nothing. Just smooth whiskey. Not special, not worth the $109 price tag"
4.0,null
3.5,"Improvement over the first tasting after this bottle was opened about six weeks. 

Nose: vanilla spice and yes corn. Hints of butterscotch and less of the funk from before, hints of biscuits and tea

Palate: quite rich and sweet, but hot on the mid palate, nutmeg, heavy spice on the end 

 Finish: rye kicks it up a notch along with the proof for significant warmth, still rich and bright

The nose is fantastic now but toward the finish it gets a bit muddled. Will check in with it later."
3.5,null
4.25,null
4.25,"Their single barrel known as ""Apple Crisp"" and ""Latte"". Both were extremely smooth for rye. The latte had a big nose of chocolate and coffee. The apple crisp has a prominent nose of cinnamon and spice with some vanilla."
5.0,null
4.25,null
4.5,null
3.5,null
4.25,null
3.75,null
2.75,"getting leather on the nose. it's like a leather shoe stuffed with peanuts. the more it sits, the sweeter the the nose. then it's like leather shoe stuffed with peanuts but like the owner stepped on some bubble gum. 
pallate is just leather shoes though."
4.0,null
3.75,null
4.0,"I want to hate this bottle. Aged 2 years and asking $100 a bottle, thats just stupid. All that said, it is an incredibly smooth sipper. Bravo to the distillery. I don’t think its worth $100, but as a gift, the gift receiver will not be disappointed."
4.25,null
4.5,null
4.0,null
2.75,null
4.0,null
3.5,null
4.0,null
3.5,null
4.25,"Dilute for best, banana nut bread aftertaste"
4.25,null
4.0,null
3.0,null
3.0,null
1.0,null
4.25,"I approached this whiskey with a heavy dose of skepticism given the juxtaposition of its high cost and low (2 year) age statement. That being said, I was pleasantly surprised and now count myself a Peerless convert. With a few minutes in the glass, the nose unfolds from an initial hit of ethanol into rich vanilla, dried apricots, orange oil, roasted peanuts, toffee, a light note of mint, and balanced with a bit of sweet coffee. The palate is immediately sweet and rich with vanilla, graham crackers, toasted sugars, allspice, a light grassy-herbal note, a very light caramel, honey roasted peanuts, and a very pleasant malty note, before transitioning to a warm, slightly herbal, vanilla-laden exhale. Further sips bring out more rich sweetness with a stronger note of dried apricots, powdered sugar, and an extremely pleasant bit of spice and fiery burn. Not a super complex whiskey, but an extremely pleasant and all around impressive offering from Peerless. I look forward to continuing to try their rye as it ages."
4.5,null
3.5,null
3.75,null
4.5,null
5.0,"Spicy flavor bomb! Buy it, you won’t regret! My favorite rye!"
3.75,null
4.5,null
4.0,null
4.25,null
4.5,null
null,null
