star,comment
2.0,"100% rye from Alberta Distillers, but not a ""straight"" rye. The Alberta provenance is apparent on the nose, which is nice, but the taste and finish are a mix of nauseating sweet pancake syrup and bitter wood. Not worth your time."
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
2.0,null
5.0,null
3.0,null
4.0,null
4.0,"Vanilla and marshmallow, smoother than it leads."
4.0,Lots of vanilla on the nose. Smells hot but is very smooth with sweet vanilla and toffee notes. Caramel as well. Really tasty but much sweeter than most ryes so it won't be for everyone.
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
2.0,null
3.0,null
5.0,null
4.0,null
4.0,null
null,Little too sweet. Maplely
2.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,"Very easy drinking and pleasant,  not really a serious rye"
4.0,null
3.0,null
2.0,null
3.0,null
5.0,"Light, nice spice.   Very easy drinker"
5.0,"Very sweet. Butterscotch, Maple syrup, Vanilla Spice. Quite delicious and rather under appreciated for its value."
3.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,"Very vanilla flavored, butterscotch too. Tastes sweet. Oily texture. The good balance makes it very pleasant from start to finish"
3.0,null
4.0,null
5.0,null
3.0,null
3.0,As part of a Manhattan. Pretty decent.
4.0,null
3.0,"Decent rye,  not very characteristic of a typical American Rye,  but worth a taste just to experience how different rye can be.   Decent value for the money,  but don't expect a Canadian Rittenhouse.   A bit too sweet for my taste"
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,Staple in my house
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,Vanilla and sweet on the nose. Finished with heavy cinnamon flavor. Great rye on ice
3.0,null
3.0,Slight bite with a sweet finish.
5.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,Bootleggers - 5/5/18
3.0,
3.0,null
4.0,null
3.0,null
1.0,null
3.0,Good if you love vanilla...
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,A favorite!
5.0,null
3.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
3.5,null
3.75,null
4.0,null
5.0,"Vanilla, light, easy to drink"
5.0,Great rye smoothest rye I have ever tasted.
4.0,"Sometimes you want something sweet and full of vanilla. When that craving hits, this is a great choice."
4.0,nice smooth flavor
3.0,null
5.0,my go-to
0.75,A weak rye.   Not a fan and not worth trying again.
4.0,null
5.0,"Extra sweet and vanilla, but a favorite of my wife, her daily drinker."
3.0,null
4.0,null
3.0,null
2.0,null
5.0,class 6 west point ny
4.0,null
3.0,null
5.0,null
2.0,null
4.0,null
5.0,null
3.5,null
3.0,null
4.5,null
2.5,null
4.25,null
4.25,null
4.5,null
3.75,null
4.75,"This is a wonderful whiskey on the market. Every time I have a huge bourbon drinker taste this before I tell them its a Canadian whiskey they love the taste. We had a taste test the other night with Four Roses, Old Forrester, Elmer T. Lee and some others. Elmer of course came in first but the 1910 was a close second. This is worth a try and the bottle is cool."
2.5,extremely bland
null,null
null,null
3.0,"Very sweet easy drinking rye, but doesn’t have a lot of the complexity and spice that I expect from a rye. If this was bottled at a higher proof, it would probably improve it a lot for me. As it is, I can see new whiskey drinkers liking this a lot since it’s such an easy drinker. Given its low price and age, I’ll give it a score of 3, but that’s probably a little generous."
3.75,"Orange, vanilla, honey and baking spices.  Vanilla, oak, orange marmalade with spicy baking spice notes. Finishes warm and spicy. Nice Canadian rye."
4.0,null
5.0,null
1.0,null
null,null
4.0,null
5.0,null
0.0,null
4.0,null
2.5,"Nose: leather, vanilla.
Palate: orange, woody, cinnamon, tannins. Finish is medium length and spicy.
Adding water balances the nose with a twist of cinnamon, and sweetens the palate a bit.
Overall: descent, but imperfect. Seems like it would make a good mixer (e.g. would pop well in an old fashioned, I think)."
3.5,null
4.0,null
4.0,"Sweet vanilla, easy drinker. Smooth and happy"
2.5,"Meh. Not great, not bad. Has a typical Canadian flavor."
3.0,"Wood nose, vanilla and spices"
4.0,null
2.75,I could really like this if the proof points were 15 points higher
4.5,null
2.5,"More fruity, not a strong flavor."
3.5,null
4.25,null
4.0,In a whiskey sour at Valkyrie
3.5,Maple and vanilla on the nose. Sweet syrup taste that turns to a bit of a sour mash. Medium finish.
3.5,"Wow, this like some sort of sweet rye breakfast bread. Interesting and enjoyable!"
4.5,"Extremely sweet smell and an equally sweet taste. This whiskey’s greatest feature, however, is it’s smooth drinkability. The vanilla notes shine. No need to mask this one, perfect neat."
5.0,null
