star,comment
5.0,null
4.0,"Une des meilleures surprises lors de mpk voyage en écosse, odeur impressionnante, à peine une goutte sur la langue et c'est une claque de saveur"
3.75,null
4.5,null
3.5,Mild peat
4.5,null
5.0,null
3.0,Really too sweet & too smoky but it makes a good Rob Roy
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
4.0,Lots of smoky vanilla. Delicious.
5.0,null
4.0,Sampled this Whisky at the 2014 Winnipeg Whisky Festival.  One of my favourites.
4.0,null
4.0,null
4.0,null
4.0,null
null,Want to try this.
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
5.0,Super complex
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,"Initial medicinal iodine nose mellows to familiar enveloping peaty warmth with malt and caramel hints. Spicy malt develops on the palate followed by sweetness and lighter, creamier flavours. Lingering tastes of fresh nasturtium blossom - slightly peppery with floral hints. Classic Port Charlotte - heaps of smoke, bags of barley."
3.0,null
5.0,null
4.0,null
3.0,"Niet te heftig, hij is rokerig, vol smaak, scherp en pittig"
4.0,null
3.0,null
4.0,Woody campfire sweet balanced with smoke
5.0,null
5.0,null
3.0,"Not what it says it is. Not as peaty as I was looking for. Especially for something with ""peat project"" on it. Iodine, a little smoke, but not peaty."
5.0,null
3.0,null
5.0,null
3.0,null
3.0,"NOSE: Salt,  grass,  Oak,  medicine,  cinnamon,  vanilla 

TASTE: earthy, muddy, grassy, chili chocolate. 
             Nothing particularly special. 
             Similar to Ardbeg 10 but cost more  

Water - light

Much lighter, more pleasant, mild peat, still salty, grassy"
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
1.0,null
null,Want to try the octomore too
4.0,Huge peat up front -- a savory nose with Bruichladdich's signature vegetal astringency. Orange zest perks up the palate and the peat becomes nearly chewable. An almost edible Scotch!
5.0,null
3.0,null
4.0,Beautiful peat spice and iodine with a wonderful complex smoke. It's a shame the age statement has been revoked going forward burn still lookin forward to beautiful whiskies none the less.
3.0,null
2.0,null
5.0,null
5.0,Best heavily smoked and peated ever
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
5.0,Reminds me of Ardbeg without the extra iodine.
4.0,null
5.0,null
4.0,null
3.0,null
3.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,Nice smooth peat but prefer the heavy patinas of Laphroaig
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
null,Quite strong with a pleasant nose of tar. Spicy with a long finish.
4.0,null
4.0,null
2.0,null
2.0,null
3.0,null
4.0,null
4.0,null
4.0,"I've tried three different times now to write my own notes on this bottle, but I've finally given up.  Everything I write is essentially the same exact thing Stephanie wrote in her review.  The only note I'll add is that it doesn't do very well in a half-empty bottle; the nose becomes very one-note (smoke), and the palate thins just a bit, losing most of the lemon.  On first opening though, Stephanie nailed it.  At $50-ish a bottle, this is one that will continue to be on my whisky shelf."
4.0,"I don't typically like heavy peat, but this is perfection. Unlike some of its older counterparts, the peatiness in this younger vintage doesn't make me feel I'm sitting in a wooden cabin that is afire. Truly lovely."
3.0,null
5.0,null
4.0,null
2.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,"I loved peated whisky and this one is a great example of what Islay does best. If you love Laphroaig or Ardbeg, you will like this one."
4.0,null
4.0,"Discovered this fantastic Scotch, well balanced spice and peat."
4.0,null
5.0,null
5.0,null
3.0,null
4.0,"Ahhh, that peat. It definitely dominates the nose and palate, but also features a nice sweetness of honey, brown sugar, and vanilla. A touch of cinnamon in there as well. A good spice on the finish, with a hint of bitter chocolate coming through at the end."
5.0,null
2.0,null
5.0,null
4.0,"Lovely stuff, plenty of peat and well balanced flavours."
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,"Woody nose. Very peaty taste, but very smoky, can almost taste the barrel."
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
1.0,null
4.0,null
4.0,null
4.0,Not quite right
5.0,null
4.0,null
5.0,null
5.0,null
3.0,null
4.0,null
3.0,null
5.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,"Not the most exciting 
Peated scotch I've ever had."
5.0,null
4.0,null
4.0,null
4.0,"No so heavily peated, really. Smooth, fruity and fun"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,Quite like it - smoky - slightly heavy in favour -reasonably priced
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
3.0,"Not as smooth as a typical Bruichladdich, nor as peaty as a Laphroaig. Not bad though."
5.0,null
4.0,null
4.0,"It's no PC7 (let alone a PC6), but a damn fine whisky in its own right."
2.0,null
2.0,null
4.0,null
2.0,null
4.0,null
4.0,null
1.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.5,null
4.5,null
4.0,holy shiiit the smoke
4.0,New bottling.Not aggressive. Very peaty palate. Good amount of oak. Deceptive abv. One dimentional with the peat but fantastic. Peat to the core.
4.0,"N - pear, sea salt taffy
T - raisins, salt, peat, iodine and grain
F - smoke"
5.0,null
5.0,null
3.0,null
3.0,
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,null
