star,comment
1.0,null
3.0,null
3.0,null
2.0,null
2.0,null
4.0,null
4.0,"In the world of Irish Whiskies, The Quiet Man is unique in that it drinks more like a Speyside Scotch. Light and floral on the nose, it is sweet  then dry on the palate. The Irish comes through in it's lightness which lets the grain notes and the bourbon barrels in which its aged come through. The finish is long and lingering with notes of vanilla, grass and dried fruit. As Irish Whiskey continues to grow in popularity the category continues to innovate with unique flavor profiles and The Quiet Man continues that trend. Note: The Quiet Man will  be available in NY this Spring."
3.0,null
3.0,null
2.0,"It's okay. My husband loves it and says it's easy to drink. I find it too ""alcohol"" on the nose and bitter on the palate."
2.0,null
2.0,null
2.0,null
3.0,"Nose: Wild flower field, isopropyl, sweet slight spice
Palate: floral, sweet, 
Finish: exceptionally smooth, remaining pollen, some spice hits later"
4.0,null
3.0,null
4.0,The description is spot on. I enjoy the lightness of it. Finish lingers on the back of the tongue.
4.0,null
2.0,2/10.  meh
2.0,null
4.0,null
3.0,Mellow easy drinking whiskey. Toasted cereal on the nose. Slightly sweet & spicy.
3.0,null
3.0,null
3.0,null
4.0,null
4.0,Currently my go to for old fashioned. Good sipping summer sipping whiskey as well.
4.0,null
3.0,"sample/comparable to Knappogue Castle yet less refined.  The 8 yr QM is marginally better.  Vanilla up front, finish kind of bland w heat."
5.0,null
2.0,"Meh, it’s alright.  Typical irish whiskey nose of biscuits and cereal. Taste is very light and thin. Easy drinking (like water easy) finish is is pretty much non-existent"
4.0,null
4.0,null
2.0,null
3.0,I like it
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
3.25,null
null,null
3.5,"Light nose hidden by the smell of alcohol
Slight apple and florally taste"
4.0,Super easy to drink.
4.0,null
3.5,null
2.5,null
4.5,null
3.5,null
4.0,null
3.25,null
4.0,null
3.0,"Fruity nose, apple juice, shortbread and malt. Light palate. Pleasant, nothing stands out, but in a positive sense. Very smooth. Sweet but not overly so, slight oaky, bitter aftertaste. 8/4/19"
1.5,null
3.75,null
3.25,null
3.25,null
3.5,null
3.75,null
3.5,null
3.5,null
3.75,"Slightly sweet but exceptionally smooth. Leaves a little to be desired on the finish, or lack there of, but overall for the price,it is a good buy. Would make a great daily drinker  for when I don’t want to break out the more expensive bottles."
4.0,One of the smoothest whiskys I've tried. Highly recommend.
2.0,null
4.0,null
3.25,null
4.0,Smooth
2.0,null
1.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
