star,comment
4.0,null
4.0,null
3.0,"Nose light, initial clean crisp almost clinical, middle nutty, after light char"
3.0,"Heavier going than the standard 12yr old, definitely, but amazingly, still no burn as you swallow it, contrary to everything your mouth is telling you to start with.
A very satisfying, 'evening' drink."
4.0,"$65 - Michigan. Nose (Neat): Light alcohol, sweet vanilla, caramel, faint leather and mellow smooth smoke. Palate (Neat): First sip produces an envgorating tingle on the tongue. No burn going down...very surprising. Following sip produces sweet vanilla, caramel with a kick of spice and light rich tobacco and leather. Wow...what a mouthfull. So fragrant and flavorful it is definitely staying in my collection with a reserve bottle on hand."
4.0,"Sweet, rich caramel and vanilla notes. A little bite up top with a Pretty smooth finish."
4.0,null
4.0,null
4.0,null
5.0,null
4.75,null
4.0,null
4.0,null
5.0,null
4.0,null
4.5,null
3.75,null
4.5,null
4.0,"Fruity nose, honey taste, super smooth!!’"
4.5,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,Very good whiskey Ireland's got things figured out..
4.0,The only Irish whiskey I like. The rest taste like grass to me.
3.0,null
3.0,null
5.0,null
5.0,null
4.0,Smooth and easy to drink with a little bit of sweet.
4.0,null
3.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
5.0,null
4.0,null
2.0,null
3.0,The cask strength bottling leaves an alcohol bite that sometimes overpowers and leaves some of the flavors of the whiskey a bit muted. A little dash of water opens it right up.
5.0,null
4.0,null
3.0,null
4.0,Easy to sip neat
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
2.0,"Heavy vanilla extract, spice, nutty, perfume, dried orange, lemon, and apricot. Improves with addition of water."
4.0,null
4.0,null
5.0,null
2.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,Oak and peat bouquet with wonderfully smooth vanilla richness. Fantastic!
