star,comment
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,Needs a little water
4.0,null
4.0,"Softer than the 12-year, but just lacking a bit of the classic pot still intensity"
4.25,null
4.0,null
5.0,Best for everyday drinking.
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
3.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,Drank with Dean Thomas
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
1.0,null
4.0,Smooth
3.0,null
5.0,null
5.0,null
3.0,"A touch sweet, spicy"
5.0,One of the smoothest whiskeys I've ever tasted
4.0,best of the irish
4.0,null
4.0,null
4.0,One  of the few Irish whiskey a I like
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,"Pleasantly rough, with a long, woody finish."
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,A complex flavor that starts sweet and finishes with a hint of smoke. Not as smooth as I would like for its price range but still very easy to sip.
4.0,null
4.0,null
4.0,null
null,This is what you come home to when the wife's giving you the cold shoulder.. This single pot still embraces you every single time
5.0,null
4.0,null
4.0,I enjoyed the spicey notes up front followed by the heather and honey. A very smooth and easy going whiskey... almost too easy going for a week night at least!
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
4.0,null
null,MWC. June at Patrick's.
5.0,null
4.0,"Nice pot still spice with a perfect little vanilla oaky smoke background. Mellows out so much with just a drop or two of water. I like this as a winter warmer, just enough kick to do the trick. I'm a little sad as I finish off the bottle tonight after a short lived love affair with this great whiskey."
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
null,Absolutely delicious. Sweet and vanilla/sequel. #1 whiskey I recommend to new whiskey drinkers
5.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,null
5.0,"All toffee for me both on the nose and pallet. Not super sweet, just right, very smooth with a long finish underscored by hints of apple and pear."
4.0,null
4.0,null
5.0,null
3.0,null
5.0,null
4.0,null
4.0,null
4.0,"Sweetish, woody and tight finish. No smoke, no joke."
3.0,null
4.0,Very smooth with a honey like finish
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
3.0,Prefer 12 Year.
5.0,null
5.0,null
4.0,null
3.0,Burns a bit going down at 46% ABV but its still smooth and clean. Its a hardier 12 is all.
4.0,null
4.0,null
4.0,null
3.0,null
4.0,Good for 75$ a bottle
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,Toffee & tight. Lightly sweet. Light salt. Thin but not weak.
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,"I still prefer the 12 cask, but this one really stands out as a great Irish. The finish was quite hot and lost some of the flavour, but still a great find."
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
3.0,null
5.0,null
5.0,null
3.0,null
5.0,null
null,2017 San Francisco World Spirit Competition Award Winner
null,$100 at ABC
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,"OK, now I get Redbreast. Full, creamy, honeyed, toasty. Bursting with sherries fruits and nuts. Smooth, but characterful. Really delicious stuff here; maybe more of. 4.5 than a 5, but I'm feeling generous. Beannachtaí na Feíle Pádraig oraibh, everybody!"
5.0,null
4.0,Harsh burn but lots of flavor. Like the 12 better
4.0,null
4.0,null
3.0,null
4.0,null
2.0,null
3.0,Nosing this held lots of promise and fresh citrus and herbs. On the palate though I probably expected more but the sherry and honey notes were good. Mild spices on the finish
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,Weaker taste than the 12 yr. Not impressive
4.0,null
2.0,Solid flavor profile oak cask taste comes tgrough. Not my thing. Katina likes tgis fir winter.
4.0,null
4.0,null
4.0,null
4.0,Amazing. Smooth and complex. Best Irish I've had
4.0,null
5.0,null
3.0,"Coming from the 12 year, I taste very similar flavors in this 15 year. The chief difference I can detect is an amplification of flavor and an increase in backend burn. So there's a harder hit of caramel, a harder citrus flavor to follow, and a harder burn. I understand the tradeoff from a distilling perspective, and I'm glad I tried it once. However, from now on it's the 12-year I'll keep in my collection."
5.0,null
null,$60
5.0,null
4.0,null
4.0,null
null,"Vanilla, smooth taste. great nose."
3.0,"Nice color, vanilla flavor, nice aroma, smooth with a delayed afterburner. Redbreast 12 better"
3.0,This version had a stronger taste with  a bit of pepper and a silky feel to it. Interesting that I prefer the 12yr old.
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,"Drinking this side to side with the 12 year this edged it out simply for the higher abv which I now prefer. I'd love to see the 12 year non cask at the same strength to better ascertain the impact of Olorosso only vs bourbon influence. Also I've since moved on to enjoy more intensely flavoured sherry bomb and in your face peat style whiskys so it'd be interesting to see how I now rate this one year after I finished my last bottle. Update: Roll on several months later and a new bottle. Does it still hold up? I perhaps unfairly put it up against my gold standards in the peat and sherry world's - Laphroaig 10 and Glendronach 15 Revival. Amazingly it held up not to badly. Is it as good? No if they are a 5 this is more a 4.2 - 4.5, it doesn't have the intense flavor profile I love.. But still a lovely viscosity...If I'd tasted this for the first time after these two it'd have got a 4 so sadly down it goes"
5.0,null
5.0,Tried with full glass of ice and first few sips were very good. Try with less ice or a sphere
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
