star,comment
4.0,null
2.0,null
3.0,null
2.0,null
3.0,null
4.0,"very flavorful, salty, bites at the end,smooth at the beginning"
2.0,null
2.0,null
4.0,null
2.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,"2.5, very strong, stiff, made my lips tingle"
4.0,6.5/10
4.0,null
1.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,null
1.0,null
5.0,"Excellent 'every day' bourbon. Not very complex but smooth with a nice, heavy vanilla finish. Strongly recommend"
3.0,"Pretty, would try again"
2.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
5.0,Brought from Kay
3.0,null
5.0,null
3.0,null
4.0,null
2.0,null
3.0,null
4.0,null
null,null
4.0,"This is the only sourced IN whiskey I keep, mainly to represent the distillery on my shelf."
4.0,A great bourbon.  Should be higher then a 3 star.
5.0,This is a very good Bourbon!
5.0,null
2.0,"Fruity as hell with vanilla. It is thin and leaves some to be desired, but it’s young and has a ton of flavor built in regardless so hey good on them"
1.25,null
5.0,Not an expert but the vanilla flavor goes great with orange shavings and an old fashioned
2.75,null
3.0,"Oak, spice, strong straight bourbon flavor. Well-rounded but not a personal favorite."
2.25,null
4.25,null
3.75,null
3.5,null
2.75,null
1.25,null
3.25,null
2.5,null
2.5,null
3.5,null
4.75,null
4.0,null
3.5,null
4.25,"Very good, need a cube."
3.0,"Ok. Good to try new stuff, but pretty bland."
3.0,null
3.0,null
1.0,"Not offensive but seems too young, lacking in flavor, texture, and complexity. Light and corn forward."
3.0,null
3.25,Very good bourbon for the price. Could become a staple for everyday bourbon
3.0,null
null,null
null,null
2.75,null
3.25,null
3.5,null
3.5,null
3.25,null
3.25,null
2.0,null
2.5,null
3.25,Batch 017
4.0,null
4.0,null
2.0,null
2.0,null
3.0,null
1.5,it is okay
4.5,null
2.5,null
2.0,null
2.0,null
4.25,"Ever so slight bite to it. Easy on the way down. Does not leave a bad taste in your mouth. All in all, a very good sipping bourbon."
4.25,null
3.25,null
4.0,null
3.0,null
3.0,null
2.0,"As a huge fan of whisky, i am a lover of proofs and barrels (some more than others) yet Redemption missed the mark - but then again it did. Let me explain. 

This whisky has a proof of 84 (42 abv) and isn’t at all that complex. 

Most whiskeys in my humble opinion should make you sit back and think about whats happening on the tongue, nose, inner cheek and down the hatch. As an entry level whisky i would recommend this solely on the description of “a smooth, well balanced and slightly spicy bourbon...”. The positive of this bourbon is that it is really smooth, theres no bite and slight spice that lingers on the front of the tongue. You really have to swish this around in the mouth and more specifically, under the back of the tongue to really draw out more of this drams profile. When doing so, you don’t get the best bang for your buck as this whisky is $40-$50 and doesn’t have much else to offer besides a hefty price tag. 

It also has a sour mash profile mix. Most people associate sour mash with the classic , staple of Jack Daniel’s old No. 7. This has a different mash taste in comparison which is nice.  Not as in your face (more so, nose in this instance) which is pleasant change. 

100% entry level for the kiddies pre drinking for the high school dance, not for the cats who enjoy a good bite after a long day at the office. 

Cheers,"
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
3.0,null
3.0,null
3.25,"Nose: vanilla, citrus, cinnamon 

Taste: Oak, cinnamon, 

Finish isn’t great"
2.75,null
3.0,null
2.5,null
1.0,null
3.5,null
3.5,null
4.0,Quite nice vanilla profile on nose and taste.
3.5,null
3.0,null
3.5,null
3.75,null
2.75,null
3.75,null
3.25,null
4.5,null
3.25,null
3.5,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,"Nose- Lots of sweet vanilla and doughy bread notes. 
Body- This is a fairly simple pour but overall it is sweet and soft with vanilla, honeysuckle and sugar cookies. 
Finish- Vanilla continues giving way to a bit of mint. There is a bitter oakiness in the finish that takes away from the soft mid palate. 

While unremarkable. This is a nice bourbon all around. The relatively low Distiller ranking surprised me."
2.5,"Not happy with this one. Worth no more than $22. I paid $25. Don’t think I’ll buy it again. Batch 27 on the bottle. 

Update: tried this in an old fashioned, rocks, neat. It’s still garbage."
3.5,smooth and simple... a great daily drinker!
1.25,Do not like the taste. Only thing I liked less was Bird Dog.
3.0,null
3.5,null
3.0,"A pretty decent bourbon, but a little on the simpler side in terms of complexity."
3.0,null
3.5,null
3.5,null
4.0,Very smooth going down. No burn
3.5,null
4.0,null
2.75,null
1.5,null
2.5,Alcoholly almost gasoliny. Caramelly. Burns a bit much.
3.0,null
