star,comment
3.75,"Earthy, slightly sweet, cinnamon red hots"
3.5,"Sweet aroma, flavors of grass, artificial/plastic, mild sweetness"
4.5,null
4.25,null
3.5,null
3.25,Little heat on the nose and sip
null,null
1.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
3.0,null
3.0,null
3.0,Love my city but this juice tastes young. Decent nose but the palate is straight oak. Wheat comes through on finish but overall there is no complexity.
null,"Subtle flavors of vanilla with a long, syrupy finish with no burn. Floral nose."
4.0,null
3.0,null
5.0,null
2.0,"Nose of cherry and vanilla. Starts off sweet with red fruit but the finish is very long and very, very hot."
