star,comment
null,null
null,null
2.0,null
2.0,null
3.0,null
1.0,null
3.0,null
3.0,null
4.0,null
2.0,null
3.0,null
1.0,null
1.0,null
2.0,null
3.0,null
1.0,null
4.0,null
3.0,null
1.0,null
3.0,null
5.0,null
2.0,null
1.0,null
2.0,null
5.0,null
2.0,null
1.0,null
2.0,null
5.0,null
3.0,null
3.0,null
2.0,A weird mix of whisky and vodka tastes
2.0,null
2.0,"Sweet and flat, Honey like sweetness and oily. Not much depth to it."
2.0,null
1.0,null
3.0,"Nice ans smooth. Subtle flavor on the sweet side. Hard to tell exactly what the freezing is good for, but it works, so why not?"
1.0,null
3.0,null
1.0,null
1.0,null
1.0,null
2.0,null
4.0,null
2.0,null
