star,comment
3.0,null
5.0,null
3.0,null
2.75,null
3.25,"vanilla, smoke, charred wood, medicinal taste when added water. oily."
3.5,null
5.0,Moderate peaty flavour. Intense warming feeling all over your body. 59.3% so needs some water to make it enjoyable.
3.25,null
5.0,"*Tenne, not Fumae

Sweet, rich not smoky awesome!"
3.0,null
4.0,null
4.0,null
3.0,iodine turns to old rubber on the back end
3.0,null
4.25,null
3.25,null
5.0,null
4.0,Sweet peated rich
3.5,Gets better as the bottle opens after some weeks. Tasty but young.
3.75,null
3.25,null
2.5,null
1.25,null
