star,comment
4.75,"Better than batch 12. Less ethanol, fantastic nose, easy sipper. Vanilla extract bomb! Think Eagle Rare cask strength."
4.5,"Neat. Nose of cherry caramel oak. Taste is sweet oaky cherry caramel with a long dry oaky cherry caramel finish. I think it’s great. While head to head I prefer 12 over this 13 batch in a blind tasting, it’s splitting hairs. I’m a big GTS and Jr fan and glad I found a bottle of this."
4.0,null
4.5,"Vanilla, brown sugar, caramel, spicy"
2.0,null
4.25,null
4.5,"Pepper, cherry, caramel, a little cinnamon.   So smooth, no burn!"
4.5,null
4.0,null
4.75,"Delicious, might be better than 2019 GTS.  After opening up for a little over a week this bottle has smoothed out so much.  Might buy a couple more of these to stock up.  Wish I could have found the batch #12 to compare"
4.5,null
3.0,null
4.5,"Nose is fairly fruit with raisins and red apple, as well as chocolate, barrel char, oak, and holiday baking spices and yeast rolls. Very pleasant nose.

The palate has a thicker mouthfeel with the tongue feeling dry while the bourbon is sitting on it. There are baking and rye spices, leather, raisins, caramel and oak.

The finish begins spicy with a little burn as it goes down slowly. Then follows through with lingering oaky and fruit notes on the mid palate for an overall long finish.

I enjoy this one a lot. A little more fruit than batch 12. In fact, I think I like this one more. I also get less ethanol on batch 13. Though I’m comparing this new batch 13 to a third empty batch 12 that has been open a few months."
4.5,null
4.5,null
4.5,Not as sweet of a nose as batch 12 but still very good! Buy all I can!
4.25,null
4.5,"Very smooth for 128 proof. I get a lot of cherry, vanilla, caramel and oak with some mild heat. Missed out on batch 12. Glad I grabbed an extra bottle of 13, it’s fricking delicious."
4.25,null
5.0,null
4.25,"Light amber color. Nose has vanilla cream, dark cherries, cinnamon graham crackers and a touch of oak. Rich, oily mouthfeel. Palate is hot with notes of cinnamon sugar, cherry cola, and oak.  
Finish is long, hot, and dry with brown sugar, cinnamon and oak. Excellent, but not quite as good as batch 12."
4.5,null
4.5,It’s strong and goes down smooth for such strength!
4.75,null
4.5,null
4.25,null
4.5,"Nose: corn, heat, cherries
Taste: sweet, cherry
Finish: medicine... first time tasting this flavor. Heat long finish"
4.25,null
4.25,null
