star,comment
4.0,null
3.75,null
3.75,null
3.75,null
3.75,null
3.5,null
4.0,null
4.25,null
4.5,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
2.0,null
4.0,null
4.0,null
null,Can be purchased on Viking ship to Finland
4.0,null
4.0,null
4.0,null
1.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,Lagom rökighet!
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
5.0,null
3.0,"Smoke and vanilla on the nose, a touch of smoked meat. Mostly smoke on the tongue, with little else.  Bit of burn to finish."
4.0,null
2.0,Tested in LHR. That smoke tho...
5.0,9/10
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,Skön båtwhisky med lite röksting.
5.0,null
2.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
2.0,null
4.0,null
3.0,null
5.0,null
4.0,"Campfire on the beach smoke and warming spices on the nose.  Hints of honey and brine in the back.  Rich and spicy with peat smoke, brine, and black pepper on the palate.  A little honey and vanilla too.  Finish is long and spicy with a dry peat smoke.  89/100."
4.0,null
5.0,null
4.0,null
4.0,null
5.0,"LOVE IT! The smoke, salt, peppers and fruits! Amazing."
3.0,null
5.0,null
4.0,Typically Talisker but with some nice stewed fruit notes.  Would buy again.
4.0,null
5.0,null
3.0,Like storm only maybe a bit sweeter and bolder. Not bad when someone gets a litre for you duty free.
3.0,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
null,"69,50"
4.0,null
5.0,null
2.75,"At least it's better than the dreary ""Storm""."
4.0,null
4.0,null
1.0,"Very smoky, and has a slight chemical taste in the finish. Gets better, but not a favourite."
4.0,null
1.0,"Deludente. Manca di profondità e corpo, mi aspettavo qualcosa di più affumicato visto il nome mentre tralasciando l'olfatto al gusto prevalgono note dolci e floreali. L'ho regalato ad un amico andandolo a trovare, assaggiandolo insieme ne siamo rimasti delusi: mi pento dell'acquisto, non lo comprerò mai più."
4.0,null
4.0,null
4.0,null
5.0,null
5.0,"Absolutely delicious. Tastes exactly like the label says ""rich, intense, smokey"" it has the same richness as a olorosso matured whisky but it's different instead of a intense chocolate fruit sherry flavour your getting like more chocolate campfire amber ash taste if that makes sense.

Great product, if you love the 10 you'll love this. 10 is more briney and fruity, this is more dark and smokey."
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
3.0,null
5.0,null
3.0,"Heavy smoke, black pepper, spicy, oily"
5.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
3.0,null
2.0,null
3.0,null
4.0,null
3.0,Smoky and spicy like hell. I love it. Take it easy or it will overkill your senses like a bulldozer!
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,"Very peppery, almost medical at first. You warm up to the bottle after two or three drams (not all at once, mind) but the astringency never really goes away."
5.0,null
4.0,null
3.0,Smoke from charred barrels dominates. Good but there are better options. Definitely a Talisker
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
3.0,Only in DutyFree
3.0,null
3.0,null
4.0,"The nose on this is special! So much so that once you taste it you get a little disappointed.  Dark storm is a great name when the nose is so alive and fresh. You get those peat and briny notes but there something else going on - spice and smoke warn you that you are not safe here....the clouds are rolling in and the seas are angry.....but this tastes to me like young spirits not uncouth but lacking in character. Yes there is nice spice from oak...and charred casks give this its main character but you can't get past the lack of depth on display. So you get a sweet vanilla and oak tannin mixed with smoke and its all very nice and ordered but I feel it misses the salt of the 10 year old and the thrills. It’s a very nice dram don’t get me wrong but just lacks the complexity where it matters and this holds it back. If the taste matched the nose this would be something to get really excited about. So in the end - nice and interesting, with a nose to die for but just short of outstanding. 3.5 stars or 91."
4.0,null
3.0,null
5.0,null
5.0,"Smoky, spicy, full bodied, with hints of plum"
4.0,null
5.0,null
5.0,one of my faves. neat is perfect. amazing taste
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
5.0,"This review basically could be condensed down into a cross-reference to my prior review of Talisker Storm, with the caveat that this whisky has more assertive notes of barbecue smoke, sweet caramel, and chili pepper.  I tried this in an airport duty-free shop, which is the main place that you can find this travel retail exclusive.  Compared to Storm, Dark Storm strikes its notes with more power and clarity, which makes it the better pick in my book.  It's surprising that two scotches bottled at the same ABV and aged using similar techniques (apparently the main difference is a higher char level for this expression) could differ so much in perceived strength.  Blind, I would have guessed this was an amped-up, 50% ABV version of Storm."
4.0,null
4.0,null
2.0,null
4.0,null
2.0,null
4.0,null
4.0,null
3.0,null
4.0,smoke 3 phenol 1 species 1. long finish. mid body
3.0,null
4.0,"More smoke than the std Taliaker, less smoke and peat than Caol Ila."
4.0,null
4.0,Smoky start. burn finish
4.0,"Nose: A rich, earthy and oily smokiness that is bold and assertive but not sharp. A satisfying feast of spicy stewed fruit and bacon cooked over a driftwood campfire on a windswept beach with thunderheads brooding on the horizon. The dry glass is smoke, but not Islay smoke - more heathery and gentle.

Palate: Perfectly sweetly astringent (now *that's* a trick to pull off!), iodine, and stewed fruit flavours peeking from behind the couch in anticipation of pouncing. Not complex, but deep and rewarding with a firm but subtle underlying oakiness.

Finish: Long, smoky, salty and altogether divine.

I could drink this for breakfast, lunch and dinner. I very much enjoy Talisker expressions, especially the 10 and 18 year, but this adds a confident, mature smokiness to the normal distillery character.

Not long ago I described Bowmore Tempest as a roaring typhoon, but this is an altogether more different, introspective  type of storm.  Pour a dram of this and settle back in front of the fire to watch the rain lash the windows. 4 stars without hesitation. Don't hurry this one - savour every drop.

ADDENDUM - The official Distiller tasting notes are right on target, but a score of 84 is too stingy. Talisker Skye was given 85 for heaven’s sake and this is way better. Higher 80s, at least, around the same as Storm.

""Very Good"" : 4 stars"
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
5.0,null
4.0,"Explosive, spicy, smoky"
4.0,null
3.0,null
3.0,null
3.5,"Ah the Talisker nose, smokey  charcoally brine which translates to the palate which saltiness comes through even stronger. It's talisker so I like it. Seems more restrained than the storm but it's a newly opened bottle and if I've learned anything from a Talisker it's that you need to let it breathe. 3.5."
4.0,null
4.0,null
4.0,"Original review from Sept 2016 (transferred from Barreled):

I just completed a very enjoyable side by side comparison between this Dark Storm and it's squall of a cousin, Storm.  Check out my full review and comparo over there if you are so inclined.

I'm doing a quick update here on the Dark Storm because I added a couple of drops to this one just to see if I could find something else here.  The regular Storm had a bigger flavor profile and I want to see if I could dig a little deeper for something hidden in this Dark Storm.

It seems like there's maybe a strange hint of dark berries on the nose that really surprised me that I didn't notice before.  The smoke snatches it away so quick that I fear I may be imagining it.

The remaining sip still coats the tongue being rich and oily and it finishes very smooth.  Good stuff.  I recommend you try them both.  Thanks for the sample, @Generously_Paul.  Cheers."
4.0,"Review transfer from Barreled from March 2016

A nice NAS from Talisker. Typical 45.8% ABV. Nice dark amber color from the heavily charred casks being used (I think it's natural color, but not sure). Smoky and sweet on the nose with vanilla and oak  spices and the unmistakable Talisker briny but also peppery maritime sea air.  I get a taste of an overdone/burnt BBQ chicken. The palate has more of a charred character than smoky, but smoky nevertheless. The signature Talisker peppery spice makes itself known right away. The BBQ comes in again. The finish is spicy/peppery and quite dry with decent length. Not as well rounded as the 10 YO but still very good, especially if you enjoy the huge Talisker punch to the face.  4.25"
5.0,null
3.0,null
5.0,null
null,null
4.0,null
4.0,null
4.0,null
null,Tasted in Alaska on the Disney Wonder
4.0,null
4.0,null
4.0,null
4.0,"Rökig men varm och god smak
Stark rökdoft"
4.0,null
4.0,"Initial. Mildly sweet fragrance mild initial

middle: mild and gentle

after. mildly peaty. hint of smokiness. spicy."
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
