star,comment
3.5,null
3.75,null
3.5,null
3.5,null
4.0,null
3.0,null
3.5,null
3.0,null
3.0,null
3.5,null
4.0,null
3.0,"Nose:
Stewed apples, applesauce, malty sweetness, slight cinnamon

Palate:
Less apple than the nose, creamy sweetness, floral, almost slightly hoppy

Finish:
Short, floral, sweet"
3.75,null
3.75,null
4.0,null
4.0,Light smoke
4.0,null
3.0,null
2.75,null
3.25,null
3.5,null
3.75,overrated
3.5,null
3.25,null
3.25,null
4.0,null
3.5,null
4.25,null
4.0,null
4.5,null
3.5,null
4.0,null
3.0,"Mild, honey finish."
4.25,null
4.25,null
3.25,"It tastes of whiskey, and that's fine."
5.0,null
4.0,null
3.5,null
3.0,null
4.25,null
4.25,null
3.0,Warming spice tones
3.75,null
3.75,null
4.25,null
3.5,null
2.0,null
3.5,"Vanilla and honey on the nose, with light orchard florals that lurk in the background. Honey is immediate on the tongue followed quickly by sweet cream butter and brown bread which make up the primary body. Light florals at the end give way to a bitter astringency that lingers momentarily. All in all, a decent sipping whiskey."
4.25,"Woody, light fruit, and warming. Smoother than Glenfiddich."
3.5,null
4.5,null
3.5,null
3.75,null
null,null
3.75,null
3.75,null
3.75,"Much more complex than I remember. Bananas, butterscotch, butter popcorn on the nose. Sweet and standard speyside profile on the palate. Little spice with a big enough sip. Quite good for the price. 

12 USD per (again very generous) pour
Abbey Rd Pub
Va Beach"
2.5,null
3.25,null
4.25,null
3.5,null
3.0,null
4.25,"A bit less smooth, but fuller, smoky taste."
3.5,null
3.5,null
3.75,null
3.0,null
3.5,null
3.5,Very smooth can’t put my finger on the smell I would say aroma is like pears or cereal the taste is vanilla and fruity no burn at all which is a plus
3.0,null
5.0,"The nose of the whiskey is dominated by the scent of oranges, just at the end there is a sweet note of honey and a faint whisp of smoke.  It is reminiscent of an Old Fashioned.

On the tongue the scotch is light with a sweet twist of orange followed by a light hint of peat.  There is a honeyed sweetness throughout.

By far and away my favorite scotch to date."
3.5,null
3.5,"Light on the nose, with a taste that lingers for a while."
4.5,null
3.25,null
3.75,null
3.75,Preferred neat
4.5,null
3.25,"Nose is dominated by butterscotch with some honey, brown sugar, and banana in the background. Palate is sweet with apples and vanilla. Finish is short and crisp."
3.0,"Smooth drinker, little heat and sweet notes"
3.75,null
3.75,null
2.5,"향 : 부즈없이 상쾌한 꽃향, 가벼운향, 옅은향, 
맛 : 옅은쌉쌀, 약한 배, 오일리하지 않음, 배껍질, 가벼운 쓴맛
피니쉬 : 쌉쌀함이 옅게, 

전체적으로 옅어 아쉬움"
5.0,null
3.0,Smooth. Warm vanilla.
5.0,null
4.25,null
3.0,null
3.5,null
3.5,null
3.75,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
3.5,null
3.5,null
4.25,null
3.75,null
5.0,null
3.75,"NOSE: Very light and fruity. Pears. Rock melon. Honey. That’s it. Oddly no vanilla at all.

PALATE: Sweet melon transitions into some ginger spice and more pear. Short but balanced.

OVERALL: Just a simple, classic whisky. Not complex but very rounded without any harsh edges."
