star,comment
3.75,Sweet and smooth in the beginning continues with spice and orange palate. I enjoyed it a lot.
3.25,null
3.5,null
5.0,null
4.25,null
4.25,null
3.5,null
4.5,null
3.0,null
4.0,null
2.75,null
3.0,null
5.0,null
3.0,null
3.75,null
4.0,null
3.75,null
3.75,null
3.5,null
3.75,null
3.5,null
4.5,null
3.0,null
5.0,null
3.75,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.75,null
3.25,null
4.0,Cherries and flowers
3.5,null
4.0,null
3.0,null
3.0,null
3.5,"Smooth but not very complex flavors. Some caramel sweetness, a bit fruity, fresh fruits mainly, nutty, a medium to short finish."
4.5,null
