star,comment
3.0,null
3.0,The kind of whiskey that's great for a hip flask on a walk home. Smooth sipping and slightly sweet
3.0,null
2.0,null
2.0,null
3.0,null
4.0,Very decent for the price. I get this bottle for the every day sipping
3.0,null
3.0,null
5.0,null
3.0,"Whisky on the Hudson 9/18/2014 : Similar to the 12 year old :  Again, sweetness of banana on the nose.  A creamier, richer palate that is rounder and tamer than the 12 year old."
4.0,null
2.0,Far too sweet. It is a smooth drinking whiskey and could be easily pleasing to those with a sweet tooth. Needs more barrel influence.
3.0,null
2.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
3.0,null
null,"A few years ago, they sold a variety called Original Clan.  Same mix of pot still and malt.  But, I've had both, and the older is somewhat better.  So, I bought a couple of cases.  This is my go to Irish - as good as my Redbreast at half the price!"
3.0,null
3.0,null
3.0,"Extremly smooth and gentle. Honey, flowers, caramel, vanilla ice cream - both in taste and nose. Very good for those who just start exploring the whisky world."
4.0,null
3.0,null
2.0,null
2.0,"Caramelized oak, floral and spice notes. Fairly smooth but still tastes a little unrefined. Tastes half way between Bushmills and Jameson Black Barrel. Not bad but not worth $54 (in Ontario)."
4.0,null
3.0,Slightly bitter one which needs little more tastes than one to find it´s full potential imo.
4.0,null
3.0,null
4.0,null
null,Need to create drinks for this
4.0,null
4.0,null
4.0,null
3.0,"7 out of 10 very sharp on entry then the wheat, honey and wood show up"
3.0,null
5.0,"Для своей ценовой категории - отличный виски. Грубый, но с приятным послевкусием. В наше тяжелое ""санкционное"" время, самое оно в качестве поддержки, после более дорогих вещей."
3.0,null
null,I'll recognize this whiskey
3.0,null
2.0,null
3.0,null
3.0,null
null,$30 Woodmans 3/25/2017
3.0,null
5.0,null
3.0,A bit harsh.
3.0,null
4.0,
4.0,null
3.0,"Note: good Irish whiskey for the price. 
Nose: Apples, cereal, butter, vanilla. 
  Taste: Citrus, malt, very smooth. Creamy.  Spice notes with very quick finish. Surprising heat for 80 proof. Nutty finish.
  How: Neat"
3.0,null
4.0,null
3.0,under $30.00- a vg buy
4.0,null
3.0,null
4.0,null
3.0,null
2.0,"Not much on the nose
1st sip has some citrus/heat. 
Smooth And not much there."
2.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,"spicy, mineral notes, sweet, but not too sweet"
4.0,null
4.0,null
4.0,null
4.0,null
null,null
5.0,null
3.5,null
3.0,null
3.0,"sweet, but not intensely so. some bourbon taste on the end"
3.25,null
4.0,Smooth
3.0,null
3.5,null
5.0,null
3.0,null
5.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
2.0,null
2.0,null
5.0,null
3.0,null
3.0,null
3.0,null
2.0,too young
3.0,null
4.0,null
3.0,Nice and spicy
3.0,null
4.0,null
3.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.5,null
4.5,Very good
3.5,null
3.75,null
3.0,null
4.0,null
3.75,"Hits hard, with less complex flavor"
2.5,null
2.0,null
4.0,null
4.0,null
4.0,3.75. Nice. Caramel. Oily liquor. Real good burnt toffee finish.
3.0,null
3.0,Good stuff at a good price. 3.5 stars
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,"Nose: Green Apple

Taste: light fruit, apple, hint of honey"
3.75,"Smooth, easy drink.  Nothing spectacular, but solid nonetheless.  
Nose is hay, musty barn,  some lighter fruits and spices.
Front is sweet and smooth, followed by some cereal grain on the palate and a warm finish.  Light caramel and toast with hints of sugar cookies and toasted pecan."
3.5,null
3.25,null
3.25,null
3.5,null
3.0,null
3.0,null
1.5,null
4.0,null
5.0,null
4.0,null
4.5,Smooth and spicy with vanilla.
null,null
1.0,Medicinal
2.5,null
4.0,null
3.75,null
3.25,null
3.0,null
3.0,null
4.0,"Definitely get the green apple from nose to palette. Has some other fruity notes to it as well. Creamy up front (Irish whiskey) then definitely has more of the sour apple in the back and finishes well. Other notes, woody, oak. Vanilla, shortbread. Certainly a difference from the regular Irishman original, but not bad from this product line."
4.0,null
3.0,"Not bad, but missing some flavors. Mostly getting oak."
3.75,"We see a handful of reviews that compare to brands like Redbreast, Green Spot and Writers Tears. Top shelf shit! The Irishman, distilled at Walsh Distillery, the same as Writers Tears.. has a heavy single malt and pot still blend.. it is fantastic! It could very well be a bench mark for Irish whiskey, especially with such strong POT STILL flavor. Single Malt texture with bursting pear, green apple nose + taste with smooth honey finish. It's obvious why some toss around Redbreast, Green Spot and Writers Tears comparisons, it is really THAT good! If one where looking to explore Irish whiskey, I'd start here knowing this is really good stuff."
3.5,null
