star,comment
3.0,whisky gouté en 2014 chez mon ami Serge (Vitré) et qui est globalement très correct.
4.0,null
3.0,"One of the first bottles given by my father. Was good, though I can't remember it much. Have to taste again."
3.0,null
2.0,"Soft, and sweet, but no wow factor"
4.0,null
3.0,null
3.0,Good buy smooth
2.0,null
5.0,null
2.0,Nope
3.0,Also tried the 93 bottling. Excellent finish
5.0,null
4.0,A good starter single malt. No real depth of flavor. Some nuts and honey with a slight hint of orange on the nose.
1.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,"A rich taste but nice and smooth. It has enough flavour and slight depth to linger on the palette, it's a great choice for the regular tipple in the cupboard and a good choice to give someone put off by the stronger whiskeys."
2.0,null
3.0,null
4.0,null
2.0,null
3.0,null
2.0,null
4.0,null
1.0,null
3.0,Smooth. Nice scotch.
3.0,Lots of citrus and fruit. Nice bourbon finish.
3.0,null
3.0,"Nicht sehr rauchig, ein wenig langweilig im geschmack, von allem etwas aber nichts richtig"
4.0,null
5.0,null
2.0,null
4.0,null
4.0,null
2.0,I didn't like that one. Very popular and rather cheap. Too spicy.
3.0,null
3.0,null
4.0,null
4.0,'[email protected]
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
1.0,null
5.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,"Nose: Rich, wood, toasted hazelnuts, fruits, brown sugar, chocolate. 
       Palate: Sweetness, crunchy nuts, smooth, fruity, brown sugar, espresso coffee, warming.   
    Finish: Medium to long, dry, sweet, nutty"
3.0,null
3.0,null
1.0,null
1.0,null
2.0,null
4.0,null
3.0,null
3.0,null
1.0,null
4.0,null
2.0,null
2.0,null
3.0,Not bad. A little hot for my taste.
2.0,null
4.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,Simple and smooth. Not complex. Tasted third in a flight in St. Andrews. 9/2015
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
2.0,null
4.0,null
2.0,null
3.0,"Smooth, caramel flavor."
2.0,null
1.0,null
3.0,null
4.0,null
3.0,null
3.0,"Ok - decent taste, smooth, good for start, balanced"
4.0,null
3.0,null
2.0,null
3.0,"Decent dram for after work. Get a nose of apples but not much else. Sweet and nice on the tongue, with a slightly peppery finish. Not complex but not bad for the price"
1.0,null
4.0,null
3.0,null
3.0,"Smooth liquid,  fairly  flavored with Apple and some bitterness. The experience is nice but too ordinary to leave you with strong memories"
3.0,null
2.0,null
3.0,null
3.0,null
3.0,"Apple and caramel, touch of floral honey. Light pepper on the finish."
4.0,null
2.0,null
4.0,null
3.0,null
4.0,null
5.0,Had a dram in Inverness. Really liked this one. Very rich. Opened up with a dab of water.
2.0,null
2.0,null
2.0,null
2.0,Smooth and gentle. With a bit of pepper on the finish. And the bottle looks really cool :) But this is about it - nothing else to remember and to come back to.
2.0,null
3.0,null
3.0,3.7/5 - decent easy drink.
4.0,"That one is a very good everyday relaxing dram. An apple burst with nutty and oaky nose, with a hint of sage, sweet warm palate and short, but warm finish."
