star,comment
2.0,null
5.0,null
5.0,null
4.0,null
1.0,Too much phenol overtones for my tastes. Tolerable with ginger!
4.0,Tea $50
4.0,"Great everyday Scotch, easily accessible and still flavorful"
4.0,null
2.0,null
5.0,Lighter than Jameson
4.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,"Tasted 11/1/2014 Portly Villager :  Nose is sweet, cereal and spice.  Creamy texture on the palate. Honey sweetness  eventually works its way in, but fades quickly to dry oak. Long spicy finish (black pepper). Not a bad dram. Warms the soul on a cool, damp day (like today)."
3.0,null
4.0,"Nose: Sugared barley with oak and spicy notes. Very fresh nose! Some ginger and dryness with toast.

Taste: Sweet with honey. Nicely sharp with dried fruits, oak and peppery tones.

Finish: Nice and long with mild spices and dry notes. Malt and herbs are strong.

Balance: Refreshing dram, dry and crispy but not too sharp and stingy. Great whisky indeed!"
4.0,null
3.0,null
3.0,I tried this shortly after eating a salted honey scone -- I felt like the scone and the scotch were remarkably similar. The salt was pretty apparent to me. I liked this pretty well.
3.0,null
3.0,null
5.0,null
4.0,null
5.0,null
2.0,null
2.0,null
4.0,null
3.0,null
2.0,null
null,73 lovescotch
5.0,null
3.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,null
2.0,Not something I would drink at home
4.0,null
4.0,null
4.0,"Pittig, veel smaak. Wel heftig maar mis echte rook"
4.0,null
3.0,null
1.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,"Cereal, fresh fruits, grass, vanilla, and lemon peel on the nose. Water brings grass and bright, fresh lemon to the fore. Taste is smooth with a medium mouthfeel. Slight salt, lemon and light woody notes. Finish is moderately long, slightly bitter, and drying. Water dulls the taste bringing out no new notes. 85/100."
5.0,null
1.0,null
4.0,"Nice, smoky with heavy phenol character....$60 @ sicilianos ... Non chill filtered- no artificial coloring- replace when gone....Ralfy review 310, 10/10/12, malt mark 86"
4.0,null
4.0,"Bright and lemony nose.  Great coating mouth feel with a pleasant amount of heat in the middle.  Finishes with lemons giving way to more cereal, honey and wood.  A nice salty note at the end."
3.0,null
4.0,null
3.0,null
4.0,null
4.0,"Cereal, fresh fruits as lemon and strawberries and sweet notes which resembles a bourbon on the nose. Medium body, rich on the mouth. The finish is also medium, with a touch of peppermint. Wouldn't consider a elegant whisky, but an outgoing and social one."
5.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,"Toasty grains greet you. Light yet spicy, a little sweet too. Some oak either in the nose or the body... Long spiced finish. It seemed to get better as it sat, but I think I also got drunker as it sat..."
4.0,null
2.0,null
4.0,null
5.0,null
4.0,null
4.0,A pleasant surprise.
null,"""Il y a les arômes brillants de céréales de petit-déjeuner recouvertes de baies fraîches, le lait caillé de citron et une petite quantité(montant) de sel. Le whisky picote les gencives et a un peu de tanins en bois secs pour mâcher. La fin(finition) continue avec la pelure de citron, la cannelle, des épices en bois et une touche d'anis.""

PASSÉ EN REVUE PAR STEPHANIE MORENO"
2.0,null
2.0,"Sweet nose with vanilla and fruit. Smooth but tangy to start with a bit of bite on the finish, tingly but not too warm. Not much smoke or peat, but pretty oaky."
2.0,null
3.0,null
1.0,null
4.0,null
4.0,null
4.0,"Waxy nose, a sweet.peat, which is surprising. according to the bartender the water used runs down a waterfall that runs over peated areas so you can taste the freshness.  Very crisp yet great for those who like some smoke in their whiskey like myself."
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
2.0,null
3.0,null
4.0,null
2.0,null
1.0,null
1.0,The smell is abrasive and the taste is not smooth at all. Not my favourite.
4.0,null
3.0,null
4.0,Slightly lighter taste. Smooth but complex in the combination of tastes. 46% but easy to drink!
4.0,"The dram is straw-like gold in its appearance and its nose is similarly light in tone — poignantly tart pear is the first emphatic aroma, followed by salt and rich maltiness; as it continues to lift hibiscus comes to mind; the palate presents salted butter, spiced muesli, dried seaweed, and hints of caramel; the pleasant burn comes rather quickly to enhance the flavors, while the finish boasts old oak; the next inhale is like the chilly air of an ancient forest; further in, the bourbon influence makes itself known subtly but elegantly with sweet smokiness. Floral and malty aftertaste. Less remarkable than its Ledaig cousin, but contentedly unrefined, wild, and still altogether splendid. Thanks for sharing, Alex."
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,"Very nice for a 10 year old, hints of fresh cilantro, salty, smooth, vanilla, like kilchoman machir bay in many respects but not that peated or none at all.."
