star,comment
4.0,null
3.0,"Sweet sour cream. ""Dairy bite""  Pleasant and sweet. 
$114 - CDN - Sask"
4.0,null
4.0,"Vanilla and oak mostly, maybe a bit of leather and candied cashews. Not the strongest nose, but not unpleasant. Mildly spicy palate with clove, honey, cough drops. Dry finish with a bit of mango that lasts a while. Enjoyable, but unremarkable. A good deal better than their 12 y.o. [1st try: 87] [2nd try: 86]"
4.0,null
5.0,null
2.0,Niet zo lekker
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
2.0,"Kraftig. Tydlig smak av halm och och eteriska oljor. Något söt. Fruktigt, nästan bärig. Stark, men lite plan."
5.0,null
4.0,null
3.0,null
3.0,Serious port flavor but it didn't rock my world. Didn't seem super complex. Maybe I just wasn't in the mood for port.
4.0,null
4.0,null
4.0,"Jam Bars. Linzertorte. Jammie Dodgers. You know the concept - buttery pastry plus fruity, sweet jam. That's this whisky in a nutshell. Port pipe finishing always seems to lend a jammy, berry-inflected profile, and that's the case here - luscious raspberry jam, with some vanilla and pie crust. The palate is hotter than I would expect from a 14 year old, but delivers the promises made on the nose...plush and fruity, almost decadently so, with a pleasantly mild vanilla note, pastry crust, and a reasonably long finish. I wouldn't call this a complex dram (its flavors are clear and straightforward), but that's no crime...especially when simplicity equals simply delicious!"
3.0,3.5.  Nose is sweet and fruity.  Relatively smooth and fruity with a hot spicy finish.
4.0,null
5.0,null
4.0,"It's time I reviewed another scotch from a dark horse favorite of mine:  Tomatin.  These guys have quickly climbed the ranks of my all-time favorite whiskies.  The fact they offer more great vintages and experimental finishes while keeping their median prices in the $45-60 range is icing on the proverbial spice cake.  So, let's get into the 14 year old version that was finished in tawny port wine casks.  It comes in at a slightly elevated 92 proof and the 750ml bottle cost me a cool $55 online.

The aroma is filled to the brim with red berry sweetness:  juicy red raspberries and dark cherry with just a hint of plum.  There's a faint bit of toffee and butterscotch but no oak presence at all.  This was finished in port barrels for just over a year so there's also a nice red wine tint that deepens and enriches the normal straw yellow whisky.  It looks really inviting and smells very sweet.

On the tongue there's a remarkable amount of dark fruit.  It reminds me of a really potent fruit punch from my childhood.  Some might think it's too fruity, but I'm really digging it.  There's a gigantic blast of heat towards the end from the alcohol to remind you it's whisky and not Hi-C fruit punch you're drinking and that's actually quite welcome.  It's a bit harsh for being 14 years old (I'm basing that off the fact I thought the 12 year was reasonably smooth).  Still, this is clearly a dessert dram for sure.

The finish is hotter than I expected, but damn if the fruit just lingers and lingers.  It's quite enjoyable.  It's medium in length and maintains its warmth longer than I expected.  This is another winning Tomatin IMO.  

It would probably work better in the springtime as a nice homage to the changing of seasons from cold to warm, so I may let this bottle hang around through the holidays and return to it on those unseasonably warm Feb & March evenings.  

If you see this one sitting on shelves near you don't hesitate to give it a try.  At less than $60 you won't be disappointed.  It's better than a lot of higher priced Highland single malts that cost $10-20 more a bottle.  More like 4.25 stars.  Cheers."
3.0,null
4.0,null
4.0,null
4.0,null
4.0,High alcohol on nose - cask flavour comes throughout the on the palate with sweetness on top of peatyness - quite spicy but not too smoky. Medium length. Not mad on it - but would consider if I was given limited options.
4.0,"had it at the world of whisky thing,2017. liked it!"
3.0,null
5.0,null
4.0,null
4.0,null
4.0,"Very good whisky. 8,5/10"
4.0,null
4.0,null
3.0,"Honey and hints of blood orange on the nose, but otherwise a faint bouquet. Light, smooth and silky mouthful, with hazelnut, coffee, and malt on the palate. Fairly long and oaky finish, with an unfortunate bitter aftertaste. Overall an oak-heavy dram that did not come together as well as I had hoped."
4.0,null
4.0,null
3.75,null
5.0,null
3.0,"Honeycomb to the nose, with a floral note that is reminiscent of chamomile - just wonderful. The toasted barley comes through on the palate, with walnuts and wood spices for good measure. The finish is quite short and at times bitter , but I won't complain a great deal. Honestly, I can't for the life of me tell that this was matured in port casks. Overall it's alright."
3.0,null
4.0,"A fine balance between bourbon and port casks. The port is assertive, but not too much. Berries and honey on the nose. Nice spice throughout and into the finish. It takes water well without losing the spice. Short bread makes an enjoyable appearance in the finish. Pairs well with chocolate. A value at $60."
4.0,Really enjoyed. Trying to find it in Colorado.
3.0,null
4.0,null
3.0,null
4.0,null
null,"Tomatin 14 Port Casks 
Top Score with Glen Calder taste test

Amber copper color, mild sweet, Viscous texture, lightly plated"
3.0,"Hellbraune Farbe mit klaren Fruchtnoten und leichter honigartiger Süße im Geruch. Geschmack dann aber nicht so süß wie der Geruch es vermuten lässt sondern deutliche Fruchtsäue mit leichen Bitternoten. Angenehm fruchtig im Abgang, leichte herzhafte Schärfe verbleibt im Mund."
5.0,null
4.0,null
null,"Laatste jaar opgeslagen in portvaten, wat je ook proeft"
4.0,Afternoon dram after first hiking day at Glamoriston Arms Inn
4.0,null
3.0,
3.0,null
4.0,null
4.0,null
4.0,"Review transfer from Barreled from December 2016


This 14 year old Tomatin is 46% ABV, is non chill filtered and is natural color. The color is a beautiful amber peach. This Highland scotch is matured in ex bourbon barrels and finished in port pipes that previously held port wines for around 50 years. 

There is a burst of oaky raisins initially on the nose. After a few minutes the raisins disappear and an abundance of red berries and sweet red wines take over. It develops into baked apples, apricots, and oranges. The bourbon barrels also come through with vanilla, butterscotch, toffee, and caramel. Truly a wonderfully sweet nose. 

The palate takes off in another direction entirely. A wave of spice washes over the tongue and coats the mouth. Immediately following the spice is a candy sweetness with dark berries and plums. Plenty of oak and some bitter nuttiness like raw walnuts. Very full bodied. 

The mouthfeel is very drying and mouth coating. The finish is good and long. Spicy with some bitter dark chocolate. 

Tomatin has quickly climbed the ranks among my Highland scotch favorites. This port finished scotch is much stronger than I expected and I wouldn't consider it a desert dram like I do with the Glenmorangie Quinta Ruban, but it's damn good.  I would love to get my hands on the 1988 Tomatin that is 25 years old and probably uses higher quality port wood, but at over $400 I doubt I'll seek it out. However for around $55 I would buy this one in a heartbeat. Thanks to @LeeEvolved for the sample. 4.5
Cheers"
4.0,null
null,Astrokas
4.0,"Nice spicy barrel blast. Alcoholic burn is eminent up front, but given time and/or water this can be easily abated. I don’t have much experience with port, but the dry minty fruitiness come off bold and well rounded. At about 60-70$ a bottle, it is a solid buy."
2.0,null
4.0,null
3.0,"3,5. Sweet nose and start (like almonds or pastry) and quick peppery finish."
3.0,null
4.0,"Subtle smoke., sweet undertones and chocolate, warm vanilla finish with hint of peat"
2.0,Not much to it.  Nice and sweet.
1.0,"too sweet, lots of berries, more like a dessert whiskey"
4.0,"zeer volle rijke smaak, gedroogde pruimen en rozijnen, pure chocolade en port. lange afdronk. complex"
4.0,null
4.0,null
4.0,null
4.0,null
3.0,"The port casks come through on the nose, with honey and raisins/plum notes. The tongue has a bight, that is softened by a splash of water, which brings out a sweet, buttery quality. Finish is mostly spice."
3.5,null
4.0,Incredibly smooth mouth feel. Softens with a bit of water
4.0,"Butter with jam, bacon on the nose
Light grape taste, a little tart"
3.75,null
4.0,null
3.0,For a 14 this is a harsh slap in the taste buds. Add a splash and it calms to reveal its better side. Floral- honey- sweets.  Pepper bite.
3.0,null
4.0,Sweet nose. Honey dominates the flavour. Toffee comes out after adding a drop of water
3.5,null
4.25,null
4.25,null
4.25,null
2.5,null
4.0,"Day 13. Had to skip a day because of a root canal, and writing tasting notes when all you taste is dentist is really no fun. And this dram deserved better. That's why today is gonna be a double hit. First this, and Jura later. 

Nose is very fruity and sweet, with honey, caramel, prunes, cherries, raisins and some spicy cinnamon. 

Taste has a bit of spice to it, and some burn. Good. It needed that. There is chocolate, honey, sweet plums, a hint of coffee and some cloves in this. Very enjoyable this. Sweet but not too sweet thanks to the spicy burn. I like this one. 

The aftertaste is straight up chocolate plums. Love em.

All in all a very decent whisky for the pricepoint. Might need to get a bottle of that."
4.25,null
4.0,null
4.25,Perfect balance of sweet and light
4.0,null
5.0,null
2.0,"Nose: heavy port
Palate: heavy and syrupy. It was ok. But of an after burn. I like the port more than sherry. Not my faves of the Tomatin. Similar to the Fire, sweet and easy to drink but not complex. Slight peat at the end"
4.0,null
5.0,null
5.0,null
3.0,null
3.0,null
4.0,"Fijn van smaak, ondanks het hogere alcoholpercentage niet te krachtig. Fijne afdronk."
3.5,This is a hard one. Definitely good port casking there but unfortunately it really isn't balanced with the  alcohol which overpowers the cask with it's strength and slight harshness. It's only 46% but comes across several % higher at least and definitely cleared out and sanitised my nasal passages when I took a wiff. Towards the end I started getting into it more so maybe if i worked my way through a bottle it might gell a bit more. Definitely a 3.5 as its only $60USD but unfortunately I had the 1977 portwood shortly after and in comparing to that it was hard to round up to a 4.
3.0,null
3.5,null
null,null
3.75,"nose: caramel
taste: floral spice"
4.0,null
4.0,null
4.0,null
4.25,null
