star,comment
2.5,null
0.5,null
0.75,null
3.5,null
3.5,null
null,"Strong Oak In The Nose. I Like That!
The Delay Taste Is like You Have Soap In Your Mouth! A Hint Of Burnt Plastic."
4.0,"Slightly spicy, hot, oak"
5.0,It is smooth and easy
3.5,null
1.25,"Light color
Medium heat
Strange unique flavor that I'm not loving
The lingering after taste is awful"
1.0,"Almost a sherry finished taste, like a highland scotch."
4.5,null
3.75,null
3.75,null
3.5,null
4.5,null
4.25,null
1.0,"Very astringent, tastes like an old pencil eraser."
4.5,"From the first sip of this stuff, I’ve been a fan. I don’t have the great ability to explain what I’m tasting, but I am strictly a bourbon drinker and I love this one."
4.5,null
1.0,Peaty
3.5,"Notes of caramel and black cherry on the nose.  Smooth with slight leather, good mouth feel. Lasting bite that finishes well with smokey, peatey undertones."
2.0,null
3.5,"I was delightful surprised with this. Lighter in color than a typical bourbon but very smooth. Slightly sweet on the front end and I got a slight char flavor
on the back end. Good bang for the buck on this one!"
2.75,Very unique bourbon. Reminds me of a scotch. Actually smooth but has a strong white wine taste to it.
3.75,null
2.0,"Less of a bourbon, more of a scotch."
