star,comment
3.0,null
2.0,null
3.0,null
4.0,null
4.0,"This was always my standby when I lived in Louisville. Cheap, but surprisingly drinkable, especially mixed in a julep or whiskey ginger."
4.0,null
4.0,"This is very sharp for a six year, A great Bourbon no doubt, but it drinks far greener than one would expect.
I'd love to see what this is like at a 12 year for $10 more, yet its hard enough to get this in the North!"
2.0,null
4.0,null
4.0,Fantastic value for the $$$ $25 a handle
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
2.0,"Purchased for a Party I was going to. Others seemed to like it , and it was better than I expected. Great nose but flavor didnt live up to it. I thought it was ok for mixed drinks but I left it at the party on purpose......"
4.0,null
4.0,null
3.0,null
3.0,"Another one that--based on the $13 pricetag--is so much better than you'd expect it to be. Again, not setting the world on fire, but enough flavour and enough interesting stuff going on to make it a decent purcahse. Big caramel-custard flavours (that I get in a lot of Barton whiskeys), boozy, Werther's candy, milky, slate/stone/limestone?, candied vanilla, corn husk. More spice on the taste than the nose--big cinnamon, clove, ginger. Chocolate, bitter orange. Not bad."
1.0,null
2.0,null
3.0,null
3.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
null,For mixing
3.0,null
2.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,"This is a great value. I can sip it neat or in the rocks.

I'm not afraid to bring this to a party.  Or party with it."
3.0,null
3.0,null
null,75/15/10
3.0,null
3.0,null
4.0,null
null,I only drink the AS version and have hoarded some of it!
4.0,null
5.0,null
2.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
2.0,"Very smooth. Flavor is a blip on the radar. Almost like water. The ""corona of bourbon"""
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
2.0,null
2.0,null
4.0,null
2.0,I bought a bottle at the 1792 Distillery. It is still labeled as Kentucky Straight Bourbon Whiskey. Great value for $14.
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,6yr best value bourbon I have tasted
4.0,Good every day use
3.0,Maple smell and smooth
3.0,null
4.0,null
3.5,"Roasted corn and chestnuts while nosing. Palate is medium-bodied and continues with peanuts, fried dough, nutmeg, and a touch of smoke. One of my favorite sippers from the bottom shelf."
3.0,"A fantastic value at $15.95. Interesting enough to sip neat, but better suited in a cocktail or with a touch of water / ice when the mood calls for it."
3.0,Used to be everyday back in college
3.0,"Not quite sure what classifies the difference between ""old"" and ""very old"" but  it seems to be pretty irrelevant on bourbons that carry no age statement. This is an easy drinker and easily one of the best quality to value bourbons on the market. At  $15 for a 750ml, it's worth a chance. At the very least you can drink it with an old friend or if you choose to stay on theme, with a very old one."
3.0,null
4.0,null
4.0,"BiB 100-proof version. Some musk, maybe some honey, on the nose. Surprisingly, has a familiar wheater bourbon taste, akin to Weller Special Reserve, although this has no wheat. Pleasantly sweet and spicy, just the right amount of both. Bitter chocolate at the end. Adding a limestone water ice cube brings out some caramel notes. A bit more creamy or vanilla notes would make this incredible, but for $15 this is fantastic, so hard to complain. 2/11/17
    A bit more walnut this time around. Still very good. 3/11/17
  Revisiting this after a few months, and it does not disappoint. Smells perfumy and sticky sweet. On the tongue, feels a little thin, although it seems to have a gritty almost sandy texture. The proof provides this with ample heat and flavor. I get pepper, furniture polish, nuts, and bitter chocolate. This has to be one of the best bourbons, if not the best, you can get for under $15. 5/15/17"
3.0,null
2.0,null
5.0,null
4.0,null
3.0,"This is the 90 proof VOB. Ginger, apple, cinnamon redhots, turmeric spice on the nose.  Numbingness on the tongue at first sip.  Smooth, cinnamon redhots on the middle of the tongue,  a nice warmth that fills the chest.  Tasty dram for an economical price.  Though not as complex or flavorful as Old GrandDad BiB it still is a very good choice for a nightly dram."
1.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
2.0,null
4.0,null
