star,comment
4.0,null
4.0,"Pretty good whiskey, had in Charleston SC. If you have the option between this and the one with ginger (not listed on this site), get the ginger one!"
4.0,null
3.75,null
3.75,null
4.75,null
3.5,null
3.5,null
4.0,null
1.5,Too much bite.
4.25,null
3.75,null
2.75,null
4.0,null
null,null
4.0,"good finish. I picked up pecan. I'm surprised it's a rye, I didn't get a lot of spice."
2.0,Pickles and dill
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
2.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
1.0,null
5.0,null
4.0,null
4.0,null
3.0,Nose was smoky. Loved the flavor. A bit peaty and overall and smooth finish. 3.5/5
4.0,null
4.0,null
5.0,Perfect balance of spice and sweetness.
5.0,"As a newly made fan of rye, this is spicy and bold in all the right places."
5.0,null
5.0,null
5.0,null
5.0,null
3.0,null
