star,comment
4.0,null
4.0,Purchased for a friend and myself to sip on during a get together. We were both surprised how good it was for the monitary value. The bottle presents well and is a welcome addition to the collection
3.0,null
4.0,null
5.0,null
4.0,Sweet-ish and not heavy on rye flavour. Bought it on a whim. Surprisingly good. Recommend!
3.0,Surprised for an affordable dram this is very smooth and easy drinking.
4.0,null
3.0,"Fruity and leather on the nose.  Very sweet and smooth, with some spice on the tongue.  Finish burns and lingers with a tingle on the tongue"
4.0,"Nice presentation, unique color the packaging will attract attention on the shelf.
 subtle aroma lends a hint of an interesting flavor to come.

This whiskey has a bit of an edge to it not something everyone will like but I find it enjoyable too many brands are afraid of this sort of statement.

The flavors are nicely blended and the wine cask flavor is right there front and center with the others joining in over time  then everything clears out very smoothly.

For me at least this is not so much a mixer as a sipping experience.

This is likely to be a regular in the cabinet."
4.0,null
2.0,"Not up to my expectations, high alcohol first taste a turn off. No competition for 40 Creek, or Crown Royal. Would not recommend"
3.0,"Genuinely surprised with this whisky. I find myself enjoying it far more than I expected.  Perhaps a little too sweet, but it has an excellent fruity aroma and a smooth finish. The rye adds some spice but it is balanced well with maybe some carmel notes and a little wood notes too. A great sipping or dessert whisky."
2.0,null
1.0,"This is not what I was expecting at all from the 99, the glass was in my hand for at least an hour and a half, it was so bad i could not get around it. Sad!"
3.5,"I'm not sure about the Distiller's review as I do not get any of the notes Blair has expressed. I get a full bouquet of dark fruit and dried fruit. The wine casks that it was finished in come through on the finish with some spiciness and grape jelly. At $35/bottle here in Ontario I figured this would be, at best, a good mixer. What a fantastic surprise to uncover a new Canadian sipper (I'll mix it with something eventually but it's really not necessary). Red wine and whisky, nothing but good stuff!"
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
1.0,null
2.0,null
4.0,null
3.0,"I'm not gonna wax poetics here or use cheesy hockey analogies, but I will say it's good... and winy, obviously. The nose evokes wine, vanilla and almost maple syrup. The palate is all oak (and almost overbearing) with tannin hitting your tongue. The finish is fleeting yet pleasant. I'd definitely drink it again (hell, dozens of times), but even at $40 CAD, I still wouldn't buy it."
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
null,"being a huge LA Kings fan, I so desperately want to own a bottle of this."
4.0,null
3.0,null
5.0,null
4.0,null
4.0,"Surprisingly smooth, to the point a non whiskey drinker would enjoy it. Smokey, roses, smooth, alcohol, oak. Let's be honest, I'd put it on my shelf"
3.0,null
2.0,null
5.0,null
4.0,"The red cask really comes through, very unique rye. Might pass on the $40 bottle though. 3.5/5"
4.0,null
5.0,null
4.0,null
3.0,"Oak, slight brown sugar, gentle spice and grape tannin flavour and dryness. Comes across thin. Good but it lacks body. $35 in Ontario."
4.0,null
1.0,null
2.0,null
