star,comment
null,null
2.5,"I am reviewing the standard batch product of the Weller Full Proof. I make this distinction because there are store pick single barrels out there that may well be different. For example I think the Antique batch product is just ok but the Store pick I have I think is excellent! 

Like all Weller releases there was a tremendous amount of hype surrounding this Bourbon and finding a bottle in the wild will prove to be extremely difficult (I was told only 9 cases total were allocated to AZ with almost all going to bars and restaurants). So when I spotted this at my favorite staycation resort for a reasonable-ish price per pour I jumped on it! I ended up getting right about 3oz as it was at the end of the bottle! So definitely enough to form a solid opinion. Spoiler alert, it's not great!

On the palette it's very thin and very muted upon entry. This is pretty surprising considering the high proof. You get some vanilla and brown sugar with a slight hint of spice. At the mid palette the brown sugar becomes more of a toffee note leading to a decent finish where all the alcohol finally arrived with a decent hug. A spice note lingers a bit. The more I sipped it the more surprised I was at just how muted and thin it is! It's greatest asset is it's very smooth and easy to drink but that is also it's greatest drawback. 

Now forget the crazy secondary pricing let's examine this for it's SRP at $49.99. Is this on the same level as say Old Ezra or a Knob SiB? No, not even close. Is it as good as Weller 12, 107 or even the CYPB. Nope it's definitely not. Is it better than the sub $20 Weller SR? Yes, that it is!

So what you have here is undoubtedly young mediocre barrels where Buffalo Trace hoped that releasing it at a higher proof would mask it's youth. Unfortunately, the results are not overly positive. 

If you hunt this look for a Store pick as I am sure they got access to better barrels than what made it into the batch product. I personally would not even recommend the batch product at retail based on taste alone.

I am sure this won't be a popular opinion but I can tell you that every one I discussed this with in the Arizona Whiskey Community group concurred with this opinion and if anything they felt I was too generous on how highly I rated the finish! 

So in conclusion is it a bad drop at $49.99? Not really just not a good value and very simple. If you are simply looking for value against secondary pricing, then ofcourse buy it. If you like to drink your Whiskey, seek out a pour! Cheers all!"
4.0,null
5.0,null
4.75,null
4.75,"Ahhh yess. I got this one at my local store that did a Single Barrel store pick. I was lucky enough to get one before they ran out in two hours.
The color is nice and on the darker side.
The nose has vanilla, baking spices, some leather and light fruitiness.
The palate is nice and has some baking spices, but has more of the light fruit coming through along with a nice leather note and some oak. It has a nice thicker mouthfeel as well.
The palate is also nice and long. Not too hot going down either, but still bold.

I really enjoyed this one. I did a comparison to the Weller Special Reserve as well. The SR was very muted by comparison and not anywhere close as far as depth and flavor goes, as you would expect."
4.0,null
3.5,"I was Impressed. To me it tasted like a supercharged 107. Typical bourbon notes, but  what caught my attention was the vanilla bean after taste. If you can get you hands on this bottle at RETAIL, do it! One thing for sure, I'm not going to waste my time hunting this bottle down or pay resale price for this bottle or any over-hyped buffalo trace products."
4.0,"Great, smooth bourbon and an excellent value. I'm in San Antonio and this label is becoming increasingly difficult to find."
4.0,null
4.75,null
3.5,null
4.0,"Rich Carmel and dark brown sugar. Very smooth, rich, minimal wood, no spice."
4.0,null
4.5,It’s like Weller 12 turned up to 11. Heat up front because of the proof but that Weller taste we know and love showing up in full form with a long and lingering finish.
3.75,"Nose: sweet caramel with slight spice

Palate: rich caramel with baking spices

Finish: medium sweet with hint of spice 

Good flavor for proof. Good mouth warmth."
4.75,null
4.75,null
4.5,null
1.5,null
4.75,One of the best bourbons I've ever had. Rich caramel and honey flavors. It's warm going down but no burn or heat at all. It was delicious. Does not taste like a 107.
4.5,"Omg! So good, strong but smooth. I think we need a bottle of this!"
3.75,"""Not unlike Weller 12, certainly get a bit more spice. Sweet wheat and cereal flavored with vanilla, toffee, and banana notes. Long lasting flavor. Very nice wheated bourbon."""
4.0,null
5.0,null
4.0,null
3.0,null
3.0,I wasnt impressed. it's on par with the cypb which is barely better than the SR. What I wanted and what this is are 2 different things. I wanted it to be close to the flavor of the 12 year(2nd best in the line up) but full proof. it doesnt have to be 12 year split the difference with the Antique( best in the line up) make it 9 or 10 years old. I dont know it with certainty but it might be younger than the SR
4.0,null
4.5,null
null,null
0.25,null
4.0,High end but with a sharp bite. Like fancy white dog.
4.25,null
4.5,The Weller you've been waiting for.  Since I'll never sniff the BTAC WLW this is a nice higher proof add to the line up above the Antique.  Very nice sipper.
3.0,"This bourbon is not worth the hype. I was lucky enough to get one at retail and for under $100 it may be worth it to some. However, do not pay secondary for this. It shares the same profile as OWA with having just a few more proof points. The biggest issue I have with this that differs from the distiller review is the finish is very short and very thin. The initial flavor is actually really really good but quickly fades into nothing. The hype that has driven Weller to be impossible to find and the prices to be bloated beyond belief make this one an easy pass and one that you’re not missing out on if you’ve ever had Antique 107."
null,I want to give it a zero because I am a childish selfish prick who is angry he will never get one of these.
4.25,null
4.0,null
4.5,null
4.0,null
4.5,null
4.5,null
4.5,null
4.25,null
