star,comment
5.0,null
5.0,one of my favorite whiskeys these days.
5.0,null
4.0,null
4.0,null
4.0,"I love the new American oak sugars on top of young malt, it makes for rich waxy baking spices"
4.0,"I get chocolate, vanilla and coffee on the nose.  Vanilla crème and almonds on the palate definitely a young malt.  The finish is medium in length and leaves you with sweet mocha."
3.0,null
5.0,null
5.0,null
3.0,Puchased at distillery in Seattle SoDo district
4.0,null
5.0,null
4.0,There's a lot of mediocre craft whiskey out there. These guys do things right and it shows.
4.0,null
5.0,null
3.0,"Sweet on the nose, with hints of toffee, caramel, and vanilla. Some roasted coffee flavors at first taste, followed by a touch of almond and smoke with a nice, spicy finish that mellows out as you sip. Really tasty!"
3.0,null
3.0,null
5.0,null
4.0,null
3.0,null
4.0,Definitely can taste the hints of coffee aftertaste. It worked well for me. Throw an ice cube in it to let the flavor come out.
4.0,null
4.0,Unreal how balanced this is for a 2-year. The defining American single malt standard of the middleground between scotch and bourbon.
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,Unbelievable complexity for such a young product. Almost a five star.
3.0,null
5.0,null
1.0,null
3.0,null
4.0,null
5.0,null
1.0,"I purchased this thinking it was the Sherry Wood product. When reviewing  the DD site graph it seemed to align with MacCallan 12. Boy was I off. This American Single Malt is no bueno. I can't quite put my finger on it, and so I brought it into the office for others to try and tell me how bad my taste buds were, but they had similar looks on their faces. It's either a medicinal run or plastic flavor running all the way through. Weird."
4.0,null
4.0,null
3.0,null
4.0,Most brands can't put forth something like this for their standard offering. These guys know what they're doing. Love this.
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,"I really enjoy the roasty, dark elements of this whiskey."
4.0,null
4.0,null
5.0,null
3.0,null
3.0,"Interesting nose with some perfumey qualities, pine and oak as well.  Light but sharp taste, again with some pine coming through.  A little honey, some light fruitiness.  But mainly mild wood.  Not bad but not worth the $70 price tag in my opinion.  It is interesting and could be fun at a whisky tasting, just not something I'd buy again."
3.0,null
4.0,null
5.0,null
3.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,"Nose: lemons, dill, raspberries, dark chocolate. Mouth: creamy, strong but not too boozy. I took a couple of drops and rubbed it between my fingers - got a strong aroma of pine. A customer told me it was ""too scotchy"" for him, but I find it to be an exemplary young American whiskey."
4.0,null
3.0,null
5.0,This distillery is awesome! Love visiting it every time I'm in SODO
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
3.0,null
5.0,null
2.0,null
3.0,null
3.0,null
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,"Not an expert, but I know what I like.  Smooth and a joy to drink neat."
3.0,null
3.0,null
null,"5/25/16
$64.99 (reg $69.99)
Red Spirits & Wine"
4.0,null
4.0,null
4.0,null
3.0,null
3.0,Almost a raw sugar nose. Slightly harsh but nice cherry flavor.
4.0,Slight smoke at the end.
5.0,null
