star,comment
4.0,null
4.0,null
4.0,dessert... alternative to Port
null,dessert... alternative to Port
4.0,null
3.0,null
5.0,Fac yey
4.0,null
3.5,Bandaids on the nose. Corn mixed with medicinal flavors on the tongue. Light sweetness.  Certainly not my favorite bourbon. 3.45.
5.0,Love
4.0,null
4.0,null
null,"Tried this at the whisky extravaganza. Currently single barrel but will soon become small batch due to Widow Jane's growth being too big to handle single barrel inconsistencies. This has notes of spices, stone fruits, caramel, vanilla, and corn."
4.0,Big caramel and oak
4.0,null
3.0,Solid bourbon but WAY too pricey.
4.0,null
4.0,null
3.75,null
3.75,Hot short finish... Can taste the limestone. Pretty cool. Peppery and sweet
5.0,"Sweet fruit on the palate with caramel finish, an absolute favorite of mine."
4.0,null
3.25,"Surprisingly good.  Full of spice without being hot.  Big Red gum all the way.  A nice friend shared some with me. I don't know how much the bottle would be,  but I definitely suggest getting a pour."
null,null
4.0,null
4.0,null
3.5,null
2.75,null
4.0,null
3.5,null
3.0,Light and a touch of caramel.
2.75,Didn't like it. I wouldn't purchase again.
4.25,"Nicely done. Sweet but not overly. Has the caramel and vanilla notes expected. Light taste of oak. Not hot or spicy at all to me. Straight, no mixer, one cube, good to go."
4.75,null
3.5,null
4.5,Smooth finish. No burn. Caramel hints. Love this!
3.0,null
4.0,null
3.25,null
3.75,null
4.0,null
5.0,null
3.75,"Cinnamon spice highlights the fairly powerful nose.  On the palate, you get a light touch of spice and limestone, pastry dough and toffee.  Ultimately, it’s good, but it’s not complex , is light in mouthfeel and the finish is short."
4.0,null
4.0,null
4.0,null
4.5,null
4.5,null
3.0,plain
4.5,null
3.0,null
4.0,null
4.0,null
4.75,"Caramel and sweet forward, clean finish with just enough burn to remind you that this is something that you should appreciate. I don't have the palate to say that the mineral water is what gives this such appeal to me (I grew up in South Jersey drinking hard water with a high iron content), but I will never turn this down.

Tasted neat. Only neat. I would drink it with a straw if I wouldn't go through it too quickly."
4.25,Smooth
