star,comment
3.75,null
4.0,null
3.75,null
4.5,Very good. Definitely sweet and oak
3.75,"Neat.  Party Source 10 year store pick.  My last bottle of KS was a bit disappointing.  Delicious but also not twice as good as regular 101 so it just felt like poor value.  Came across this 10 year store pick and couldn’t resist.

Initial impression, I am glad I pulled the trigger.  The age on this is making its presence known.  Dark sweet oak and vanilla extract.  Lots of cinnamon and baking spices.  Beautiful cherry.  Leather.  Butterscotch.  Gorgeous nose.

Average mouth feel.  Super dark on the tongue.  Bitter even like a dark chocolate.  I have never had anything so dark and bitter up front.  The taste matches the nose.  Heavy oak presence, leather, vanilla, butterscotch, cherry.  It comes in nice waves.  Ends with that bitter dark chocolate.

This dark chocolate note is throwing me off.  It’s like Hershey’s Baking Chocolate, even dries the mouth as if you tries to swallow a spoonful of it.

Comparing it to base 101, the extra years have altered this completely.  The two pours rhyme but are also so different.

Conflicted on this one.  It’s delicious but also too bitter.  The bitterness hangs too.  Maybe it will open up but I think this barrel may be overaged.  Strange."
4.25,null
4.25,Haymarket Whiskey Bar Private Selection barrel #18-104
4.0,null
3.75,null
3.25,null
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,null
4.0,null
3.0,null
null,"Bourbon Trust and selected barrel 
$46.99 6/30/16"
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,Good flavor but really eye watering finish.
4.0,A pleasant surprise.
4.0,Smoother than a wild turkey at home. I would order again.
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,"Nose: strong vanilla, cereal, oaky touch
Palate: fruit, salt
Finish: oaky, vanilla finish"
4.0,null
4.0,null
5.0,Just buy this... Don't hesitate for one minute. This is not the warm 81 you took at a high school party.
3.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
3.0,null
2.0,Slight spice taste but bitter finish
4.0,null
5.0,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,3-21-17  4.1   Really good.  Has some initial bite and great finish
5.0,null
3.0,null
3.0,null
