star,comment
5.0,null
5.0,null
4.0,null
5.0,null
4.0,"Strong. Very strong. So many flavors. Drinking neat is quite an experience. Needs ice to be enjoyed long term. Hand bottled from Barrel No. 7199, aged 9 years"
4.0,"Tobacco, plum, honey, lemon zest"
5.0,null
4.0,"23 year single barrel. a little warm, decent sweetness, well rounded"
5.0,null
5.0,null
null,2 yr 108.1 proof
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
null,"Single barrel
12 years
120.6 proof"
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
null,"Barrel 826 13 year
Orange twang on the nose pine 
Vanilla, cinnamon and spice. 
Fuckin tasty
$700 a bottle"
5.0,null
4.0,null
5.0,8yr
5.0,null
1.0,null
null,"Bought at Liquor Boy, manager recommended; rare inventory for them: $46"
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,"14 year, Barrel 8o8, 63.3%, 17/134. Smells of deep honey and caramel. Surprisingly, there's a malt note. On the palate, a bit sharp, but full. The deep caramel carries over. A bit of a nutty aftertaste. Delicious. 8/23/17
21 years, Barrel C13A, 145 proof, ""Red Eye."" Stings on the nose. Doesn't drink as hot as you would think. Great pour. Wood, vanilla, brown sugar, nutmeg and cinnamon. Some zest. Long finish. 5 stars. 8/23/17
5-yr. Initially the nose was thin but it opened up after a few minutes. Some honey, wood, and slight brine and mustiness. Cinnamon sugar on the palate. Not as deep as some of the older WFE I've had but the layers are there. Good level of flavorful spice, just the right amount of heat, pleasant wood, and medium sweetness. Good stuff. 9/13/17
23 year, 67% abv, barrel 296, bottle 4/100. Deep caramel, oak, fruit on the nose. Wow on the palate. Great spice, sweetness, heat, all three notes linger. Hint of fruit that was on the nose pops up again on the finish. Not too oaky. This kills. 10/16/17

14 years, 124.2 proof, barrel no. 1419, ""Piloncillo"" bottle (91/94) at Jack Rose. Syrupy nose, deep sugars. Fragrant. Sweet and intense on the palate. Sharp and creamy at the same time. Wood and spice that lingers, with bitterness. The sharp wood notes are a bit too strong for my liking. 3 stars. 10/18/18"
4.0,null
5.0,"White oak 14 years Barrel No 2072, Alc 61.5% 123 proof, bottle 41 of 96. June 2017 release.
Wow, just an amazingly smooth balanced bourbon. Good neat but best with a splash of water. no good over ice. Warm hug going down caramel and vanilla. Not too sweet.
I"
4.0,"Aged in white oak barrels for 3years. Barrel No.1370. Alc.61.55% by vol. (123.1 proof) Bottle no. 105 of 218. Distilled 1/13/06. Warehouse: H. Rick: North 14. Jay geils would sing his praise this is a flame thrower. Will need ice or water. Hot and spicy with complexity,white pepper,orange marmalade, vanilla and creme brulee."
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
2.0,null
5.0,null
5.0,"Intense candy like nose with notes of mint. Sweet oaky malty notes harmonize beautifully with notes of mint. Sweet caramel finish with a touch of oak. Reminds me candy overall. 8 year, barrel 47 & 58.1%. Thanks JT."
3.0,null
5.0,WFE 12 year/No. 1672/58.9%-117.8 proof/Dec 2016 release.  Initially hot but then there is a surge of sweetness that comes in and has a very long finish.  I wish I had bought more!
5.0,null
3.0,null
4.0,4yr Single Barrel
4.0,"14 Year Old Bourbon
Barrel #2061
122.8 Proof

A mature bouquet of browned butter, roasted nuts, leather, fluffy vanilla, and dry wood. Seriously spicy palate with brown sugar and mint syrup folded in. The wood dominates the finish with extracted tannins and soaked wood. Breathe deeply and the heat will radiate through your chest."
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
null,13 year
4.0,"[LOOK] Rosé [NOSE] Roast butternut squash, cracked Belgian candy, cloves, banana cream pie, cinnamon buns [PALATE] Honey, pink lemonade, Big League Chew, shortbread, overripe cantaloupe [FINISH] Long, sweet, dried flowers [MOUTHFEEL] Forward, light but intense"
5.0,null
5.0,"My favorite bourbon I've tasted feels large and complex on the palate. Dark fruit, molasses, vanilla, so incredible to drink."
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
3.0,
5.0,null
5.0,"12yo Barrel No 9622,
  9yo Barrel No 453"
5.0,"16 year. Batch 1597. Bottle 31/106. 123.0 proof. $265 out the door at Willett Distillery 5/26/2018. 

This redefined what I thought bourbon could and should be. 

Nose is fruit, oak, herbal, and sweet. 

Mouth is rich, sweet, oily, and the flavors continue on and on and on. Fig, plum, raisins, almost a molasses sweetness, apple, cherry. 

Finish... my god, it lasts forever. The spice comes through gently. No heat, no burn, just smooth flavor for days. 

A+ bourbon. Second to none... including the Pappy 23."
3.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
4.0,null
5.0,"12 year, 128 proof"
4.0,null
5.0,null
5.0,null
5.0,null
null,5 year Wheated Mashbill barrel #3219
5.0,"10 year single barrel, #1432, 131.6 proof.  Drinks much lower than its proof. Outstanding"
1.0,null
5.0,"13 yr. Bottle #8139. 128.2 proof. 

Sweet and oily. Outstanding flavor combination with cherry, vanilla, brown sugar. Some spice to offset the sweetness. Outstanding."
4.0,null
5.0,null
3.0,null
4.5,null
3.75,null
4.25,null
4.75,null
4.5,"Husk barrel - 5 year
Wheat, cherry taste - long lasting and warm. Nice caramel coloring."
5.0,null
4.25,Very smooth for cask strength. A little nutty and slight brine finish. Very easy finish. Worth finding. 10yr single barrel #38/159.
5.0,null
5.0,"Carmel, warm, delicious."
3.0,null
4.5,"Would that has a body. Comes fast with some fire. Vanilla, some oak, little bit of creme caramel, a thin citrus pie and a long thin burn. The tobacco appears and the slight oversweet barley as well. Mostly a well balanced bourbon."
5.0,null
