star,comment
4.0,"Deep caramel on the nose, with wood spice and vanilla. A hint of apples as well. The proof isn't apparent on nose, very smooth. Thick legs. On the palate, balanced acidity and sweetness. Lingering spice, coats the mouth and throat. Pecan shells, cinnamon. Great pour. 12/4/17"
5.0,Sweet candy apples nose with cinnamon. Caramel on front with a smooth burn and lingering spice again cinnamon and clove at the tip of your tongue. Very consistent between sips. Wonderful!
5.0,null
5.0,null
5.0,"11/29/17
nose: sweet vanilla, a hint of molasses and sea salt 
profile: spicy on the front with a sweet finish. very peppery right off the bat. slightly floral with the sweet after taste. long finish, tingles the tongue. add water, super crazy baking spices."
5.0,null
5.0,null
5.0,"Beautiful color.  Vanilla, caramel, leather, red fruit.  More red fruit and leather with nice, lingering heat.  Tail of vanilla and oak with some char.  Feel very lucky to have scored a retail bottle, but questioning whether I should have opted for the Stagg instead."
5.0,"PRICE: $100-150 is the “retail” price.  Secondary market pricing is $700-1000.
  INFO: This is a 12 year old wheated Kentucky Bourbon distilled and bottled by Buffalo Trace.  The mashbill is approximately 70% corn, 16% wheat, and 14% malted barley.  The 2017 edition is bottled at 64.1% ABV.
  
  NOSE: 95/100.  It’s a boulangery!  So rich and decadent.  Cherries, chocolate syrup, cake, cake, cake… caramel.  Some leather and tobacco notes balances out the sweetness.
  
  PALATE: 93/100.  I think this needs quite a bit of water.  It’s so-hot-it-hurts when had neat, and it’s quite closed off.  It’s a cinnamon bomb.  It’s cinnamon out of a volcano.  You can easily add about 20-30% water without losing anything.  The spices become more complex, and you get cloves, black pepper, maybe some black cardamom or star anise.  The sweetness is dense with flavors of caramel, cherries, plums, and soft sweet oak.  This is noticeably better than Pappy Van Winkle because the distillery character is still vibrant in WLW.
  
  FINISH: 93/100.  A nice linger of tannins, cinnamon, nutmeg, and dark fruits.  Finish is fuller and more saline than last years… or maybe I’m learning to appreciate bourbon more.
  
  OVERALL: Comparing whiskey to women, because that’s what men do… George T. Stagg is like a woman who orders a strap-on from Amazon.com.  WLW is like a woman who wears a strap-on and lives in the Amazon.  These two bourbons are clearly the best from this year’s BTAC releases, and both are out to fuck you.  But WLW is the close winner because it is a little less straightforward and a little more brutal.
  
  MARK: 94/100.
  VALUE FOR MONEY: This is the only Buffalo Trace product I would pay higher than retail for.  Not >$500, but I can see myself purchasing this without guilt for $200-300.  I don’t expect I’ll ever find that deal, as I’m not a “whiskey hunter.”  However, the VFM pour of the year for me was when I got a 2oz. pour of this very whiskey for $28.  Tip your bartenders well!"
5.0,null
4.0,null
4.0,null
5.0,null
null,"Smell the hay, for sure. Sweet and fruity- the specific fruit is not coming to me. Good deal of afterburn on the tongue, but it hurts so good with that sweetness."
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,"Wow, much better than 16, incredible."
5.0,null
5.0,null
null,1 bottle
4.0,null
5.0,null
5.0,null
5.0,"Zesty up front, smooth and finish is long. but not nearly as good as 2016"
5.0,null
