star,comment
3.0,null
4.0,null
4.0,Very spicy. Both in smell and taste
4.0,null
3.0,null
4.0,null
5.0,Punchier and not as smooth as the Writers Tears Cask Strength but has a richness and complexity while keeping the signiture Writers Tears one of a kind taste.
5.0,null
3.0,null
2.0,"Rötliche Farbe wie der Name es voraussagt. Im Geruch sehr mild und leicht fruchtig. Im Geschmack sehr rund ohne viele Fassetten, aber lecker. Angenehmer süffiger Whiskeys ohne Ecken"
4.0,null
4.0,null
3.0,null
1.0,null
4.0,null
2.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.25,A little bit of honey and slightly peaty. Great all around!
2.25,null
4.0,"was good, really mild"
4.25,"A young whisky, this presents with a sharpness balanced by a light sweetness. Notes of cherry, plum, and currant. Grain forward on nose and palate. Would recommend this whisky for someone looking for a different Irish style whisky and not looking to break the bank. Interested to see where this new distillery goes in the future."
4.25,null
3.75,"Smooth, Nice punch, full of flavour"
3.5,null
4.5,null
4.25,null
3.25,It has a bit of a rye note. Not bad but I prefer the copper pot writer's tears.
3.75,null
4.0,null
3.5,null
3.25,"Good, yet somehow reminiscent of cough syrup. Very delicious cough syrup, mind you."
3.75,"Green apple, fine amount of character, but sweet. Bursts into nice metallic aftertaste in couple of seconds."
3.0,null
4.0,null
3.5,null
3.5,"sweet, smooth"
3.5,null
4.0,null
3.0,null
null,null
3.25,null
3.75,null
3.5,null
3.0,Niet top
3.0,null
3.0,null
4.0,"sweet n' sharp, a winner"
